route_id,day_index,day_type,spot_id,spot_name,region_cluster,hub_id,hub_name,primary_slot,visit_hours,inbound_travel_hours_proxy,day_active_hours_proxy,overnight_hub_name,time_window_note,arrangement_note
Q4V2_R005,1,active,P001,天山天池,乌鲁木齐周边,H011,天池风景区,morning,5.0,1.3,5.94,乌鲁木齐市,8:00-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,2,active,P036,北庭故城遗址,乌鲁木齐周边,H001,乌鲁木齐市,afternoon,1.5,1.31,2.45,乌鲁木齐市,9:00-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,3,active,P002,达坂城古镇,乌鲁木齐周边,H003,达坂城镇,morning,2.5,3.14,4.76,乌鲁木齐市,9:30-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,4,buffer_transfer,,机动缓冲/城市补给,乌鲁木齐周边,H003,达坂城镇,evening,0.0,0.8,2.2,乌鲁木齐市,not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R005,5,active,P013,吐峪沟麻扎村,东疆,H002,吐鲁番市,morning,2.5,1.78,3.78,吐鲁番市,8:00-20:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,6,active,P034,罗布人村寨,巴州-南疆北线,H007,库尔勒市,morning,2.5,7.07,5.74,库尔勒市,9:00-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,7,active,P023,世界魔鬼城,北疆,H006,阿勒泰市,morning,2.5,8.5,5.74,阿勒泰市,10:00-18:30,主景点预约入园；按分时策略拆分团队
Q4V2_R005,8,buffer_transfer,,机动缓冲/城市补给,北疆,H006,阿勒泰市,evening,0.0,0.8,2.2,阿勒泰市,not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R005,9,active,P022,五彩滩,北疆,H013,禾木村,morning,2.5,3.17,4.79,阿勒泰市,9:00-21:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,10,active,P019,禾木村,北疆,H013,禾木村,morning,12.0,2.79,14.01,阿勒泰市,00:00-24:00,主景点预约入园；按分时策略拆分团队
Q4V2_R005,11,active,P018,喀纳斯湖,北疆,H013,禾木村,morning,7.0,2.61,8.88,阿勒泰市,8:30-19:30,主景点预约入园；按分时策略拆分团队
Q4V2_R005,12,buffer_transfer,,机动缓冲/城市补给,北疆,H013,禾木村,evening,0.0,0.8,2.2,阿勒泰市,not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R006,1,active,P001,天山天池,乌鲁木齐周边,H011,天池风景区,morning,5.0,1.3,5.94,乌鲁木齐市,8:00-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,2,active,P035,江布拉克草原,乌鲁木齐周边,H001,乌鲁木齐市,afternoon,3.5,1.99,4.93,乌鲁木齐市,8:00-19:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,3,active,P013,吐峪沟麻扎村,东疆,H002,吐鲁番市,morning,2.5,4.52,5.74,吐鲁番市,8:00-20:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,4,buffer_transfer,,机动缓冲/城市补给,东疆,H002,吐鲁番市,evening,0.0,0.8,2.2,吐鲁番市,not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R006,5,active,P023,世界魔鬼城,北疆,H006,阿勒泰市,evening,2.5,7.37,5.74,阿勒泰市,10:00-18:30,主景点预约入园；按分时策略拆分团队
Q4V2_R006,6,active,P022,五彩滩,北疆,H013,禾木村,afternoon,2.5,3.17,4.79,阿勒泰市,9:00-21:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,7,active,P019,禾木村,北疆,H013,禾木村,morning,12.0,2.79,14.01,阿勒泰市,00:00-24:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,8,buffer_transfer,,机动缓冲/城市补给,北疆,H013,禾木村,evening,0.0,0.8,2.2,阿勒泰市,not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R006,9,active,P018,喀纳斯湖,北疆,H013,禾木村,morning,7.0,2.61,8.88,阿勒泰市,8:30-19:30,主景点预约入园；按分时策略拆分团队
Q4V2_R006,10,active,P021,可可托海,北疆,H012,可可托海,morning,5.0,7.7,8.24,阿勒泰市,9:30-18:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,11,active,P008,赛里木湖,伊犁,H010,赛里木湖,morning,6.0,8.5,9.24,伊宁市(伊犁),8:00-22:00,主景点预约入园；按分时策略拆分团队
Q4V2_R006,12,buffer_transfer,,机动缓冲/城市补给,伊犁,H010,赛里木湖,evening,0.0,0.8,2.2,伊宁市(伊犁),not_applicable,用于错峰、补给、天气/交通扰动吸收
Q4V2_R008,1,active,P033,巴音布鲁克草原,巴州-南疆北线,H019,巴音布鲁克,morning,6.0,1.3,6.94,库尔勒市,9:00-19:45,主景点预约入园；按分时策略拆分团队
Q4V2_R008,2,active,P009,那拉提草原,伊犁,H009,那拉提镇,morning,6.0,2.27,7.64,那拉提镇,8:30-20:00,主景点预约入园；按分时策略拆分团队
Q4V2_R008,3,active,P014,霍城薰衣草花田,伊犁,H016,霍城县(惠远古城),morning,2.5,4.3,5.59,伊宁市(伊犁),8:00-20:00,主景点预约入园；按分时策略拆分团队
Q4V2_R008,4,active,P017,果子沟大桥,伊犁,H010,赛里木湖,afternoon,1.5,0.6,1.93,伊宁市(伊犁),00:00-24:00,主景点预约入园；按分时策略拆分团队
Q4V2_R008,5,active,P008,赛里木湖,伊犁,H010,赛里木湖,morning,6.0,0.6,6.43,伊宁市(伊犁),8:00-22:00,主景点预约入园；按分时策略拆分团队
