spot_id,spot_name,requires_approval,approval_lead_days,requires_border_permit,requires_licensed_guide,requires_offroad_vehicle,minimum_group_size,safety_buffer_hours,ordinary_tourist_allowed,constraint_note
P001,天山天池,False,0,False,False,False,1,0.0,True,
P002,达坂城古镇,False,0,False,False,False,1,0.0,True,
P003,火焰山,False,0,False,False,False,1,0.0,True,
P004,葡萄沟,False,0,False,False,False,1,0.0,True,
P005,坎儿井民俗园,False,0,False,False,False,1,0.0,True,
P006,交河故城,False,0,False,False,False,1,0.0,True,
P007,楼兰古城,True,90,False,True,True,4,4.0,False,特殊准入点，不作为普通游客基准路线必选点
P008,赛里木湖,False,0,False,False,False,1,0.0,True,
P009,那拉提草原,False,0,False,False,False,1,0.0,True,
P010,喀拉峻大草原,False,0,False,False,False,1,0.0,True,
P011,高昌故城,False,0,False,False,False,1,0.0,True,
P012,苏公塔,False,0,False,False,False,1,0.0,True,
P013,吐峪沟麻扎村,False,0,False,False,False,1,0.0,True,
P014,霍城薰衣草花田,False,0,False,False,False,1,0.0,True,
P015,昭苏草原,False,0,False,False,False,1,0.0,True,
P016,夏塔古道,False,0,False,True,False,1,0.0,True,特殊准入点，不作为普通游客基准路线必选点
P017,果子沟大桥,False,0,False,False,False,1,0.0,True,
P018,喀纳斯湖,False,0,False,False,False,1,0.0,True,
P019,禾木村,False,0,False,False,False,1,0.0,True,
P020,白哈巴村,False,0,True,False,False,1,1.0,True,特殊准入点，不作为普通游客基准路线必选点
P021,可可托海,False,0,False,False,False,1,0.0,True,
P022,五彩滩,False,0,False,False,False,1,0.0,True,
P023,世界魔鬼城,False,0,False,False,False,1,0.0,True,
P024,喀什古城,False,0,False,False,False,1,0.0,True,
P025,艾提尕尔清真寺,False,0,False,False,False,1,0.0,True,
P026,香妃园,False,0,False,False,False,1,0.0,True,
P027,帕米尔高原白沙湖,False,0,True,False,False,1,2.0,True,特殊准入点，不作为普通游客基准路线必选点
P028,石头城遗址,False,0,True,False,False,1,2.0,True,特殊准入点，不作为普通游客基准路线必选点
P029,天山神秘大峡谷,False,0,False,False,False,1,0.0,True,
P030,库车王府,False,0,False,False,False,1,0.0,True,
P031,克孜尔石窟,False,0,False,False,False,1,0.0,True,
P032,博斯腾湖,False,0,False,False,False,1,0.0,True,
P033,巴音布鲁克草原,False,0,False,False,False,1,0.0,True,
P034,罗布人村寨,False,0,False,False,False,1,0.0,True,
P035,江布拉克草原,False,0,False,False,False,1,0.0,True,
P036,北庭故城遗址,False,0,False,False,False,1,0.0,True,
P037,和田博物馆,False,0,False,False,False,1,0.0,True,
P038,尼雅遗址,True,30,False,True,True,4,4.0,False,特殊准入点，不作为普通游客基准路线必选点
P039,千里葡萄长廊,False,0,False,False,False,1,0.0,True,
P040,奥依塔克冰川,False,0,False,False,False,1,1.0,True,
