label_id,from_id,to_id,mode,mode_combo,time_hours,cost_yuan_for_two,risk_score,fatigue_score,path_desc,source,schedule_required,is_gateway_label,gateway_name,direction
Q2L000001,P001,P001,same_spot,same_spot,0.0,0.0,0.0,0.0,same spot,zero_self_loop,False,False,,
Q2L000003,P001,P002,rental_car,amap_selfdrive,2.131,93.7,0.115,2.024,amap road 170.4km,amap_driving_od_matrix_clean,False,False,,
Q2L003161,P001,P003,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L003162,P001,P004,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L003163,P001,P005,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L003164,P001,P006,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000013,P001,P007,charter_car,amap_selfdrive,14.842,764.05,0.559,12.616,amap road 1389.2km,amap_driving_od_matrix_clean,False,False,,
Q2L000012,P001,P007,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,17.4,1130.75,0.38,10.44,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000015,P001,P008,charter_car,amap_selfdrive,6.21,323.25,0.257,5.279,amap road 587.7km,amap_driving_od_matrix_clean,False,False,,
Q2L000014,P001,P008,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,8.05,1654.75,0.38,4.83,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000017,P001,P009,charter_car,amap_selfdrive,8.394,290.91,0.334,7.135,amap road 528.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000019,P001,P010,charter_car,amap_selfdrive,11.271,412.43,0.434,9.58,amap road 749.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000018,P001,P010,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,9.9,1635.5,0.38,5.94,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L003165,P001,P011,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L003166,P001,P012,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L003167,P001,P013,rail,local_transfer -> rail -> local_transfer,2.433,99.0,0.055,1.095,Z66 乌鲁木齐-吐鲁番北,rail_12306_model_options,True,False,,
Q2L000027,P001,P014,charter_car,amap_selfdrive,7.202,357.18,0.292,6.122,amap road 649.4km,amap_driving_od_matrix_clean,False,False,,
Q2L000026,P001,P014,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,7.9,1597.0,0.38,4.74,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000029,P001,P015,charter_car,amap_selfdrive,13.152,433.6,0.5,11.179,amap road 788.4km,amap_driving_od_matrix_clean,False,False,,
Q2L000028,P001,P015,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,12.4,1671.25,0.38,7.44,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000031,P001,P016,charter_car,amap_selfdrive,12.622,471.55,0.482,10.729,amap road 857.4km,amap_driving_od_matrix_clean,False,False,,
Q2L000030,P001,P016,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,10.9,1751.25,0.38,6.54,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000033,P001,P017,charter_car,amap_selfdrive,6.776,349.87,0.277,5.76,amap road 636.1km,amap_driving_od_matrix_clean,False,False,,
Q2L000032,P001,P017,air,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,8.05,1654.75,0.38,4.83,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,True,False,,
Q2L000035,P001,P018,charter_car,amap_selfdrive,8.795,371.19,0.348,7.476,amap road 674.9km,amap_driving_od_matrix_clean,False,False,,
Q2L000034,P001,P018,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,9.3,393.25,0.24,9.3,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003499,P001,P018,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000037,P001,P019,charter_car,amap_selfdrive,8.413,368.66,0.334,7.151,amap road 670.3km,amap_driving_od_matrix_clean,False,False,,
Q2L000036,P001,P019,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,9.3,393.25,0.24,9.3,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003500,P001,P019,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000039,P001,P020,charter_car,amap_selfdrive,8.315,362.29,0.331,7.068,amap road 658.7km,amap_driving_od_matrix_clean,False,False,,
Q2L000038,P001,P020,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,10.3,726.25,0.24,10.3,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,enhanced_od_matrix_with_amap,False,False,,
Q2L003501,P001,P020,air,airport_transfer -> air -> airport_transfer,3.833,760.0,0.075,2.3,CZ6845 乌鲁木齐-阿勒泰,air_public_schedule_seed,True,False,,
Q2L000041,P001,P021,charter_car,amap_selfdrive,5.226,255.82,0.223,4.442,amap road 465.1km,amap_driving_od_matrix_clean,False,False,,
