spot_id,spot_name,open_time,close_time,weekly_or_seasonal_rule,time_window_quality,raw_open_time
P001,天山天池,8:00,19:00,,parsed_from_source,旺季4.1-10.31 8:00-19:00；淡季11.1-3.31 9:00-18:00
P002,达坂城古镇,9:30,19:00,,parsed_from_source,9:30-19:00
P003,火焰山,8:00,21:00,,parsed_from_source,夏季8:00-21:00
P004,葡萄沟,8:30,19:30,,parsed_from_source,8:30-19:30
P005,坎儿井民俗园,8:30,19:00,,parsed_from_source,8:30-19:00
P006,交河故城,9:00,19:00,,parsed_from_source,9:00-19:00
P007,楼兰古城,09:00,19:00,,simulated_default,需提前申请审批
P008,赛里木湖,8:00,22:00,,parsed_from_source,8:00-22:00
P009,那拉提草原,8:30,20:00,,parsed_from_source,8:30-20:00
P010,喀拉峻大草原,8:00,20:00,,parsed_from_source,8:00-20:00
P011,高昌故城,9:00,19:00,,parsed_from_source,9:00-19:00
P012,苏公塔,9:00,19:00,,parsed_from_source,9:00-19:00
P013,吐峪沟麻扎村,8:00,20:00,,parsed_from_source,8:00-20:00
P014,霍城薰衣草花田,8:00,20:00,,parsed_from_source,6-8月8:00-20:00
P015,昭苏草原,00:00,24:00,,source_all_day,全天开放
P016,夏塔古道,9:00,20:00,,parsed_from_source,9:00-20:00
P017,果子沟大桥,00:00,24:00,,source_all_day,全天开放
P018,喀纳斯湖,8:30,19:30,,parsed_from_source,8:30-19:30
P019,禾木村,00:00,24:00,,source_all_day,全天开放
P020,白哈巴村,9:00,18:00,,parsed_from_source,9:00-18:00
P021,可可托海,9:30,18:00,,parsed_from_source,9:30-18:00
P022,五彩滩,9:00,21:00,,parsed_from_source,9:00-21:00
P023,世界魔鬼城,10:00,18:30,,parsed_from_source,10:00-18:30
P024,喀什古城,10:00,19:00,,parsed_from_source,10:00-19:00
P025,艾提尕尔清真寺,10:00,14:00,Friday_main_prayer_limited,parsed_from_source,10:00-14:00、16:00-19:00
P026,香妃园,10:00,19:00,,parsed_from_source,10:00-19:00
P027,帕米尔高原白沙湖,9:30,19:30,,parsed_from_source,9:30-19:30
P028,石头城遗址,9:00,19:00,,parsed_from_source,9:00-19:00
P029,天山神秘大峡谷,8:00,17:00,,parsed_from_source,8:00-17:00
P030,库车王府,9:00,19:00,,parsed_from_source,9:00-19:00
P031,克孜尔石窟,9:30,19:00,,parsed_from_source,夏季9:30-19:00，冬季10:00-18:00
P032,博斯腾湖,9:00,19:00,,parsed_from_source,9:00-19:00
P033,巴音布鲁克草原,9:00,19:45,,parsed_from_source,6-9月9:00-19:45，9-10月9:00-18:30
P034,罗布人村寨,9:00,19:00,,parsed_from_source,9:00-19:00
P035,江布拉克草原,8:00,19:00,,parsed_from_source,8:00-19:00
P036,北庭故城遗址,9:00,19:00,,parsed_from_source,9:00-19:00
P037,和田博物馆,10:00,19:00,,parsed_from_source,10:00-19:00
P038,尼雅遗址,09:00,19:00,,simulated_default,需提前申请审批
P039,千里葡萄长廊,00:00,24:00,,source_all_day,全天开放
P040,奥依塔克冰川,10:00,20:00,,parsed_from_source,10:00-20:00
