query_date,from_city,to_city,from_station,to_station,train_no,train_code,depart_time,arrive_time,duration,duration_hours,can_book,train_date_raw,train_location,from_station_no,to_station_no,seat_types,availability_business,availability_first_class,availability_second_class,availability_soft_sleeper,availability_hard_sleeper,availability_hard_seat,availability_no_seat,price_second_class_yuan,price_first_class_yuan,price_business_class_yuan,price_hard_seat_yuan,price_hard_sleeper_yuan,price_soft_sleeper_yuan,price_no_seat_yuan,min_ticket_price_yuan,source,source_url,query_timestamp
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,9300000Z6601,Z66,07:10,08:30,01:20,1.333,Y,20260620,R1,01,02,304010W0,,,,无,3,有,有,,,,24.5,70.5,108.5,24.5,24.5,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:55.384710+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,930000Z51001,Z510,08:00,09:56,01:56,1.933,Y,20260620,R1,01,02,304010W0,,,,无,2,有,12,,,,24.5,70.5,108.5,24.5,24.5,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:55.643413+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D27080J,D2708,08:20,09:14,00:54,0.9,Y,20260620,R1,01,02,O0F0W0,,,有,有,,,无,51.5,,,,,,51.5,51.5,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:55.910985+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D271804,D2718,08:50,09:44,00:54,0.9,Y,20260620,R1,01,02,M0O0W0,,无,有,,,,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:56.174894+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D88020B,D8802,09:30,10:27,00:57,0.95,Y,20260620,R1,01,02,M0O0W0,,无,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:56.464140+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,930000T3040D,T304,09:37,11:32,01:55,1.917,Y,20260620,R1,01,02,104030W0,,,,2,有,有,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:56.738983+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,930000D57600,D576,10:13,11:07,00:54,0.9,Y,20260620,R1,01,02,M0O0W0,,无,有,,,,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:57.022112+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D88040I,D8804,10:20,11:18,00:58,0.967,Y,20260620,R1,01,02,M0O0W0,,无,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:57.301943+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000K97180G,K9718,10:52,12:58,02:06,2.1,Y,20260620,R1,01,02,304010W0,,,,无,有,有,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:57.583549+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D27060C,D2706,11:18,12:11,00:53,0.883,Y,20260620,R1,01,02,M0O0W0,,3,有,,,,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:57.885575+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000D936803,D9368,11:23,12:21,00:58,0.967,Y,20260620,R1,01,02,M0O0W0,,有,有,,,,有,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:58.176450+08:00
2026-06-20,乌鲁木齐,吐鲁番北,乌鲁木齐,吐鲁番北,93000T952608,T9526,11:42,13:19,01:37,1.617,Y,20260620,R1,01,03,304010W0,,,,1,有,有,无,,,,,,,,,12306_queryG_and_queryTicketPrice,https://kyfw.12306.cn/otn/leftTicket/init,2026-06-10T15:21:58.467549+08:00
