route_id,order,spot_id,spot_name,region_cluster
S2_Spectral_Year1,1,P035,江布拉克草原,乌鲁木齐周边
S2_Spectral_Year1,2,P036,北庭故城遗址,乌鲁木齐周边
S2_Spectral_Year1,3,P001,天山天池,乌鲁木齐周边
S2_Spectral_Year1,4,P002,达坂城古镇,乌鲁木齐周边
S2_Spectral_Year1,5,P013,吐峪沟麻扎村,东疆
S2_Spectral_Year1,6,P011,高昌故城,东疆
S2_Spectral_Year1,7,P003,火焰山,东疆
S2_Spectral_Year1,8,P004,葡萄沟,东疆
S2_Spectral_Year1,9,P012,苏公塔,东疆
S2_Spectral_Year1,10,P005,坎儿井民俗园,东疆
S2_Spectral_Year1,11,P006,交河故城,东疆
S2_Spectral_Year1,12,P034,罗布人村寨,巴州-南疆北线
S2_Spectral_Year1,13,P032,博斯腾湖,巴州-南疆北线
S2_Spectral_Year1,14,P030,库车王府,巴州-南疆北线
S2_Spectral_Year1,15,P031,克孜尔石窟,巴州-南疆北线
S2_Spectral_Year1,16,P029,天山神秘大峡谷,巴州-南疆北线
S2_Spectral_Year1,17,P033,巴音布鲁克草原,巴州-南疆北线
S2_Spectral_Year1,18,P009,那拉提草原,伊犁
S2_Spectral_Year1,19,P015,昭苏草原,伊犁
S2_Spectral_Year1,20,P016,夏塔古道,伊犁
S2_Spectral_Year1,21,P010,喀拉峻大草原,伊犁
S2_Spectral_Year1,22,P014,霍城薰衣草花田,伊犁
S2_Spectral_Year1,23,P017,果子沟大桥,伊犁
S2_Spectral_Year1,24,P008,赛里木湖,伊犁
S2_Spectral_Year1,25,P023,世界魔鬼城,北疆
S2_Spectral_Year1,26,P022,五彩滩,北疆
S2_Spectral_Year1,27,P019,禾木村,北疆
S2_Spectral_Year1,28,P018,喀纳斯湖,北疆
S2_Spectral_Year1,29,P020,白哈巴村,北疆
S2_Spectral_Year1,30,P021,可可托海,北疆
S2_Spectral_Year2,1,P037,和田博物馆,南疆
S2_Spectral_Year2,2,P039,千里葡萄长廊,南疆
S2_Spectral_Year2,3,P028,石头城遗址,南疆
S2_Spectral_Year2,4,P027,帕米尔高原白沙湖,南疆
S2_Spectral_Year2,5,P040,奥依塔克冰川,南疆
S2_Spectral_Year2,6,P025,艾提尕尔清真寺,南疆
S2_Spectral_Year2,7,P024,喀什古城,南疆
S2_Spectral_Year2,8,P026,香妃园,南疆
