experiment_id,topic,design,metrics,headline_result
E1,第一问主解,30天硬约束混合元启发式,景点数、天数、总成本、时间窗,32景点/30天/14548.53元
E2,第一问画像适配,普通/亲子/长者/探索型,舒适度、红色压力日、删点数,亲子型删2点后30景点30天满足
E3,第二问主解,乌鲁木齐起讫两年路径覆盖,覆盖数、交通费、最大单年天数,38景点/32天/4340.68元
E4,第二问下界,开放式多口岸路径覆盖,交通费和天数下界,38景点/28天/2992.69元
E5,第二问价格仿真,多口岸外部差价三角分布,开放式更便宜概率,乐观98.79%，均衡70.01%，高峰30.38%
E6,第三问主解,三组MinMax文化考察,最大完成时间、任务均衡,最大98.70小时，差12.16小时
E7,第三问缓冲仿真,文化考察延期Monte Carlo,项目按时概率,4天缓冲达91.84%
E8,第四问容量流,9条线路产品分配,接待人数、容量利用率,106358人/111956容量
E9,第四问需求冲击,需求上浮下替代线路分流,溢出人数、分流新增接待,上浮10%仍溢出5038人
E10,第四问预约策略,100%/95%/90%预约上限,接待、等待、服务水平,95%上限接待106358人
