route_id,spot_id,spot_name,infeasibility_reason,detail
Q1V3_Q28_272,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q28_261,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q28_231,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q28_230,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_330,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q30_329,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_308,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_307,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q30_288,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_287,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q30_319,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q30_320,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_284,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_306,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q30_322,,,over_30_days,小时级排程需要34天，超过30天
Q1V3_Q30_283,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q32_379,,,over_30_days,小时级排程需要31天，超过30天
Q1V3_Q32_378,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_346,,,over_30_days,小时级排程需要34天，超过30天
Q1V3_Q32_367,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q32_366,,,over_30_days,小时级排程需要34天，超过30天
Q1V3_Q32_345,,,over_30_days,小时级排程需要35天，超过30天
Q1V3_Q32_349,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_361,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_394,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_382,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_342,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q32_340,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_341,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q32_354,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_355,,,over_30_days,小时级排程需要32天，超过30天
Q1V3_Q32_339,,,over_30_days,小时级排程需要34天，超过30天
Q1V3_Q32_371,,,over_30_days,小时级排程需要33天，超过30天
Q1V3_Q32_365,,,over_30_days,小时级排程需要33天，超过30天
