route_id,order,spot_id,spot_name,region_cluster,hub_name,travel_from_previous_hub_hours,service_hours_used,cumulative_hours,cumulative_day_equiv,ticket_total_yuan_per_person,requires_approval,requires_border_permit,map_confidence
P2_Y1_North_Ili,1,P036,北庭故城遗址,乌鲁木齐周边,乌鲁木齐市,0.0,1.5,1.5,0.19,38.0,False,False,low
P2_Y1_North_Ili,2,P035,江布拉克草原,乌鲁木齐周边,乌鲁木齐市,0.0,5.0,6.5,0.81,43.0,False,False,low
P2_Y1_North_Ili,3,P002,达坂城古镇,乌鲁木齐周边,达坂城镇,1.5,3.5,11.5,1.44,40.0,False,False,high
P2_Y1_North_Ili,4,P001,天山天池,乌鲁木齐周边,天池风景区,3.0,5.0,19.5,2.44,155.0,False,False,high
P2_Y1_North_Ili,5,P023,世界魔鬼城,北疆,阿勒泰市,7.5,4.0,31.0,3.88,62.0,False,False,low
P2_Y1_North_Ili,6,P021,可可托海,北疆,可可托海,12.5,5.0,48.5,6.06,126.0,False,False,high
P2_Y1_North_Ili,7,P022,五彩滩,北疆,禾木村,14.0,2.5,65.0,8.12,45.0,False,False,low
P2_Y1_North_Ili,8,P018,喀纳斯湖,北疆,禾木村,0.0,7.0,72.0,9.0,230.0,False,False,low
P2_Y1_North_Ili,9,P019,禾木村,北疆,禾木村,0.0,12.0,84.0,10.5,102.0,False,False,high
P2_Y1_North_Ili,10,P014,霍城薰衣草花田,伊犁,霍城县(惠远古城),15.5,3.5,103.0,12.88,35.0,False,False,medium
P2_Y1_North_Ili,11,P017,果子沟大桥,伊犁,赛里木湖,3.0,1.5,107.5,13.44,0.0,False,False,medium
P2_Y1_North_Ili,12,P008,赛里木湖,伊犁,赛里木湖,0.0,6.0,113.5,14.19,145.0,False,False,high
P2_Y1_North_Ili,13,P010,喀拉峻大草原,伊犁,特克斯县(八卦城),4.0,8.0,125.5,15.69,140.0,False,False,medium
P2_Y1_North_Ili,14,P009,那拉提草原,伊犁,那拉提镇,5.0,9.5,140.0,17.5,135.0,False,False,high
P2_Y1_North_Ili,15,P015,昭苏草原,伊犁,昭苏县(夏塔古道),6.5,6.5,153.0,19.12,0.0,False,False,medium
P2_Y1_North_Ili,16,P016,夏塔古道,伊犁,昭苏县(夏塔古道),0.0,6.5,159.5,19.94,80.0,False,False,high
P2_Y1_North_Ili,17,P020,白哈巴村,北疆,白哈巴,19.0,3.5,182.0,22.75,180.0,False,True,high
P2_Y1_North_Ili,18,END,返回/离疆：乌鲁木齐市,,乌鲁木齐市,8.5,0.0,190.5,23.81,,,,
P2_Y2_East_South,1,P013,吐峪沟麻扎村,东疆,吐鲁番市,2.5,3.5,6.0,0.75,30.0,False,False,medium
P2_Y2_East_South,2,P005,坎儿井民俗园,东疆,吐鲁番市,0.0,1.5,7.5,0.94,40.0,False,False,high
P2_Y2_East_South,3,P012,苏公塔,东疆,吐鲁番市,0.0,1.5,9.0,1.12,45.0,False,False,high
P2_Y2_East_South,4,P006,交河故城,东疆,吐鲁番市,0.0,1.75,10.75,1.34,30.0,False,False,high
P2_Y2_East_South,5,P011,高昌故城,东疆,吐鲁番市,0.0,3.5,14.25,1.78,70.0,False,False,medium
P2_Y2_East_South,6,P003,火焰山,东疆,吐鲁番市,0.0,3.5,17.75,2.22,40.0,False,False,high
P2_Y2_East_South,7,P004,葡萄沟,东疆,吐鲁番市,0.0,3.0,20.75,2.59,60.0,False,False,high
P2_Y2_East_South,8,P034,罗布人村寨,巴州-南疆北线,库尔勒市,4.5,3.5,28.75,3.59,35.0,False,False,medium
P2_Y2_East_South,9,P032,博斯腾湖,巴州-南疆北线,库尔勒市,0.0,3.5,32.25,4.03,45.0,False,False,medium
P2_Y2_East_South,10,P033,巴音布鲁克草原,巴州-南疆北线,巴音布鲁克,18.5,6.0,56.75,7.09,140.0,False,False,high
P2_Y2_East_South,11,P030,库车王府,巴州-南疆北线,库车市,4.0,1.5,62.25,7.78,40.0,False,False,high
P2_Y2_East_South,12,P031,克孜尔石窟,巴州-南疆北线,库车市,0.0,4.0,66.25,8.28,70.0,False,False,medium
P2_Y2_East_South,13,P029,天山神秘大峡谷,巴州-南疆北线,库车市,0.0,5.0,71.25,8.91,40.0,False,False,medium
P2_Y2_East_South,14,P028,石头城遗址,南疆,塔什库尔干县(帕米尔高原),13.5,2.5,87.25,10.91,30.0,False,True,high
P2_Y2_East_South,15,P027,帕米尔高原白沙湖,南疆,塔什库尔干县(帕米尔高原),0.0,5.0,92.25,11.53,40.0,False,True,high
P2_Y2_East_South,16,P025,艾提尕尔清真寺,南疆,喀什市,4.5,1.5,98.25,12.28,30.0,False,False,high
P2_Y2_East_South,17,P026,香妃园,南疆,喀什市,0.0,2.5,100.75,12.59,60.0,False,False,high
P2_Y2_East_South,18,P024,喀什古城,南疆,喀什市,0.0,3.5,104.25,13.03,0.0,False,False,high
P2_Y2_East_South,19,P040,奥依塔克冰川,南疆,喀什市,0.0,5.5,109.75,13.72,45.0,False,False,medium
P2_Y2_East_South,20,P037,和田博物馆,南疆,和田市,6.5,2.5,118.75,14.84,0.0,False,False,high
P2_Y2_East_South,21,P039,千里葡萄长廊,南疆,和田市,0.0,1.5,120.25,15.03,0.0,False,False,medium
P2_Y2_East_South,22,END,返回/离疆：喀什市,,喀什市,6.5,0.0,126.75,15.84,,,,
P2_Y2_Approval_Extension,1,P013,吐峪沟麻扎村,东疆,吐鲁番市,2.5,3.5,6.0,0.75,30.0,False,False,medium
