route_id,day,start_time,end_time,visit_spots_count,visit_spots,day_travel_hours,day_wait_hours,day_service_hours,day_active_hours,active_budget_status,over_budget_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,risk_score,lodging_hub,lodging_status,room_price_yuan,time_window_violations,notes
HYBRID_30D_ACO_ALNS_SA,1,08:30,15:29,2,达坂城古镇 -> 交河故城,2.74,0.0,4.25,6.99,ok,0.0,113.16,140.0,0.149,吐鲁番市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,2,08:30,15:21,3,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,0.86,0.0,6.0,6.86,ok,0.0,13.64,290.0,0.128,吐鲁番市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,3,08:30,14:24,2,火焰山 -> 高昌故城,0.9,0.0,5.0,5.9,ok,0.0,24.5,220.0,0.095,吐鲁番市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,4,08:30,11:36,1,吐峪沟麻扎村,0.59,0.0,2.5,3.09,ok,0.0,11.08,60.0,0.047,吐鲁番市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,5,08:30,14:42,1,北庭故城遗址,4.7,0.0,1.5,6.2,ok,0.0,190.84,76.0,0.156,乌鲁木齐市,standard_hotel_hub,150.0,0,
HYBRID_30D_ACO_ALNS_SA,6,08:30,13:20,1,江布拉克草原,1.33,0.0,3.5,4.83,ok,0.0,38.39,86.0,0.063,乌鲁木齐市,standard_hotel_hub,150.0,0,
HYBRID_30D_ACO_ALNS_SA,7,08:30,15:27,1,天山天池,1.96,0.0,5.0,6.96,ok,0.0,94.59,310.0,0.097,天池风景区,standard_hotel_hub,280.0,0,
HYBRID_30D_ACO_ALNS_SA,8,08:30,14:43,0,,6.21,0.0,0.0,6.21,ok,0.0,323.25,0.0,0.236,赛里木湖,standard_hotel_hub,260.0,0,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,9,08:30,14:30,1,赛里木湖,0.0,0.0,6.0,6.0,ok,0.0,0.0,290.0,0.0,赛里木湖,standard_hotel_hub,260.0,0,
HYBRID_30D_ACO_ALNS_SA,10,08:30,14:15,2,霍城薰衣草花田 -> 果子沟大桥,1.75,0.0,4.0,5.75,ok,0.0,56.13,70.0,0.114,赛里木湖,standard_hotel_hub,260.0,0,
HYBRID_30D_ACO_ALNS_SA,11,08:30,19:28,1,喀拉峻大草原,4.96,0.0,6.0,10.96,over_budget,2.96,197.09,280.0,0.221,特克斯县(八卦城),standard_hotel_hub,190.0,0,当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,12,08:30,16:56,1,夏塔古道,3.43,0.0,5.0,8.43,over_budget,0.43,104.41,160.0,0.103,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,13,08:30,15:44,1,昭苏草原,3.73,0.0,3.5,7.23,ok,0.0,66.27,0.0,0.08,昭苏县(夏塔古道),standard_hotel_hub,210.0,0,
HYBRID_30D_ACO_ALNS_SA,14,08:30,15:44,0,,7.24,0.0,0.0,7.24,ok,0.0,169.17,0.0,0.143,那拉提镇,standard_hotel_hub,200.0,0,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,15,08:30,14:30,1,那拉提草原,0.0,0.0,6.0,6.0,ok,0.0,0.0,270.0,0.0,那拉提镇,standard_hotel_hub,200.0,0,
HYBRID_30D_ACO_ALNS_SA,16,08:30,16:27,0,,7.95,0.0,0.0,7.95,ok,0.0,241.1,0.0,0.186,库尔勒市,standard_hotel_hub,150.0,0,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,17,08:30,16:18,2,博斯腾湖 -> 罗布人村寨,1.3,0.5,6.0,7.8,ok,0.0,30.0,160.0,0.08,库尔勒市,standard_hotel_hub,150.0,0,
HYBRID_30D_ACO_ALNS_SA,18,08:30,15:05,0,,6.58,0.0,0.0,6.58,ok,0.0,243.67,0.0,0.188,巴音布鲁克,standard_hotel_hub,230.0,0,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,19,08:30,15:00,1,巴音布鲁克草原,0.0,0.5,6.0,6.5,ok,0.0,0.0,280.0,0.0,巴音布鲁克,standard_hotel_hub,230.0,0,
HYBRID_30D_ACO_ALNS_SA,20,08:30,15:23,1,天山神秘大峡谷,3.38,0.0,3.5,6.88,ok,0.0,106.05,80.0,0.104,库车市,standard_hotel_hub,170.0,0,
HYBRID_30D_ACO_ALNS_SA,21,08:30,15:04,2,库车王府 -> 克孜尔石窟,2.57,0.0,4.0,6.57,ok,0.0,72.34,220.0,0.124,库车市,standard_hotel_hub,170.0,0,
HYBRID_30D_ACO_ALNS_SA,22,08:30,16:03,0,,7.54,0.0,0.0,7.54,ok,0.0,383.27,0.0,0.272,喀什市,standard_hotel_hub,180.0,0,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,23,08:30,15:09,2,艾提尕尔清真寺 -> 喀什古城,0.15,1.5,5.0,6.65,ok,0.0,1.2,60.0,0.041,喀什市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,24,08:30,15:09,1,奥依塔克冰川,2.15,0.0,4.5,6.66,ok,0.0,57.44,90.0,0.075,喀什市,standard_hotel_hub,180.0,0,
HYBRID_30D_ACO_ALNS_SA,25,08:30,15:21,1,帕米尔高原白沙湖,2.36,0.0,4.5,6.86,ok,0.0,66.09,80.0,0.08,塔什库尔干县(帕米尔高原),standard_hotel_hub,200.0,0,
