label_id,from_id,from_name,to_id,to_name,time_hours,cost_yuan_for_two,risk_score,mode_combo,dominant_mode,source
Q3V2_DEPOT_TO_P007,DEPOT_URUMQI,乌鲁木齐起点,P007,楼兰古城,7.183,2576.16,0.201,depot_access,charter_car,depot_access_matrix
Q3V2_P007_TO_DEPOT,P007,楼兰古城,DEPOT_URUMQI,乌鲁木齐终点,7.248,2576.73,0.201,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P038,DEPOT_URUMQI,乌鲁木齐起点,P038,尼雅遗址,10.25,2447.5,0.24,depot_access,charter_car,depot_access_matrix
Q3V2_P038_TO_DEPOT,P038,尼雅遗址,DEPOT_URUMQI,乌鲁木齐终点,10.25,2447.5,0.24,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P013,DEPOT_URUMQI,乌鲁木齐起点,P013,吐峪沟麻扎村,2.861,139.22,0.124,depot_access,rental_car,depot_access_matrix
Q3V2_P013_TO_DEPOT,P013,吐峪沟麻扎村,DEPOT_URUMQI,乌鲁木齐终点,3.136,132.17,0.12,depot_access,rental_car,depot_access_matrix
Q3V2_DEPOT_TO_P031,DEPOT_URUMQI,乌鲁木齐起点,P031,克孜尔石窟,7.583,1195.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_P031_TO_DEPOT,P031,克孜尔石窟,DEPOT_URUMQI,乌鲁木齐终点,7.583,1195.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P006,DEPOT_URUMQI,乌鲁木齐起点,P006,交河故城,2.524,111.32,0.107,depot_access,rental_car,depot_access_matrix
Q3V2_P006_TO_DEPOT,P006,交河故城,DEPOT_URUMQI,乌鲁木齐终点,2.533,104.0,0.12,depot_access,rental_car,depot_access_matrix
Q3V2_DEPOT_TO_P011,DEPOT_URUMQI,乌鲁木齐起点,P011,高昌故城,3.015,127.04,0.117,depot_access,rental_car,depot_access_matrix
Q3V2_P011_TO_DEPOT,P011,高昌故城,DEPOT_URUMQI,乌鲁木齐终点,3.233,104.0,0.12,depot_access,rental_car,depot_access_matrix
Q3V2_DEPOT_TO_P012,DEPOT_URUMQI,乌鲁木齐起点,P012,苏公塔,2.491,111.29,0.107,depot_access,rental_car,depot_access_matrix
Q3V2_P012_TO_DEPOT,P012,苏公塔,DEPOT_URUMQI,乌鲁木齐终点,2.533,104.0,0.12,depot_access,rental_car,depot_access_matrix
Q3V2_DEPOT_TO_P036,DEPOT_URUMQI,乌鲁木齐起点,P036,北庭故城遗址,1.997,93.29,0.097,depot_access,rental_car,depot_access_matrix
Q3V2_P036_TO_DEPOT,P036,北庭故城遗址,DEPOT_URUMQI,乌鲁木齐终点,2.011,93.26,0.097,depot_access,rental_car,depot_access_matrix
Q3V2_DEPOT_TO_P024,DEPOT_URUMQI,乌鲁木齐起点,P024,喀什古城,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_P024_TO_DEPOT,P024,喀什古城,DEPOT_URUMQI,乌鲁木齐终点,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P025,DEPOT_URUMQI,乌鲁木齐起点,P025,艾提尕尔清真寺,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_P025_TO_DEPOT,P025,艾提尕尔清真寺,DEPOT_URUMQI,乌鲁木齐终点,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P026,DEPOT_URUMQI,乌鲁木齐起点,P026,香妃园,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_P026_TO_DEPOT,P026,香妃园,DEPOT_URUMQI,乌鲁木齐终点,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P028,DEPOT_URUMQI,乌鲁木齐起点,P028,石头城遗址,11.55,2734.5,0.24,depot_access,charter_car,depot_access_matrix
Q3V2_P028_TO_DEPOT,P028,石头城遗址,DEPOT_URUMQI,乌鲁木齐终点,11.55,2734.5,0.24,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P030,DEPOT_URUMQI,乌鲁木齐起点,P030,库车王府,6.383,1195.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_P030_TO_DEPOT,P030,库车王府,DEPOT_URUMQI,乌鲁木齐终点,6.383,1195.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_DEPOT_TO_P034,DEPOT_URUMQI,乌鲁木齐起点,P034,罗布人村寨,4.921,223.82,0.176,depot_access,rental_car,depot_access_matrix
Q3V2_P034_TO_DEPOT,P034,罗布人村寨,DEPOT_URUMQI,乌鲁木齐终点,5.059,224.35,0.176,depot_access,rental_car,depot_access_matrix
Q3V2_P007_TO_P038,P007,楼兰古城,P038,尼雅遗址,9.754,464.83,0.162,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P013,P007,楼兰古城,P013,吐峪沟麻扎村,16.231,775.65,0.243,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P031,P007,楼兰古城,P031,克孜尔石窟,7.681,384.68,0.136,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P006,P007,楼兰古城,P006,交河故城,15.497,750.54,0.234,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P011,P007,楼兰古城,P011,高昌故城,16.146,769.81,0.242,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P012,P007,楼兰古城,P012,苏公塔,15.494,749.94,0.234,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P036,P007,楼兰古城,P036,北庭故城遗址,15.805,820.42,0.238,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P024,P007,楼兰古城,P024,喀什古城,0.198,1.73,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P025,P007,楼兰古城,P025,艾提尕尔清真寺,0.225,2.05,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P026,P007,楼兰古城,P026,香妃园,0.277,2.77,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P028,P007,楼兰古城,P028,石头城遗址,5.114,159.85,0.104,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P030,P007,楼兰古城,P030,库车王府,7.243,390.33,0.131,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P007_TO_P034,P007,楼兰古城,P034,罗布人村寨,12.282,601.36,0.194,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P007,P038,尼雅遗址,P007,楼兰古城,9.991,473.78,0.165,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P013,P038,尼雅遗址,P013,吐峪沟麻扎村,14.811,584.45,0.225,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P031,P038,尼雅遗址,P031,克孜尔石窟,9.631,335.49,0.16,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P006,P038,尼雅遗址,P006,交河故城,14.068,559.34,0.216,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P011,P038,尼雅遗址,P011,高昌故城,14.737,578.61,0.224,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P012,P038,尼雅遗址,P012,苏公塔,14.077,558.74,0.216,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P036,P038,尼雅遗址,P036,北庭故城遗址,14.312,629.22,0.219,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P024,P038,尼雅遗址,P024,喀什古城,10.119,474.71,0.166,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P025,P038,尼雅遗址,P025,艾提尕尔清真寺,10.115,474.92,0.166,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P026,P038,尼雅遗址,P026,香妃园,10.088,475.2,0.166,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P028,P038,尼雅遗址,P028,石头城遗址,14.169,625.42,0.217,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_P038_TO_P030,P038,尼雅遗址,P030,库车王府,8.371,300.46,0.145,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
