route_id,seed_column_id,seed_route_theme,route_theme_code,route_theme,route_name_note,product_type,target_segment,variant_code,days,active_spot_days,buffer_days,spots_count,route_spot_ids,route_sequence,region_set,hub_set,culture_spots,nature_spots,remote_or_high_altitude_spots,reservation_spots,route_capacity_persons_12day,seed_capacity_persons_12day,capacity_factor_vs_seed,attraction_score,diversity_score,comfort_score,low_pressure_score,avg_interspot_travel_hours_proxy,long_transfer_days_proxy,resource_intensity_score,portfolio_quality_score,capacity_source_note,generation_note,selected_in_portfolio,selection_status,selection_order
Q4V2_R030,COL005,Bazhou_Desert,Bazhou_Desert_family_comfort,巴州—乌鲁木齐—东疆亲子舒适12日线,由巴州沙漠湖泊线种子生成的亲子舒适12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,family_comfort,亲子舒适,family_comfort,12,8,4,8,P034;P032;P030;P031;P029;P033;P001;P013,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 天山天池 -> 吐峪沟麻扎村,巴州-南疆北线;乌鲁木齐周边;东疆,库尔勒市;库车市;巴音布鲁克;天池风景区;吐鲁番市,4,6,0,3,6850,12240,0.56,45.572,75.75,98.0,30.45,3.521,1,5.632,50.854,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,减少长转场与高强度景点，增加缓冲日,True,selected_q4v2_portfolio,1.0
Q4V2_R063,COL009,Border_Pamir,Border_Pamir_premium_reserve,巴州—东疆—乌鲁木齐精品预约12日线,由帕米尔边境线种子生成的精品预约12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,premium_reserve,精品预约,premium_reserve,12,8,4,8,P028;P027;P040;P024;P034;P001;P013;P014,石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 罗布人村寨 -> 天山天池 -> 吐峪沟麻扎村 -> 霍城薰衣草花田,南疆;巴州-南疆北线;乌鲁木齐周边;东疆;伊犁,塔什库尔干县(帕米尔高原);喀什市;库尔勒市;天池风景区;吐鲁番市;霍城县(惠远古城),4,6,3,6,3210,6120,0.525,52.311,93.75,65.269,42.631,5.279,3,7.598,45.066,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,小团预约制，承载低但满意度和可控性高,True,selected_q4v2_portfolio,2.0
Q4V2_R018,COL003,East_Heritage,East_Heritage_low_pressure,乌鲁木齐—东疆—巴州错峰分流12日线,由东疆文化遗产线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,decongested_route,错峰分流,low_pressure,12,9,3,9,P002;P004;P012;P005;P006;P003;P011;P013;P034,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨,乌鲁木齐周边;东疆;巴州-南疆北线,达坂城镇;吐鲁番市;库尔勒市,7,3,0,2,10240,15300,0.669,59.198,67.889,98.0,29.314,1.367,1,5.428,56.233,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,True,selected_q4v2_portfolio,3.0
Q4V2_R039,COL006,Hotan_Plus,Hotan_Plus_low_pressure,喀什—和田—东疆错峰分流12日线,由和田南疆扩展线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,decongested_route,错峰分流,low_pressure,12,9,3,9,P024;P040;P037;P039;P034;P006;P012;P011;P013,喀什古城 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 罗布人村寨 -> 交河故城 -> 苏公塔 -> 高昌故城 -> 吐峪沟麻扎村,南疆;巴州-南疆北线;东疆,喀什市;和田市;库尔勒市;吐鲁番市,7,3,1,4,6390,12240,0.522,51.788,67.889,75.507,32.586,3.665,3,6.683,44.594,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,True,selected_q4v2_portfolio,4.0
Q4V2_R011,COL002,Ili_Lake_Grass,Ili_Lake_Grass_low_pressure,巴州—东疆—乌鲁木齐错峰分流12日线,由伊犁湖泊草原线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,decongested_route,错峰分流,low_pressure,12,9,3,9,P033;P009;P014;P017;P008;P010;P001;P003;P013,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 天山天池 -> 火焰山 -> 吐峪沟麻扎村,巴州-南疆北线;伊犁;乌鲁木齐周边;东疆,巴音布鲁克;那拉提镇;霍城县(惠远古城);赛里木湖;特克斯县(八卦城);天池风景区;吐鲁番市,1,9,0,6,11710,17485,0.67,47.6,65.778,89.957,33.626,3.342,1,6.12,50.448,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,True,selected_q4v2_portfolio,5.0
Q4V2_R005,COL001,North_Kanas,North_Kanas_culture_deep,巴州—东疆—乌鲁木齐文化深游12日线,由北疆喀纳斯线种子生成的文化深游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,culture_deep,文化深游,culture_deep,12,9,3,9,P001;P036;P002;P013;P034;P023;P022;P019;P018,天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖,乌鲁木齐周边;东疆;巴州-南疆北线;北疆,天池风景区;乌鲁木齐市;达坂城镇;吐鲁番市;库尔勒市;阿勒泰市;禾木村,4,5,0,4,5190,13600,0.382,48.094,85.222,81.65,34.933,3.851,2,6.298,48.089,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,增强丝路、民俗、考古文化主题,True,selected_q4v2_portfolio,6.0
Q4V2_R046,COL007,Short_Urumqi_East,Short_Urumqi_East_low_pressure,东疆—赛湖—喀什错峰分流12日线,由乌鲁木齐东疆短线种子扩展为跨区错峰分流12天产品，不再按短线产品解释。,decongested_route,错峰分流,low_pressure,12,9,3,9,P001;P002;P004;P006;P003;P034;P008;P017;P024,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 罗布人村寨 -> 赛里木湖 -> 果子沟大桥 -> 喀什古城,乌鲁木齐周边;东疆;巴州-南疆北线;伊犁;南疆,天池风景区;达坂城镇;吐鲁番市;库尔勒市;赛里木湖;喀什市,4,5,0,5,13660,20400,0.67,58.868,94.222,73.314,44.372,5.06,3,6.721,56.976,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,True,selected_q4v2_portfolio,7.0
Q4V2_R053,COL008,SilkRoad_Deep,SilkRoad_Deep_low_pressure,东疆—赛湖—喀什错峰分流12日线,由丝路深游线种子生成的错峰分流12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,decongested_route,错峰分流,low_pressure,12,9,3,9,P013;P011;P012;P006;P001;P008;P030;P031;P024,吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 交河故城 -> 天山天池 -> 赛里木湖 -> 库车王府 -> 克孜尔石窟 -> 喀什古城,东疆;乌鲁木齐周边;伊犁;巴州-南疆北线;南疆,吐鲁番市;天池风景区;赛里木湖;库车市;喀什市,7,3,0,4,6830,10200,0.67,61.371,85.889,79.074,44.326,3.86,3,6.301,54.866,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,优先选高承载、低热点替代点，承担拥挤分流,True,selected_q4v2_portfolio,8.0
Q4V2_R024,COL004,South_Culture,South_Culture_senior_slow,帕米尔—喀什—巴州长者慢游12日线,由南疆文化线种子生成的长者慢游12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,senior_slow,长者慢游,senior_slow,12,8,4,8,P028;P027;P025;P024;P026;P030;P031;P029,石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷,南疆;巴州-南疆北线,塔什库尔干县(帕米尔高原);喀什市;库车市,6,2,2,6,2000,4371,0.458,36.934,60.5,98.0,25.632,2.167,1,6.058,41.079,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,低海拔、低转场、低红日的慢节奏产品,True,selected_q4v2_portfolio,9.0
Q4V2_R043,COL007,Short_Urumqi_East,Short_Urumqi_East_balanced_mass,乌鲁木齐—东疆大众均衡12日线,由乌鲁木齐东疆短线种子生成的大众均衡12天产品；seed仅表示初始线路来源，不等同于最终空间范围。,capacity_balanced,大众均衡,balanced_mass,12,10,2,10,P001;P035;P002;P004;P012;P005;P006;P003;P011;P013,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,乌鲁木齐周边;东疆,天池风景区;乌鲁木齐市;达坂城镇;吐鲁番市,6,4,0,3,16320,20400,0.8,56.015,62.0,97.575,23.417,1.075,0,5.876,55.465,由旧9线路容量锚定，并按景点安全承载量、线路长度、分流属性校准,保留原线路主题，扩展为12天中等强度产品,True,selected_q4v2_portfolio,10.0
