plan_id,gateway_policy,generation_method,include_special,covered_spots,target_spots,coverage_complete,missing_spots,duplicate_spots_count,year1_entry_gateway,year1_exit_gateway,year2_entry_gateway,year2_exit_gateway,year1_spots,year2_spots,year1_days,year2_days,max_year_days,year_day_difference,year1_transport_cost,year2_transport_cost,total_intra_transport_cost,total_travel_hours,total_service_hours,red_days,long_transfer_edges,time_window_violations,schedule_soft_feasible,schedule_strict_feasible,year1_route_sequence,year2_route_sequence,year1_spot_id_sequence,year2_spot_id_sequence,year1_mode_hours_mix,year2_mode_hours_mix,proved_optimal,solver_status,cost_calibration_version
Q2V3_010_OPEN_GATEWAY,open_gateway,spectral_reference_not_final,False,38,38,True,,0,伊宁市(伊犁),阿勒泰市,和田市,喀什市,30,8,24,5,24,19,2191.08,665.72,2856.8,90.073,130.25,0,7,0,True,True,果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园,P017 -> P008 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P029 -> P030 -> P031 -> P034 -> P032 -> P001 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P002 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026,"{""charter_car"": 6.468, ""gateway_access"": 1.1, ""rail"": 5.983, ""rental_car"": 48.164, ""scenic_shuttle"": 2.2, ""taxi_transfer"": 8.217}","{""charter_car"": 6.741, ""gateway_access"": 1.636, ""rental_car"": 7.314, ""taxi_transfer"": 2.25}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_073_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,阿勒泰市,吐鲁番市,和田市,伊宁市(伊犁),17,21,12,17,17,5,1012.71,2087.2,3099.91,95.925,130.25,0,7,0,True,True,世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001 -> P035 -> P002 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P034 -> P032 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,"{""charter_car"": 7.05, ""gateway_access"": 1.302, ""rental_car"": 21.114, ""scenic_shuttle"": 0.6, ""taxi_transfer"": 3.106}","{""charter_car"": 26.832, ""gateway_access"": 1.649, ""rail"": 3.55, ""rental_car"": 25.004, ""scenic_shuttle"": 1.6, ""taxi_transfer"": 4.118}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_085_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,喀什市,伊宁市(伊犁),库车市,阿勒泰市,16,22,15,16,16,1,1697.59,1503.82,3201.41,100.467,130.25,1,9,1,True,False,喀什古城 -> 艾提尕尔清真寺 -> 香妃园 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 博斯腾湖 -> 罗布人村寨 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 江布拉克草原 -> 天山天池 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,P024 -> P025 -> P026 -> P028 -> P027 -> P040 -> P037 -> P039 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,P030 -> P031 -> P029 -> P032 -> P034 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P002 -> P035 -> P001 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,"{""charter_car"": 25.958, ""gateway_access"": 1.351, ""rental_car"": 23.325, ""scenic_shuttle"": 0.3, ""taxi_transfer"": 2.963}","{""charter_car"": 6.5, ""gateway_access"": 1.1, ""rail"": 3.55, ""rental_car"": 29.143, ""scenic_shuttle"": 1.9, ""taxi_transfer"": 4.377}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_067_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,吐鲁番市,伊宁市(伊犁),和田市,阿勒泰市,15,23,12,19,19,7,968.03,2391.71,3359.74,99.792,130.25,1,9,0,True,True,交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 达坂城古镇 -> 江布拉克草原 -> 天山天池 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,P006 -> P005 -> P012 -> P003 -> P013 -> P011 -> P004 -> P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P034 -> P032 -> P002 -> P035 -> P001 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,"{""charter_car"": 14.418, ""gateway_access"": 1.423, ""rental_car"": 16.167, ""scenic_shuttle"": 0.3, ""taxi_transfer"": 3.438}","{""charter_car"": 13.813, ""gateway_access"": 1.449, ""rail"": 3.55, ""rental_car"": 38.955, ""scenic_shuttle"": 1.9, ""taxi_transfer"": 4.379}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_077_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,和田市,库尔勒市,那拉提镇,阿勒泰市,14,24,10,19,19,9,1523.98,1836.88,3360.86,97.163,130.25,0,9,0,True,True,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 博斯腾湖 -> 罗布人村寨,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P033 -> P032 -> P034,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P001 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P002 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023,"{""charter_car"": 20.225, ""gateway_access"": 1.449, ""rental_car"": 12.27, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 3.521}","{""charter_car"": 12.57, ""gateway_access"": 1.1, ""rail"": 2.433, ""rental_car"": 36.413, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 4.982}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_083_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,库尔勒市,和田市,那拉提镇,吐鲁番市,15,23,12,19,19,7,1615.78,1777.68,3393.46,103.757,130.25,0,10,0,True,True,罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 那拉提草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 和田博物馆 -> 千里葡萄长廊,夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城,P034 -> P032 -> P033 -> P009 -> P029 -> P030 -> P031 -> P026 -> P028 -> P027 -> P040 -> P025 -> P024 -> P037 -> P039,P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001 -> P035 -> P002 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006,"{""charter_car"": 14.014, ""gateway_access"": 1.1, ""rental_car"": 22.63, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 4.59}","{""charter_car"": 7.05, ""gateway_access"": 7.7, ""rental_car"": 40.77, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 3.703}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_069_OPEN_GATEWAY,open_gateway,random_region_restart,False,38,38,True,,0,那拉提镇,阿勒泰市,和田市,乌鲁木齐市,14,24,16,15,16,1,1618.96,1816.22,3435.18,101.879,130.25,0,8,0,True,True,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海,和田博物馆 -> 千里葡萄长廊 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 博斯腾湖 -> 罗布人村寨 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 达坂城古镇 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021,P037 -> P039 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P030 -> P031 -> P029 -> P032 -> P034 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P002 -> P036 -> P035 -> P001,"{""charter_car"": 13.548, ""gateway_access"": 8.784, ""rental_car"": 25.104, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 20.313, ""gateway_access"": 1.935, ""rail"": 3.55, ""rental_car"": 17.887, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.103}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_018_OPEN_GATEWAY,open_gateway,grand_tour_split,False,38,38,True,,0,库车市,乌鲁木齐市,阿勒泰市,和田市,15,23,9,22,22,13,758.39,2738.69,3497.08,104.556,130.25,0,10,0,True,True,库车王府 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 世界魔鬼城 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P030 -> P029 -> P034 -> P032 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P002 -> P036 -> P035 -> P001,P022 -> P019 -> P018 -> P020 -> P021 -> P023 -> P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009 -> P033 -> P031 -> P026 -> P024 -> P025 -> P028 -> P027 -> P040 -> P037 -> P039,"{""gateway_access"": 1.586, ""rail"": 3.55, ""rental_car"": 15.054, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 5.004}","{""charter_car"": 27.749, ""gateway_access"": 4.174, ""rental_car"": 42.057, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 3.182}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_006_OPEN_GATEWAY,open_gateway,early_graph_baseline,False,38,38,True,,0,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,15,23,15,15,15,0,1568.82,1938.68,3507.5,101.137,130.25,0,10,0,True,True,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P013 -> P011 -> P003 -> P004 -> P012 -> P005 -> P006 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039,"{""charter_car"": 13.548, ""gateway_access"": 1.586, ""rental_car"": 29.82, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 20.752, ""gateway_access"": 1.883, ""rail"": 2.433, ""rental_car"": 20.335, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.125}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
Q2V3_002_OPEN_GATEWAY,open_gateway,amap_selfdrive_baseline,False,38,38,True,,0,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,15,23,15,15,15,0,1568.82,1940.41,3509.23,101.942,130.25,0,10,0,True,True,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 天山天池,达坂城古镇 -> 江布拉克草原 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P001,P002 -> P035 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P025 -> P024 -> P028 -> P027 -> P040 -> P037 -> P039,"{""charter_car"": 13.548, ""gateway_access"": 1.586, ""rental_car"": 29.82, ""scenic_shuttle"": 0.9, ""taxi_transfer"": 1.455}","{""charter_car"": 27.252, ""gateway_access"": 1.883, ""rail"": 2.433, ""rental_car"": 14.535, ""scenic_shuttle"": 1.3, ""taxi_transfer"": 7.23}",False,matheuristic_seed_2opt_relocate_swap,scenic_floor_base_v1 + road_mode_normalization_q1v3
