route_id,route_theme,product_type,target_segment,route_capacity_persons_12day,portfolio_quality_score,comfort_score,diversity_score,low_pressure_score,quality_pass_proxy,exact_score,route_sequence
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,大众均衡,16320,55.465,97.575,62.0,23.417,1,64.29720005501717,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,capacity_balanced,大众均衡,12240,52.132,97.43,57.0,23.156,1,56.89326140384531,达坂城古镇 -> 天山天池 -> 北庭故城遗址 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,capacity_balanced,大众均衡,11550,46.96,79.456,70.0,33.639,1,52.5312627971574,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村
Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,capacity_balanced,大众均衡,13990,40.803,69.342,56.0,28.1,0,49.08461336032455,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原 -> 天山神秘大峡谷 -> 罗布人村寨 -> 吐峪沟麻扎村
Q4V2_R047,乌鲁木齐—东疆文化深游12日线,culture_deep,文化深游,10810,53.66,98.0,61.667,23.957,1,56.658050735110606,天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,decongested_route,错峰分流,13660,56.976,73.314,94.222,44.372,0,62.26713521377444,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 罗布人村寨 -> 赛里木湖 -> 果子沟大桥 -> 喀什古城
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,decongested_route,错峰分流,10240,56.233,98.0,67.889,29.314,1,58.05213551253759,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,decongested_route,错峰分流,11710,50.448,89.957,65.778,33.626,1,55.08747922751202,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 天山天池 -> 火焰山 -> 吐峪沟麻扎村
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,decongested_route,错峰分流,6830,54.866,79.074,85.889,44.326,1,52.86184331023501,吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 交河故城 -> 天山天池 -> 赛里木湖 -> 库车王府 -> 克孜尔石窟 -> 喀什古城
Q4V2_R004,巴州—东疆—乌鲁木齐错峰分流12日线,decongested_route,错峰分流,6560,45.039,73.174,83.111,41.675,0,45.72457051319591,天山天池 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 赛里木湖 -> 果子沟大桥
Q4V2_R044,乌鲁木齐—东疆亲子舒适12日线,family_comfort,亲子舒适,11420,56.614,98.0,66.75,24.708,1,59.76810536805407,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R016,乌鲁木齐—东疆亲子舒适12日线,family_comfort,亲子舒适,8570,53.964,98.0,60.5,24.884,1,54.30860920238845,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,nature_flagship,自然风景,11830,53.394,91.148,70.667,29.877,1,57.78364898818037,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村 -> 赛里木湖 -> 果子沟大桥
Q4V2_R020,乌鲁木齐—东疆自然风景12日线,nature_flagship,自然风景,8870,53.162,98.0,61.667,23.957,1,54.021599800236146,达坂城古镇 -> 天山天池 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R034,巴州—东疆—乌鲁木齐自然风景12日线,nature_flagship,自然风景,7100,46.553,80.912,74.111,35.27,1,47.33463754738432,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村
Q4V2_R049,乌鲁木齐—东疆精品预约12日线,premium_reserve,精品预约,9790,56.053,98.0,66.75,24.708,1,57.44738293571719,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,senior_slow,长者慢游,9180,56.925,98.0,69.429,25.388,1,57.55516723945933,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村
Q4V2_R017,乌鲁木齐—东疆长者慢游12日线,senior_slow,长者慢游,6880,53.035,98.0,60.5,24.884,1,51.71602400685772,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
