scenario_multiplier,source_route_id,source_route_theme,target_route_id,target_route_theme,source_overflow_visitors,target_spare_capacity,acceptance_probability,proposed_reallocated_visitors,region_similarity,theme_similarity,extra_travel_penalty,decision_note
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,1299.1254,1048.3628,0.1504,195,0.6667,1.0,0.0522,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,1299.1254,2683.6933,0.1152,150,0.6667,0.35,0.0584,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,1299.1254,2615.9044,0.11,143,0.75,0.35,0.395,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,1299.1254,3978.2204,0.1066,138,0.75,0.35,0.378,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,1299.1254,467.1591,0.1047,136,1.0,0.35,0.4308,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,1299.1254,1286.0957,0.1037,135,0.5,0.35,0.1872,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,1299.1254,7531.386,0.0857,111,0.5,0.35,0.642,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R006,东疆—北疆—赛湖自然风景12日线,1299.1254,3886.9867,0.08,104,0.4,0.35,0.7638,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R041,东疆—赛湖—喀什自然风景12日线,1299.1254,751.2452,0.0721,94,0.6,0.35,0.7962,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,Q4V2_R039,喀什—和田—东疆错峰分流12日线,1299.1254,301.8464,0.0716,93,0.5,0.35,0.4596,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
1.2,Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,500.6998,2683.6933,0.1686,84,1.0,1.0,0.038,按主题相似、区域相近、舒适度、剩余容量和额外转场惩罚分流；显式抑制全部转入East_Heritage。
