spot_id,spot_name,region_cluster,priority_score_for_op,substitution_role
P013,吐峪沟麻扎村,东疆,7,楼兰文化/西域文化可普通访问替代节点
P006,交河故城,东疆,6,楼兰文化/西域文化可普通访问替代节点
P005,坎儿井民俗园,东疆,6,楼兰文化/西域文化可普通访问替代节点
P012,苏公塔,东疆,6,楼兰文化/西域文化可普通访问替代节点
P002,达坂城古镇,乌鲁木齐周边,6,楼兰文化/西域文化可普通访问替代节点
P011,高昌故城,东疆,6,楼兰文化/西域文化可普通访问替代节点
P034,罗布人村寨,巴州-南疆北线,4,楼兰文化/西域文化可普通访问替代节点
P031,克孜尔石窟,巴州-南疆北线,3,楼兰文化/西域文化可普通访问替代节点
P036,北庭故城遗址,乌鲁木齐周边,3,楼兰文化/西域文化可普通访问替代节点
P037,和田博物馆,南疆,3,楼兰文化/西域文化可普通访问替代节点
P024,喀什古城,南疆,3,楼兰文化/西域文化可普通访问替代节点
P030,库车王府,巴州-南疆北线,3,楼兰文化/西域文化可普通访问替代节点
P028,石头城遗址,南疆,3,楼兰文化/西域文化可普通访问替代节点
P025,艾提尕尔清真寺,南疆,3,楼兰文化/西域文化可普通访问替代节点
P026,香妃园,南疆,3,楼兰文化/西域文化可普通访问替代节点
