route_id,order,spot_id,spot_name,region_cluster,hub_name,travel_from_previous_hub_hours,service_hours_used,cumulative_hours,cumulative_day_equiv,ticket_total_yuan_per_person,requires_approval,requires_border_permit,map_confidence
P3_Group_1,1,P036,北庭故城遗址,乌鲁木齐周边,乌鲁木齐市,0.0,6.0,6.0,0.75,38.0,False,False,low
P3_Group_1,2,P007,楼兰古城,巴州-南疆北线,若羌县(楼兰),12.0,37.5,55.5,6.94,4000.0,True,False,high
P3_Group_1,3,P038,尼雅遗址,南疆,民丰县(尼雅遗址),11.5,34.0,101.0,12.62,45.0,True,False,high
P3_Group_1,4,END,返回/离疆：乌鲁木齐市,,乌鲁木齐市,23.5,0.0,124.5,15.56,,,,
P3_Group_2,1,P005,坎儿井民俗园,东疆,吐鲁番市,2.5,6.0,8.5,1.06,40.0,False,False,high
P3_Group_2,2,P011,高昌故城,东疆,吐鲁番市,0.0,11.0,19.5,2.44,70.0,False,False,medium
P3_Group_2,3,P034,罗布人村寨,巴州-南疆北线,库尔勒市,4.5,11.0,35.0,4.38,35.0,False,False,medium
P3_Group_2,4,P037,和田博物馆,南疆,和田市,16.0,10.0,61.0,7.62,0.0,False,False,high
P3_Group_2,5,P028,石头城遗址,南疆,塔什库尔干县(帕米尔高原),11.0,10.0,82.0,10.25,30.0,False,True,high
P3_Group_2,6,P030,库车王府,巴州-南疆北线,库车市,13.5,6.0,101.5,12.69,40.0,False,False,high
P3_Group_2,7,END,返回/离疆：乌鲁木齐市,,乌鲁木齐市,16.5,0.0,118.0,14.75,,,,
P3_Group_3,1,P002,达坂城古镇,乌鲁木齐周边,达坂城镇,1.5,11.0,12.5,1.56,40.0,False,False,high
P3_Group_3,2,P013,吐峪沟麻扎村,东疆,吐鲁番市,1.8,11.0,25.3,3.16,30.0,False,False,medium
P3_Group_3,3,P012,苏公塔,东疆,吐鲁番市,0.0,6.0,31.3,3.91,45.0,False,False,high
P3_Group_3,4,P006,交河故城,东疆,吐鲁番市,0.0,7.0,38.3,4.79,30.0,False,False,high
P3_Group_3,5,P031,克孜尔石窟,巴州-南疆北线,库车市,19.0,11.5,68.8,8.6,70.0,False,False,medium
P3_Group_3,6,P025,艾提尕尔清真寺,南疆,喀什市,9.0,6.0,83.8,10.47,30.0,False,False,high
P3_Group_3,7,P026,香妃园,南疆,喀什市,0.0,10.0,93.8,11.72,60.0,False,False,high
P3_Group_3,8,P024,喀什古城,南疆,喀什市,0.0,14.0,107.8,13.47,0.0,False,False,high
P3_Group_3,9,END,返回/离疆：乌鲁木齐市,,乌鲁木齐市,18.0,0.0,125.8,15.72,,,,
