persona_id,day,visit_spots_count,visit_spots,day_travel_hours,day_service_hours,day_active_hours,transport_cost_yuan_for_two,distance_km,risk_proxy,fatigue_index,comfort_score,stress_level
standard_active,1,3,达坂城古镇 -> 交河故城 -> 坎儿井民俗园,3.043,5.75,8.793,118.53,215.521,0.185,14.67,85.33,green
standard_active,2,3,苏公塔 -> 葡萄沟 -> 火焰山,1.126,7.0,8.126,25.06,45.56,0.15,7.97,92.03,green
standard_active,3,2,高昌故城 -> 吐峪沟麻扎村,0.925,5.0,5.925,18.79,34.161,0.087,1.3,98.7,green
standard_active,4,1,北庭故城遗址,4.702,1.5,6.202,190.84,346.988,0.12,2.43,97.57,green
standard_active,5,1,江布拉克草原,1.334,3.5,4.834,38.39,69.796,0.059,2.39,97.61,green
standard_active,6,1,天山天池,1.957,5.0,6.957,94.59,171.989,0.095,1.43,98.57,green
standard_active,7,0,跨区转场至赛里木湖,6.21,0.0,6.21,323.25,587.736,0.172,13.92,86.08,green
standard_active,8,1,赛里木湖,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
standard_active,9,2,霍城薰衣草花田 -> 果子沟大桥,1.752,4.0,5.752,56.13,102.053,0.127,1.9,98.1,green
standard_active,10,0,跨区转场至喀拉峻大草原,5.036,0.0,5.036,187.09,340.162,0.151,4.63,95.37,green
standard_active,11,1,喀拉峻大草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
standard_active,12,1,夏塔古道,3.426,5.0,8.426,104.41,189.843,0.122,8.13,91.87,green
standard_active,13,1,昭苏草原,3.726,3.5,7.226,66.27,120.499,0.102,1.53,98.47,green
standard_active,14,0,跨区转场至那拉提草原,7.238,0.0,7.238,169.17,307.584,0.19,24.28,75.72,yellow
standard_active,15,1,那拉提草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
standard_active,16,0,跨区转场至博斯腾湖,7.945,0.0,7.945,241.1,438.359,0.178,34.23,65.77,red
standard_active,17,2,博斯腾湖 -> 罗布人村寨,2.921,6.0,8.921,95.13,172.955,0.108,14.36,85.64,green
standard_active,18,0,跨区转场至巴音布鲁克草原,6.582,0.0,6.582,243.67,443.035,0.178,17.48,82.52,yellow
standard_active,19,1,巴音布鲁克草原,0.0,6.0,6.0,0.0,0.0,0.02,1.8,98.2,green
standard_active,20,1,天山神秘大峡谷,3.377,3.5,6.877,106.05,192.819,0.096,1.44,98.56,green
standard_active,21,2,库车王府 -> 克孜尔石窟,2.572,4.0,6.572,72.34,131.537,0.141,2.12,97.88,green
standard_active,22,0,跨区转场至艾提尕尔清真寺,7.542,0.0,7.542,383.27,696.853,0.196,27.73,72.27,yellow
standard_active,23,2,艾提尕尔清真寺 -> 喀什古城,0.151,5.0,5.151,1.2,2.175,0.083,2.74,97.26,green
standard_active,24,1,奥依塔克冰川,2.155,3.5,5.655,57.44,104.429,0.099,1.48,98.52,green
standard_active,25,2,帕米尔高原白沙湖 -> 石头城遗址,3.96,5.0,8.96,121.65,221.18,0.261,15.59,84.41,green
standard_active,26,1,香妃园,5.106,2.5,7.606,156.66,284.837,0.152,5.41,94.59,green
standard_active,27,1,和田博物馆,5.571,2.5,8.071,273.86,497.932,0.16,13.22,86.78,green
standard_active,28,1,千里葡萄长廊,0.396,1.5,1.896,6.93,12.601,0.067,2.51,97.49,green
family_comfort,1,2,达坂城古镇 -> 交河故城,2.741,4.25,6.991,113.16,205.75,0.144,4.84,95.16,green
family_comfort,2,3,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,0.857,6.0,6.857,13.64,24.798,0.145,5.92,94.08,green
family_comfort,3,2,火焰山 -> 高昌故城,0.902,5.0,5.902,24.5,44.547,0.086,1.29,98.71,green
