route_id,order,spot_id,spot_name,region_cluster,travel_from_previous_hours,distance_from_previous_km,service_hours_used,cumulative_hours,cumulative_day_equiv,requires_approval,requires_border_permit
P2_AMAP_Y1_North_Ili_loop,1,P009,那拉提草原,伊犁,7.57,459.4,6.0,13.57,1.7,False,False
P2_AMAP_Y1_North_Ili_loop,2,P015,昭苏草原,伊犁,7.12,310.7,3.5,24.18,3.02,False,False
P2_AMAP_Y1_North_Ili_loop,3,P016,夏塔古道,伊犁,3.72,120.1,5.0,32.9,4.11,False,False
P2_AMAP_Y1_North_Ili_loop,4,P010,喀拉峻大草原,伊犁,3.37,189.8,6.0,42.27,5.28,False,False
P2_AMAP_Y1_North_Ili_loop,5,P014,霍城薰衣草花田,伊犁,3.45,238.9,2.5,48.22,6.03,False,False
P2_AMAP_Y1_North_Ili_loop,6,P017,果子沟大桥,伊犁,0.6,34.7,1.5,50.32,6.29,False,False
P2_AMAP_Y1_North_Ili_loop,7,P008,赛里木湖,伊犁,0.6,41.1,6.0,56.91,7.11,False,False
P2_AMAP_Y1_North_Ili_loop,8,P023,世界魔鬼城,北疆,5.76,553.0,2.5,65.18,8.15,False,False
P2_AMAP_Y1_North_Ili_loop,9,P019,禾木村,北疆,5.43,371.0,12.0,82.61,10.33,False,False
P2_AMAP_Y1_North_Ili_loop,10,P018,喀纳斯湖,北疆,2.61,98.8,7.0,92.22,11.53,False,False
P2_AMAP_Y1_North_Ili_loop,11,P020,白哈巴村,北疆,0.86,31.3,3.5,96.58,12.07,False,True
P2_AMAP_Y1_North_Ili_loop,12,P022,五彩滩,北疆,2.55,142.7,2.5,101.63,12.7,False,False
P2_AMAP_Y1_North_Ili_loop,13,P021,可可托海,北疆,4.97,340.1,5.0,111.6,13.95,False,False
P2_AMAP_Y1_North_Ili_loop,14,P036,北庭故城遗址,乌鲁木齐周边,5.04,431.5,1.5,118.14,14.77,False,False
P2_AMAP_Y1_North_Ili_loop,15,P035,江布拉克草原,乌鲁木齐周边,1.33,69.8,3.5,122.98,15.37,False,False
P2_AMAP_Y1_North_Ili_loop,16,P001,天山天池,乌鲁木齐周边,1.96,172.0,5.0,129.93,16.24,False,False
P2_AMAP_Y1_North_Ili_loop,17,P002,达坂城古镇,乌鲁木齐周边,2.13,170.4,2.5,134.56,16.82,False,False
P2_AMAP_Y1_North_Ili_loop,18,END,返回乌鲁木齐,,1.22,99.9,0.0,135.79,16.97,,
P2_AMAP_Y2_East_South_open,1,P013,吐峪沟麻扎村,东疆,2.86,253.1,2.5,5.36,0.67,False,False
P2_AMAP_Y2_East_South_open,2,P011,高昌故城,东疆,0.42,17.8,2.5,8.28,1.04,False,False
P2_AMAP_Y2_East_South_open,3,P003,火焰山,东疆,0.47,15.7,2.5,11.26,1.41,False,False
P2_AMAP_Y2_East_South_open,4,P004,葡萄沟,东疆,0.58,30.3,3.0,14.83,1.85,False,False
P2_AMAP_Y2_East_South_open,5,P012,苏公塔,东疆,0.3,9.1,1.5,16.63,2.08,False,False
P2_AMAP_Y2_East_South_open,6,P005,坎儿井民俗园,东疆,0.26,5.9,1.5,18.39,2.3,False,False
