spot_id,spot_name,hub_id,hub_name,map_confidence,local_access_km_from_text,local_access_hours_from_text,mapping_note
P001,天山天池,H011,天池风景区,high,110.0,1.5,题面偏好点；边表有天池风景区节点
P002,达坂城古镇,H003,达坂城镇,high,90.0,1.0,题面偏好点；边表有达坂城镇节点
P003,火焰山,H002,吐鲁番市,high,30.0,1.0,吐鲁番片区景点，先映射到吐鲁番市
P004,葡萄沟,H002,吐鲁番市,high,10.0,,吐鲁番市内/近郊景点
P005,坎儿井民俗园,H002,吐鲁番市,high,5.0,,吐鲁番市内景点
P006,交河故城,H002,吐鲁番市,high,10.0,,吐鲁番市内/近郊文化景点
P007,楼兰古城,H008,若羌县(楼兰),high,300.0,5.5,题面偏好点；需审批，边表有若羌县(楼兰)
P008,赛里木湖,H010,赛里木湖,high,150.0,2.0,景点名与边表节点一致
P009,那拉提草原,H009,那拉提镇,high,250.0,3.5,边表有那拉提镇节点
P010,喀拉峻大草原,H017,特克斯县(八卦城),medium,130.0,2.0,喀拉峻位于特克斯方向，边表无喀拉峻专门节点
P011,高昌故城,H002,吐鲁番市,medium,40.0,1.0,吐鲁番片区，需本地接驳
P012,苏公塔,H002,吐鲁番市,high,2.0,,吐鲁番市内景点
P013,吐峪沟麻扎村,H002,吐鲁番市,medium,50.0,1.0,吐鲁番-鄯善方向，先映射到吐鲁番市
P014,霍城薰衣草花田,H016,霍城县(惠远古城),medium,50.0,1.0,霍城片区，边表节点为惠远古城
P015,昭苏草原,H018,昭苏县(夏塔古道),medium,180.0,3.0,昭苏片区，边表节点为夏塔古道
P016,夏塔古道,H018,昭苏县(夏塔古道),high,70.0,1.5,边表有昭苏县(夏塔古道)节点
P017,果子沟大桥,H010,赛里木湖,medium,100.0,1.5,近赛里木湖/霍城，先映射到赛里木湖节点
P018,喀纳斯湖,H013,禾木村,low,150.0,2.5,边表缺布尔津/喀纳斯节点，临时挂到禾木村
P019,禾木村,H013,禾木村,high,160.0,3.0,景点名与边表节点一致
P020,白哈巴村,H014,白哈巴,high,120.0,2.0,边表有白哈巴节点
P021,可可托海,H012,可可托海,high,50.0,1.0,景点名与边表节点一致
P022,五彩滩,H013,禾木村,low,20.0,,边表缺布尔津节点，临时挂到禾木村
P023,世界魔鬼城,H006,阿勒泰市,low,100.0,1.5,边表缺克拉玛依/乌尔禾节点，需补边
P024,喀什古城,H005,喀什市,high,5.0,,喀什市内景点
P025,艾提尕尔清真寺,H005,喀什市,high,3.0,,喀什市内景点
P026,香妃园,H005,喀什市,high,10.0,,喀什市内景点
P027,帕米尔高原白沙湖,H021,塔什库尔干县(帕米尔高原),high,150.0,2.5,帕米尔/塔县方向，需边防证
P028,石头城遗址,H021,塔什库尔干县(帕米尔高原),high,10.0,,塔县景点，需边防证
P029,天山神秘大峡谷,H020,库车市,medium,70.0,1.5,库车方向景点，需本地接驳
P030,库车王府,H020,库车市,high,5.0,,库车市内景点
P031,克孜尔石窟,H020,库车市,medium,70.0,1.5,拜城县方向，边表缺拜城，先映射库车
P032,博斯腾湖,H007,库尔勒市,medium,20.0,,博湖方向，边表缺博湖，先映射库尔勒
P033,巴音布鲁克草原,H019,巴音布鲁克,high,280.0,4.0,边表有巴音布鲁克节点
P034,罗布人村寨,H007,库尔勒市,medium,40.0,1.0,尉犁方向，边表缺尉犁，先映射库尔勒
P035,江布拉克草原,H001,乌鲁木齐市,low,60.0,1.5,边表缺奇台/江布拉克节点，需补边
P036,北庭故城遗址,H001,乌鲁木齐市,low,10.0,,边表缺吉木萨尔节点，需补边
P037,和田博物馆,H023,和田市,high,5.0,,和田市内景点
P038,尼雅遗址,H024,民丰县(尼雅遗址),high,100.0,2.0,边表有民丰县(尼雅遗址)节点；需审批/向导
P039,千里葡萄长廊,H023,和田市,medium,10.0,,和田县近郊，先映射和田市
P040,奥依塔克冰川,H005,喀什市,medium,100.0,2.0,阿克陶方向，边表缺阿克陶，先映射喀什
