from_spot_id,from_spot_name,to_spot_id,to_spot_name,from_hub,to_hub,shortest_time_hours,shortest_distance_km,path_hubs
P001,天山天池,P001,天山天池,天池风景区,天池风景区,0.0,0.0,天池风景区
P001,天山天池,P002,达坂城古镇,天池风景区,达坂城镇,3.0,195.0,天池风景区 -> 乌鲁木齐市 -> 达坂城镇
P001,天山天池,P003,火焰山,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P004,葡萄沟,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P005,坎儿井民俗园,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P006,交河故城,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P007,楼兰古城,天池风景区,若羌县(楼兰),13.5,1036.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰)
P001,天山天池,P008,赛里木湖,天池风景区,赛里木湖,10.5,935.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖
P001,天山天池,P009,那拉提草原,天池风景区,那拉提镇,11.5,1035.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇
P001,天山天池,P010,喀拉峻大草原,天池风景区,特克斯县(八卦城),10.5,900.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城)
P001,天山天池,P011,高昌故城,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P012,苏公塔,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P013,吐峪沟麻扎村,天池风景区,吐鲁番市,4.0,275.0,天池风景区 -> 乌鲁木齐市 -> 吐鲁番市
P001,天山天池,P014,霍城薰衣草花田,天池风景区,霍城县(惠远古城),9.5,830.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城)
P001,天山天池,P015,昭苏草原,天池风景区,昭苏县(夏塔古道),12.0,965.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道)
P001,天山天池,P016,夏塔古道,天池风景区,昭苏县(夏塔古道),12.0,965.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道)
P001,天山天池,P017,果子沟大桥,天池风景区,赛里木湖,10.5,935.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖
P001,天山天池,P018,喀纳斯湖,天池风景区,禾木村,9.0,715.0,天池风景区 -> 乌鲁木齐市 -> 禾木村
P001,天山天池,P019,禾木村,天池风景区,禾木村,9.0,715.0,天池风景区 -> 乌鲁木齐市 -> 禾木村
P001,天山天池,P020,白哈巴村,天池风景区,白哈巴,10.0,775.0,天池风景区 -> 乌鲁木齐市 -> 白哈巴
P001,天山天池,P021,可可托海,天池风景区,可可托海,8.0,625.0,天池风景区 -> 乌鲁木齐市 -> 可可托海
P001,天山天池,P022,五彩滩,天池风景区,禾木村,9.0,715.0,天池风景区 -> 乌鲁木齐市 -> 禾木村
P001,天山天池,P023,世界魔鬼城,天池风景区,阿勒泰市,7.5,595.0,天池风景区 -> 乌鲁木齐市 -> 阿勒泰市
P001,天山天池,P024,喀什古城,天池风景区,喀什市,19.5,1560.0,天池风景区 -> 乌鲁木齐市 -> 喀什市
P001,天山天池,P025,艾提尕尔清真寺,天池风景区,喀什市,19.5,1560.0,天池风景区 -> 乌鲁木齐市 -> 喀什市
P001,天山天池,P026,香妃园,天池风景区,喀什市,19.5,1560.0,天池风景区 -> 乌鲁木齐市 -> 喀什市
P001,天山天池,P027,帕米尔高原白沙湖,天池风景区,塔什库尔干县(帕米尔高原),24.0,1850.0,天池风景区 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原)
P001,天山天池,P028,石头城遗址,天池风景区,塔什库尔干县(帕米尔高原),24.0,1850.0,天池风景区 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原)
P001,天山天池,P029,天山神秘大峡谷,天池风景区,库车市,18.0,1455.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P001,天山天池,P030,库车王府,天池风景区,库车市,18.0,1455.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P001,天山天池,P031,克孜尔石窟,天池风景区,库车市,18.0,1455.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P001,天山天池,P032,博斯腾湖,天池风景区,库尔勒市,7.5,566.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市
P001,天山天池,P033,巴音布鲁克草原,天池风景区,巴音布鲁克,14.0,1195.0,天池风景区 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克
P001,天山天池,P034,罗布人村寨,天池风景区,库尔勒市,7.5,566.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市
P001,天山天池,P035,江布拉克草原,天池风景区,乌鲁木齐市,1.5,95.0,天池风景区 -> 乌鲁木齐市
P001,天山天池,P036,北庭故城遗址,天池风景区,乌鲁木齐市,1.5,95.0,天池风景区 -> 乌鲁木齐市
P001,天山天池,P037,和田博物馆,天池风景区,和田市,23.5,1856.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市
P001,天山天池,P038,尼雅遗址,天池风景区,民丰县(尼雅遗址),25.0,1966.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址)
P001,天山天池,P039,千里葡萄长廊,天池风景区,和田市,23.5,1856.0,天池风景区 -> 乌鲁木齐市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市
P001,天山天池,P040,奥依塔克冰川,天池风景区,喀什市,19.5,1560.0,天池风景区 -> 乌鲁木齐市 -> 喀什市
P002,达坂城古镇,P001,天山天池,达坂城镇,天池风景区,3.0,195.0,达坂城镇 -> 乌鲁木齐市 -> 天池风景区
P002,达坂城古镇,P002,达坂城古镇,达坂城镇,达坂城镇,0.0,0.0,达坂城镇
P002,达坂城古镇,P003,火焰山,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P004,葡萄沟,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P005,坎儿井民俗园,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P006,交河故城,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P007,楼兰古城,达坂城镇,若羌县(楼兰),12.3,960.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰)
P002,达坂城古镇,P008,赛里木湖,达坂城镇,赛里木湖,10.5,940.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖
P002,达坂城古镇,P009,那拉提草原,达坂城镇,那拉提镇,11.5,1040.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇
P002,达坂城古镇,P010,喀拉峻大草原,达坂城镇,特克斯县(八卦城),10.5,905.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 特克斯县(八卦城)
P002,达坂城古镇,P011,高昌故城,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P012,苏公塔,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P013,吐峪沟麻扎村,达坂城镇,吐鲁番市,1.8,120.0,达坂城镇 -> 吐鲁番市
P002,达坂城古镇,P014,霍城薰衣草花田,达坂城镇,霍城县(惠远古城),9.5,835.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 霍城县(惠远古城)
P002,达坂城古镇,P015,昭苏草原,达坂城镇,昭苏县(夏塔古道),12.0,970.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道)
P002,达坂城古镇,P016,夏塔古道,达坂城镇,昭苏县(夏塔古道),12.0,970.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 昭苏县(夏塔古道)
P002,达坂城古镇,P017,果子沟大桥,达坂城镇,赛里木湖,10.5,940.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖
P002,达坂城古镇,P018,喀纳斯湖,达坂城镇,禾木村,9.0,720.0,达坂城镇 -> 乌鲁木齐市 -> 禾木村
P002,达坂城古镇,P019,禾木村,达坂城镇,禾木村,9.0,720.0,达坂城镇 -> 乌鲁木齐市 -> 禾木村
P002,达坂城古镇,P020,白哈巴村,达坂城镇,白哈巴,10.0,780.0,达坂城镇 -> 乌鲁木齐市 -> 白哈巴
P002,达坂城古镇,P021,可可托海,达坂城镇,可可托海,8.0,630.0,达坂城镇 -> 乌鲁木齐市 -> 可可托海
P002,达坂城古镇,P022,五彩滩,达坂城镇,禾木村,9.0,720.0,达坂城镇 -> 乌鲁木齐市 -> 禾木村
P002,达坂城古镇,P023,世界魔鬼城,达坂城镇,阿勒泰市,7.5,600.0,达坂城镇 -> 乌鲁木齐市 -> 阿勒泰市
P002,达坂城古镇,P024,喀什古城,达坂城镇,喀什市,19.5,1565.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市
P002,达坂城古镇,P025,艾提尕尔清真寺,达坂城镇,喀什市,19.5,1565.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市
P002,达坂城古镇,P026,香妃园,达坂城镇,喀什市,19.5,1565.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市
P002,达坂城古镇,P027,帕米尔高原白沙湖,达坂城镇,塔什库尔干县(帕米尔高原),24.0,1855.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原)
P002,达坂城古镇,P028,石头城遗址,达坂城镇,塔什库尔干县(帕米尔高原),24.0,1855.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市 -> 塔什库尔干县(帕米尔高原)
P002,达坂城古镇,P029,天山神秘大峡谷,达坂城镇,库车市,18.0,1460.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P002,达坂城古镇,P030,库车王府,达坂城镇,库车市,18.0,1460.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P002,达坂城古镇,P031,克孜尔石窟,达坂城镇,库车市,18.0,1460.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克 -> 库车市
P002,达坂城古镇,P032,博斯腾湖,达坂城镇,库尔勒市,6.3,490.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市
P002,达坂城古镇,P033,巴音布鲁克草原,达坂城镇,巴音布鲁克,14.0,1200.0,达坂城镇 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇 -> 巴音布鲁克
P002,达坂城古镇,P034,罗布人村寨,达坂城镇,库尔勒市,6.3,490.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市
P002,达坂城古镇,P035,江布拉克草原,达坂城镇,乌鲁木齐市,1.5,100.0,达坂城镇 -> 乌鲁木齐市
P002,达坂城古镇,P036,北庭故城遗址,达坂城镇,乌鲁木齐市,1.5,100.0,达坂城镇 -> 乌鲁木齐市
P002,达坂城古镇,P037,和田博物馆,达坂城镇,和田市,22.3,1780.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市
P002,达坂城古镇,P038,尼雅遗址,达坂城镇,民丰县(尼雅遗址),23.8,1890.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市 -> 民丰县(尼雅遗址)
P002,达坂城古镇,P039,千里葡萄长廊,达坂城镇,和田市,22.3,1780.0,达坂城镇 -> 吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰) -> 和田市
P002,达坂城古镇,P040,奥依塔克冰川,达坂城镇,喀什市,19.5,1565.0,达坂城镇 -> 乌鲁木齐市 -> 喀什市
P003,火焰山,P001,天山天池,吐鲁番市,天池风景区,4.0,275.0,吐鲁番市 -> 乌鲁木齐市 -> 天池风景区
P003,火焰山,P002,达坂城古镇,吐鲁番市,达坂城镇,1.8,120.0,吐鲁番市 -> 达坂城镇
P003,火焰山,P003,火焰山,吐鲁番市,吐鲁番市,0.0,0.0,吐鲁番市
P003,火焰山,P004,葡萄沟,吐鲁番市,吐鲁番市,0.0,0.0,吐鲁番市
P003,火焰山,P005,坎儿井民俗园,吐鲁番市,吐鲁番市,0.0,0.0,吐鲁番市
P003,火焰山,P006,交河故城,吐鲁番市,吐鲁番市,0.0,0.0,吐鲁番市
P003,火焰山,P007,楼兰古城,吐鲁番市,若羌县(楼兰),10.5,840.0,吐鲁番市 -> 库尔勒市 -> 若羌县(楼兰)
P003,火焰山,P008,赛里木湖,吐鲁番市,赛里木湖,11.5,1020.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 赛里木湖
P003,火焰山,P009,那拉提草原,吐鲁番市,那拉提镇,12.5,1120.0,吐鲁番市 -> 乌鲁木齐市 -> 伊宁市(伊犁) -> 那拉提镇
