from_spot_id,from_spot_name,to_spot_id,to_spot_name,scenario_id,mode_combo,dominant_mode,time_hours,cost_yuan_for_two,fatigue_score,risk_score,is_night_transport,requires_transfer,label_rank,generalized_cost_score,label_quality_note
P001,天山天池,P001,天山天池,base_summer,same_spot,same_spot,0.0,0.0,0.0,0.0,False,False,1,0.0,diagonal_zero_edge
P001,天山天池,P002,达坂城古镇,base_summer,self_drive,rental_car,2.131,93.7,2.387,0.117,False,False,1,345.9,amap_or_model_road_edge
P001,天山天池,P003,火焰山,base_summer,self_drive,rental_car,3.57,160.62,3.998,0.157,False,False,1,559.68,amap_or_model_road_edge
P001,天山天池,P004,葡萄沟,base_summer,self_drive,rental_car,3.231,148.51,3.619,0.15,False,False,1,514.45,amap_or_model_road_edge
P001,天山天池,P005,坎儿井民俗园,base_summer,self_drive,rental_car,3.235,146.5,3.623,0.149,False,False,1,512.16,amap_or_model_road_edge
P001,天山天池,P006,交河故城,base_summer,self_drive,rental_car,3.342,149.59,3.743,0.151,False,False,1,525.595,amap_or_model_road_edge
P001,天山天池,P007,楼兰古城,base_summer,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive,air,8.219,2613.41,9.346,0.312,False,True,1,3508.845,public_transport_candidate_needs_schedule_confirmation
P001,天山天池,P008,赛里木湖,base_summer,self_drive,rental_car,6.21,323.25,7.834,0.259,False,False,1,1048.53,amap_or_model_road_edge
P001,天山天池,P009,那拉提草原,base_summer,self_drive,charter_car,8.394,290.91,12.037,0.307,False,False,1,1310.565,amap_or_model_road_edge
P001,天山天池,P010,喀拉峻大草原,base_summer,self_drive -> self_drive,charter_car,10.817,488.71,20.198,0.463,False,True,1,2054.015,amap_or_model_road_edge
P001,天山天池,P011,高昌故城,base_summer,self_drive,rental_car,3.853,165.31,4.315,0.16,False,False,1,590.34,amap_or_model_road_edge
P001,天山天池,P012,苏公塔,base_summer,self_drive,rental_car,3.343,149.56,3.744,0.151,False,False,1,525.645,amap_or_model_road_edge
P001,天山天池,P013,吐峪沟麻扎村,base_summer,self_drive,rental_car,3.766,177.49,4.218,0.168,False,False,1,599.91,amap_or_model_road_edge
P001,天山天池,P014,霍城薰衣草花田,base_summer,self_drive,charter_car,7.202,357.18,9.192,0.289,False,False,1,1196.29,amap_or_model_road_edge
P001,天山天池,P015,昭苏草原,base_summer,self_drive -> self_drive,charter_car,12.844,511.51,27.98,0.508,False,True,1,2524.95,amap_or_model_road_edge
P001,天山天池,P016,夏塔古道,base_summer,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,air,12.036,1454.25,20.247,0.409,False,True,1,3032.025,public_transport_candidate_needs_schedule_confirmation
P001,天山天池,P017,果子沟大桥,base_summer,self_drive -> scenic_shuttle -> scenic_shuttle,scenic_shuttle,6.51,353.25,7.793,0.339,False,True,1,1135.185,amap_or_model_road_edge
P001,天山天池,P018,喀纳斯湖,base_summer,self_drive -> scenic_shuttle -> scenic_shuttle,scenic_shuttle,6.383,326.65,7.567,0.321,False,True,1,1083.17,amap_or_model_road_edge
P001,天山天池,P019,禾木村,base_summer,self_drive -> scenic_shuttle -> scenic_shuttle,scenic_shuttle,6.383,326.65,7.567,0.321,False,True,1,1083.17,amap_or_model_road_edge
