day_index,spot_id,spot_name,region_cluster,time_slot,baseline_load,baseline_capacity,baseline_utilization,recommended_booking_ratio,release_batch_plan,operation_action,policy_note
1,P002,达坂城古镇,乌鲁木齐周边,morning,698.9,2394.0,0.2919,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P034,罗布人村寨,巴州-南疆北线,morning,642.9,2394.0,0.2685,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P013,吐峪沟麻扎村,东疆,morning,627.0,2394.0,0.2619,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P028,石头城遗址,南疆,morning,260.5,1197.0,0.2176,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P001,天山天池,乌鲁木齐周边,morning,1982.1,10294.2,0.1925,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P002,达坂城古镇,乌鲁木齐周边,afternoon,363.428,2565.0,0.1417,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P002,达坂城古镇,乌鲁木齐周边,evening,102.5053,741.0,0.1383,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P034,罗布人村寨,巴州-南疆北线,afternoon,334.308,2565.0,0.1303,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P034,罗布人村寨,巴州-南疆北线,evening,94.292,741.0,0.1272,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P013,吐峪沟麻扎村,东疆,afternoon,326.04,2565.0,0.1271,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P013,吐峪沟麻扎村,东疆,evening,91.96,741.0,0.1241,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P033,巴音布鲁克草原,巴州-南疆北线,morning,581.05,4788.0,0.1214,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P028,石头城遗址,南疆,afternoon,135.46,1282.5,0.1056,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P028,石头城遗址,南疆,evening,38.2067,370.5,0.1031,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P001,天山天池,乌鲁木齐周边,afternoon,1030.692,11029.5,0.0934,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P001,天山天池,乌鲁木齐周边,evening,290.708,3186.3,0.0912,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P033,巴音布鲁克草原,巴州-南疆北线,afternoon,302.146,5130.0,0.0589,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P033,巴音布鲁克草原,巴州-南疆北线,evening,85.2207,1482.0,0.0575,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P024,喀什古城,南疆,morning,525.5,47880.0,0.011,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P024,喀什古城,南疆,afternoon,273.26,51300.0,0.0053,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
1,P024,喀什古城,南疆,evening,77.0733,14820.0,0.0052,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P002,达坂城古镇,乌鲁木齐周边,afternoon,772.8,2565.0,0.3013,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P011,高昌故城,东疆,morning,627.0,2394.0,0.2619,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P027,帕米尔高原白沙湖,南疆,morning,260.5,1197.0,0.2176,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P035,江布拉克草原,乌鲁木齐周边,afternoon,949.8,5130.0,0.1851,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P002,达坂城古镇,乌鲁木齐周边,morning,401.856,2394.0,0.1679,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P002,达坂城古镇,乌鲁木齐周边,evening,113.344,741.0,0.153,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P032,博斯腾湖,巴州-南疆北线,morning,642.9,4788.0,0.1343,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P011,高昌故城,东疆,afternoon,326.04,2565.0,0.1271,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P011,高昌故城,东疆,evening,91.96,741.0,0.1241,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P009,那拉提草原,伊犁,morning,581.05,4788.0,0.1214,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P004,葡萄沟,东疆,morning,373.85,3192.0,0.1171,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P040,奥依塔克冰川,南疆,morning,525.5,4788.0,0.1098,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P027,帕米尔高原白沙湖,南疆,afternoon,135.46,1282.5,0.1056,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
2,P035,江布拉克草原,乌鲁木齐周边,morning,493.896,4788.0,0.1032,1.0,70%首批+20%二批+10%机动,green: 可正常放票，保留少量应急名额,分时预约策略按时段压力动态调整，不再只做12天总容量上限。
