from_spot_id,from_spot_name,to_spot_id,to_spot_name,scenario_id,shortest_time_hours,shortest_cost_yuan_per_two,path_risk,path_modes
P001,天山天池,P001,天山天池,base_summer,0.0,0.0,0.0,
P001,天山天池,P002,达坂城古镇,base_summer,2.131,93.7,0.097,self_drive
P001,天山天池,P003,火焰山,base_summer,3.57,160.62,0.137,self_drive
P001,天山天池,P004,葡萄沟,base_summer,3.231,148.51,0.13,self_drive
P001,天山天池,P005,坎儿井民俗园,base_summer,3.235,146.5,0.129,self_drive
P001,天山天池,P006,交河故城,base_summer,3.342,149.59,0.131,self_drive
P001,天山天池,P007,楼兰古城,base_summer,8.219,2613.41,0.264,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P001,天山天池,P008,赛里木湖,base_summer,6.21,323.25,0.236,self_drive
P001,天山天池,P009,那拉提草原,base_summer,8.394,290.91,0.256,self_drive
P001,天山天池,P010,喀拉峻大草原,base_summer,10.817,488.71,0.376,self_drive -> self_drive
P001,天山天池,P011,高昌故城,base_summer,3.853,165.31,0.14,self_drive
P001,天山天池,P012,苏公塔,base_summer,3.343,149.56,0.131,self_drive
P001,天山天池,P013,吐峪沟麻扎村,base_summer,3.766,177.49,0.148,self_drive
P001,天山天池,P014,霍城薰衣草花田,base_summer,7.202,357.18,0.256,self_drive
P001,天山天池,P015,昭苏草原,base_summer,12.844,511.51,0.39,self_drive -> self_drive
P001,天山天池,P016,夏塔古道,base_summer,12.036,1454.25,0.303,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P001,天山天池,P017,果子沟大桥,base_summer,6.51,353.25,0.316,self_drive -> scenic_shuttle -> scenic_shuttle
P001,天山天池,P018,喀纳斯湖,base_summer,6.383,326.65,0.3,self_drive -> scenic_shuttle -> scenic_shuttle
P001,天山天池,P019,禾木村,base_summer,6.383,326.65,0.3,self_drive -> scenic_shuttle -> scenic_shuttle
P001,天山天池,P020,白哈巴村,base_summer,7.241,343.88,0.35,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
P001,天山天池,P021,可可托海,base_summer,5.226,255.82,0.195,self_drive
P001,天山天池,P022,五彩滩,base_summer,6.083,296.65,0.22,self_drive
P001,天山天池,P023,世界魔鬼城,base_summer,4.878,259.67,0.197,self_drive
P001,天山天池,P024,喀什古城,base_summer,8.086,2612.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P025,艾提尕尔清真寺,base_summer,8.086,2612.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P026,香妃园,base_summer,8.086,2612.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P027,帕米尔高原白沙湖,base_summer,11.733,2716.88,0.326,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P001,天山天池,P028,石头城遗址,base_summer,12.586,2771.75,0.303,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P001,天山天池,P029,天山神秘大峡谷,base_summer,8.619,1232.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P030,库车王府,base_summer,7.419,1232.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P031,克孜尔石窟,base_summer,8.619,1232.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P032,博斯腾湖,base_summer,5.654,227.22,0.178,self_drive
P001,天山天池,P033,巴音布鲁克草原,base_summer,6.876,258.08,0.196,self_drive
P001,天山天池,P034,罗布人村寨,base_summer,5.732,262.07,0.199,self_drive
P001,天山天池,P035,江布拉克草原,base_summer,1.986,94.37,0.097,self_drive
P001,天山天池,P036,北庭故城遗址,base_summer,1.313,60.98,0.077,self_drive
P001,天山天池,P037,和田博物馆,base_summer,8.086,2424.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P038,尼雅遗址,base_summer,11.286,2484.75,0.303,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P001,天山天池,P039,千里葡萄长廊,base_summer,8.086,2424.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P001,天山天池,P040,奥依塔克冰川,base_summer,9.786,2612.25,0.223,self_drive -> transfer -> air -> transfer -> scenic_shuttle
P002,达坂城古镇,P001,天山天池,base_summer,1.921,92.74,0.096,self_drive
P002,达坂城古镇,P002,达坂城古镇,base_summer,0.0,0.0,0.0,
P002,达坂城古镇,P003,火焰山,base_summer,1.617,68.76,0.082,self_drive
P002,达坂城古镇,P004,葡萄沟,base_summer,1.296,56.65,0.074,self_drive
P002,达坂城古镇,P005,坎儿井民俗园,base_summer,1.307,54.64,0.073,self_drive
P002,达坂城古镇,P006,交河故城,base_summer,1.408,57.73,0.075,self_drive
P002,达坂城古镇,P007,楼兰古城,base_summer,8.407,2631.09,0.274,self_drive -> transfer -> air -> transfer -> scenic_shuttle -> self_drive
P002,达坂城古镇,P008,赛里木湖,base_summer,6.635,351.02,0.253,self_drive
P002,达坂城古镇,P009,那拉提草原,base_summer,8.109,287.45,0.254,self_drive
P002,达坂城古镇,P010,喀拉峻大草原,base_summer,11.224,1371.18,0.313,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P002,达坂城古镇,P011,高昌故城,base_summer,1.898,73.46,0.085,self_drive
P002,达坂城古镇,P012,苏公塔,base_summer,1.379,57.7,0.075,self_drive
P002,达坂城古镇,P013,吐峪沟麻扎村,base_summer,1.779,85.64,0.092,self_drive
P002,达坂城古镇,P014,霍城薰衣草花田,base_summer,7.664,384.95,0.273,self_drive
P002,达坂城古镇,P015,昭苏草原,base_summer,13.269,539.28,0.407,self_drive -> self_drive
P002,达坂城古镇,P016,夏塔古道,base_summer,12.224,1471.93,0.313,self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle
P002,达坂城古镇,P017,果子沟大桥,base_summer,6.935,381.02,0.333,self_drive -> scenic_shuttle -> scenic_shuttle
P002,达坂城古镇,P018,喀纳斯湖,base_summer,7.531,381.88,0.333,self_drive -> scenic_shuttle -> scenic_shuttle
P002,达坂城古镇,P019,禾木村,base_summer,7.531,381.88,0.333,self_drive -> scenic_shuttle -> scenic_shuttle
P002,达坂城古镇,P020,白哈巴村,base_summer,8.389,399.11,0.383,self_drive -> scenic_shuttle -> scenic_shuttle -> self_drive
