plan_id,year,gateway_policy,entry_gateway,exit_gateway,spots_count,estimated_days,transport_cost_yuan_for_two,travel_hours,service_hours,active_hours,red_days,yellow_days,long_transfer_edges,time_window_violations,max_day_active_hours,mean_day_active_hours,risk_score,fatigue_score,schedule_soft_feasible,schedule_strict_feasible,spot_id_sequence,route_sequence,mode_hours_mix,mode_cost_mix
Q2V3_001_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,16,17,1762.06,58.276,73.0,133.726,0,7,7,0,9.366,7.866,2.667,50.684,True,True,P001 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023 -> P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原,"{""charter_car"": 27.856, ""gateway_access"": 8.376, ""rental_car"": 10.194, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 1127.68, ""gateway_access"": 290.15, ""rental_car"": 203.98, ""scenic_shuttle"": 0.0, ""self_drive"": 140.25}"
Q2V3_001_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,22,17,2097.42,69.58,57.25,128.93,1,5,6,0,9.962,7.584,3.142,57.029,True,True,P002 -> P004 -> P006 -> P011 -> P013 -> P003 -> P012 -> P005 -> P032 -> P034 -> P031 -> P026 -> P040 -> P028 -> P027 -> P025 -> P024 -> P037 -> P039 -> P030 -> P029 -> P033,达坂城古镇 -> 葡萄沟 -> 交河故城 -> 高昌故城 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原,"{""charter_car"": 32.962, ""gateway_access"": 7.375, ""rental_car"": 12.043, ""scenic_shuttle"": 17.2}","{""charter_car"": 1437.99, ""gateway_access"": 275.8, ""rental_car"": 383.63, ""scenic_shuttle"": 0.0}"
Q2V3_002_OPEN_GATEWAY,1,open_gateway,那拉提镇,乌鲁木齐市,16,16,1529.25,51.347,70.5,123.597,0,5,5,0,9.225,7.725,2.468,45.815,True,True,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P002,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇,"{""charter_car"": 24.351, ""gateway_access"": 1.774, ""rental_car"": 12.522, ""scenic_shuttle"": 2.7, ""self_drive"": 10.0}","{""charter_car"": 1003.04, ""gateway_access"": 84.93, ""rental_car"": 298.28, ""scenic_shuttle"": 0.0, ""self_drive"": 143.0}"
Q2V3_002_OPEN_GATEWAY,2,open_gateway,乌鲁木齐市,和田市,22,16,1558.41,58.868,59.75,120.018,0,4,4,0,9.001,7.501,2.722,48.058,True,True,P001 -> P013 -> P011 -> P003 -> P004 -> P006 -> P012 -> P005 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P024 -> P040 -> P028 -> P027 -> P025 -> P039 -> P037,天山天池 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 交河故城 -> 苏公塔 -> 坎儿井民俗园 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 千里葡萄长廊 -> 和田博物馆,"{""charter_car"": 19.627, ""gateway_access"": 2.017, ""rail"": 2.433, ""rental_car"": 10.691, ""scenic_shuttle"": 18.3, ""self_drive"": 5.8}","{""charter_car"": 867.16, ""gateway_access"": 62.02, ""rail"": 99.0, ""rental_car"": 326.73, ""scenic_shuttle"": 0.0, ""self_drive"": 203.5}"
Q2V3_003_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,17,18,1750.15,58.126,79.0,139.226,0,6,6,0,9.235,7.735,2.726,51.141,True,True,P033 -> P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P036 -> P035 -> P001,巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,"{""charter_car"": 24.351, ""gateway_access"": 7.129, ""rental_car"": 14.796, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 1003.04, ""gateway_access"": 257.08, ""rental_car"": 349.78, ""scenic_shuttle"": 0.0, ""self_drive"": 140.25}"
Q2V3_003_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,23,18,2031.02,73.076,67.25,141.726,1,3,4,1,13.21,7.874,3.079,59.909,True,False,P032 -> P038 -> P037 -> P039 -> P007 -> P024 -> P040 -> P028 -> P027 -> P025 -> P026 -> P030 -> P031 -> P029 -> P034 -> P005 -> P012 -> P003 -> P013 -> P011 -> P004 -> P006 -> P002,博斯腾湖 -> 尼雅遗址 -> 和田博物馆 -> 千里葡萄长廊 -> 楼兰古城 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 交河故城 -> 达坂城古镇,"{""charter_car"": 24.347, ""gateway_access"": 6.067, ""rail"": 3.55, ""rental_car"": 7.512, ""scenic_shuttle"": 18.9, ""self_drive"": 12.7}","{""charter_car"": 1097.71, ""gateway_access"": 243.9, ""rail"": 137.0, ""rental_car"": 222.41, ""scenic_shuttle"": 0.0, ""self_drive"": 330.0}"
Q2V3_004_OPEN_GATEWAY,1,open_gateway,那拉提镇,吐鲁番市,18,17,1627.0,54.414,78.5,134.664,0,5,5,0,9.421,7.921,2.745,48.862,True,True,P009 -> P016 -> P015 -> P010 -> P014 -> P017 -> P008 -> P023 -> P022 -> P019 -> P018 -> P020 -> P021 -> P001 -> P035 -> P036 -> P002 -> P004,那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 达坂城古镇 -> 葡萄沟,"{""charter_car"": 24.346, ""gateway_access"": 1.6, ""rental_car"": 13.818, ""scenic_shuttle"": 2.7, ""self_drive"": 11.95}","{""charter_car"": 1021.82, ""gateway_access"": 55.0, ""rental_car"": 354.93, ""scenic_shuttle"": 0.0, ""self_drive"": 195.25}"
Q2V3_004_OPEN_GATEWAY,2,open_gateway,吐鲁番市,和田市,22,17,1566.52,63.622,67.75,132.772,0,4,4,0,9.31,7.81,2.911,53.348,True,True,P013 -> P011 -> P003 -> P006 -> P012 -> P005 -> P034 -> P032 -> P033 -> P029 -> P030 -> P031 -> P026 -> P040 -> P028 -> P027 -> P025 -> P024 -> P007 -> P037 -> P039 -> P038,吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 交河故城 -> 苏公塔 -> 坎儿井民俗园 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 楼兰古城 -> 和田博物馆 -> 千里葡萄长廊 -> 尼雅遗址,"{""charter_car"": 19.488, ""gateway_access"": 6.0, ""rental_car"": 10.834, ""scenic_shuttle"": 17.7, ""self_drive"": 9.6}","{""charter_car"": 864.18, ""gateway_access"": 110.5, ""rental_car"": 327.84, ""scenic_shuttle"": 0.0, ""self_drive"": 264.0}"
Q2V3_005_ROOTED_URUMQI,1,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,16,17,1762.06,58.276,73.0,133.726,0,7,7,0,9.366,7.866,2.667,50.684,True,True,P001 -> P035 -> P036 -> P021 -> P022 -> P019 -> P018 -> P020 -> P023 -> P008 -> P017 -> P014 -> P010 -> P015 -> P016 -> P009,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城 -> 赛里木湖 -> 果子沟大桥 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原,"{""charter_car"": 27.856, ""gateway_access"": 8.376, ""rental_car"": 10.194, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 1127.68, ""gateway_access"": 290.15, ""rental_car"": 203.98, ""scenic_shuttle"": 0.0, ""self_drive"": 140.25}"
Q2V3_005_ROOTED_URUMQI,2,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,22,17,2097.42,69.58,57.25,128.93,1,5,6,0,9.962,7.584,3.142,57.029,True,True,P002 -> P004 -> P013 -> P006 -> P011 -> P012 -> P003 -> P005 -> P032 -> P034 -> P031 -> P026 -> P040 -> P028 -> P027 -> P025 -> P024 -> P037 -> P039 -> P030 -> P029 -> P033,达坂城古镇 -> 葡萄沟 -> 吐峪沟麻扎村 -> 交河故城 -> 高昌故城 -> 苏公塔 -> 火焰山 -> 坎儿井民俗园 -> 博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原,"{""charter_car"": 32.962, ""gateway_access"": 7.375, ""rental_car"": 12.043, ""scenic_shuttle"": 17.2}","{""charter_car"": 1437.99, ""gateway_access"": 275.8, ""rental_car"": 383.63, ""scenic_shuttle"": 0.0}"
