question,model_layer,model_name,primary_metric,key_result,evidence_table
Q1,确定性主模型,HYBRID_30D_ACO_ALNS_SA,30天内高覆盖低成本路线,32景点，30天，总成本14548.53元,hybrid_30day_outputs/hard30_route_summary.csv
Q1,人性化/策略层,普通体力型30天主线,画像适配路线,32景点，28天，均值舒适度91.78，状态satisfied,adaptive_strategy_outputs/q1_variant_summary.csv
Q1,人性化/策略层,亲子舒适型30天改造,画像适配路线,30景点，30天，均值舒适度89.19，状态satisfied,adaptive_strategy_outputs/q1_variant_summary.csv
Q1,人性化/策略层,长者慢游型30天改造,画像适配路线,20景点，23天，均值舒适度85.51，状态tradeoff_remaining,adaptive_strategy_outputs/q1_variant_summary.csv
Q2,路径覆盖主模型/下界,P2_ROOTED_URUMQI_MINCOST,两年覆盖38个普通景点,32天，交通费4340.68元，最大单年19天,problem2_openpath_outputs/scenario_totals.csv
Q2,路径覆盖主模型/下界,P2_OPEN_GATEWAY_LOWER_BOUND,两年覆盖38个普通景点,28天，交通费2992.69元，最大单年14天,problem2_openpath_outputs/scenario_totals.csv
Q2,政策仿真层,optimistic_multicity,开放式多口岸更便宜概率,胜率98.79%，期望节省701.96元,policy_simulation_outputs/q2_gateway_price_summary.csv
Q2,政策仿真层,balanced_multicity,开放式多口岸更便宜概率,胜率70.01%，期望节省243.33元,policy_simulation_outputs/q2_gateway_price_summary.csv
Q2,政策仿真层,peak_summer_multicity,开放式多口岸更便宜概率,胜率30.38%，期望节省-414.27元,policy_simulation_outputs/q2_gateway_price_summary.csv
Q3,确定性主模型,S3_MinMax_MultiTeam,三组文化考察最小最大完成时间,最大完成98.70小时，时间差12.16小时,enhanced_model_outputs/problem3_minmax_summary.csv
Q3,风险仿真层,Fieldwork_Buffer_MC,项目级90%可靠性缓冲,建议缓冲4天，完成概率91.84%,policy_simulation_outputs/q3_project_buffer_curve.csv
Q4,容量分配主模型,RouteColumn_CapacityFlow,五一12天接待路线组合,9条线路，分配106358人，总容量111956人,enhanced_model_outputs/problem4_capacity_flow.csv
Q4,自适应分流层,DemandShock_Reallocation,需求上浮10%的分流效果,分流新增接待4628人，仍溢出5038人,adaptive_strategy_outputs/q4_reallocation_summary.csv
Q4,预约管理层,SafetyCap95,95%预约上限,接待106358人，等待/拒绝10636人，利用率95.0%,policy_simulation_outputs/q4_reservation_policy_summary.csv
