spot_id,spot_name,daily_capacity_persons,instant_capacity_persons,capacity_source_id,capacity_source_type,capacity_method,effective_capacity_beta_085,notes
P001,天山天池,25800,8600,SRC_TIANCHI_CAP,official,source_extracted,21930,
P002,达坂城古镇,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P003,火焰山,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P004,葡萄沟,8000,2400,MODEL_ASSUMPTION,simulated,general_spot_default_capacity,6800,容量缺口已显式模拟
P005,坎儿井民俗园,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P006,交河故城,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P007,楼兰古城,120,40,MODEL_ASSUMPTION,simulated,remote_approval_site_low_capacity,102,容量缺口已显式模拟
P008,赛里木湖,22000,5570,SRC_SAILIMU_CAP,official,source_extracted,18700,
P009,那拉提草原,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P010,喀拉峻大草原,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P011,高昌故城,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P012,苏公塔,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P013,吐峪沟麻扎村,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P014,霍城薰衣草花田,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P015,昭苏草原,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P016,夏塔古道,8000,2400,MODEL_ASSUMPTION,simulated,general_spot_default_capacity,6800,容量缺口已显式模拟
P017,果子沟大桥,22000,5570,SRC_SAILIMU_CAP,official_proxy_same_area,source_extracted,18700,
P018,喀纳斯湖,27000,9000,SRC_KANAS_CAP,secondary_public_notice,source_extracted,22950,
P019,禾木村,20000,6000,SRC_KANAS_CAP,secondary_public_notice,source_extracted,17000,
P020,白哈巴村,8000,2400,SRC_KANAS_CAP,secondary_public_notice,source_extracted,6800,
P021,可可托海,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P022,五彩滩,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P023,世界魔鬼城,8000,2400,MODEL_ASSUMPTION,simulated,general_spot_default_capacity,6800,容量缺口已显式模拟
P024,喀什古城,120000,30000,SRC_XJ_MAYDAY_2025,observed_based_simulated_capacity,calibrated_by_2025_mayday_840k_5days_observed,102000,
P025,艾提尕尔清真寺,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P026,香妃园,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P027,帕米尔高原白沙湖,3000,900,MODEL_ASSUMPTION,simulated,border_permit_scenic_capacity,2550,容量缺口已显式模拟
P028,石头城遗址,3000,900,MODEL_ASSUMPTION,simulated,border_permit_scenic_capacity,2550,容量缺口已显式模拟
P029,天山神秘大峡谷,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P030,库车王府,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P031,克孜尔石窟,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P032,博斯腾湖,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P033,巴音布鲁克草原,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P034,罗布人村寨,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P035,江布拉克草原,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
P036,北庭故城遗址,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P037,和田博物馆,6000,1800,MODEL_ASSUMPTION,simulated,heritage_site_default_capacity,5100,容量缺口已显式模拟
P038,尼雅遗址,120,40,MODEL_ASSUMPTION,simulated,remote_approval_site_low_capacity,102,容量缺口已显式模拟
P039,千里葡萄长廊,8000,2400,MODEL_ASSUMPTION,simulated,general_spot_default_capacity,6800,容量缺口已显式模拟
P040,奥依塔克冰川,12000,3500,MODEL_ASSUMPTION,simulated,natural_scenic_default_capacity,10200,容量缺口已显式模拟
