route_id,target_coverage_q,generation_method,spots_count,spot_id_sequence,route_sequence,label_sequence,transport_mode_sequence,mode_mix,mode_hours_mix,public_transport_hours_share,region_count,region_list,theme_count,theme_list,preference_satisfaction_rate,loulan_substitute_spots,topic_preference_spots,cultural_spots,natural_spots,remote_or_high_altitude_spots,reservation_spots,capacity_simulated_spots,transport_cost_yuan_for_two,ticket_cost_yuan_for_two,rough_hotel_cost_yuan,total_cost_yuan_excluding_meals,total_travel_hours,total_service_hours,total_fatigue_score,total_risk_score,long_transfer_edges,estimated_active_days,estimated_buffer_days,coverage_value_v3,risk_proxy_score,cvar_proxy_loss,fast_master_score,hard_constraints_pass,model_note,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q20_032,20,culture,20,P001 -> P036 -> P034 -> P026 -> P024 -> P028 -> P027 -> P037 -> P030 -> P031 -> P009 -> P015 -> P014 -> P017 -> P008 -> P002 -> P006 -> P005 -> P012 -> P013,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 香妃园 -> 喀什古城 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 吐峪沟麻扎村,L_P001_P036_01 | L_P036_P034_01 | L_P034_P026_01 | L_P026_P024_01 | L_P024_P028_01 | L_P028_P027_01 | L_P027_P037_01 | L_P037_P030_01 | L_P030_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P014_01 | L_P014_P017_01 | L_P017_P008_01 | L_P008_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P013_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | rental_car | taxi_transfer | charter_car | charter_car | taxi_transfer | charter_car | charter_car | rental_car | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:6;rail:1;rental_car:2;scenic_shuttle:2;taxi_transfer:12,charter_car:49.38;rail:1.24;rental_car:10.77;scenic_shuttle:2.48;taxi_transfer:10.8,0.0157,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,8,11,13,9,2,11,17,3104.78,1936.0,3835.2,8875.98,78.769,55.75,80.804,2.634,7,18,12,1118.636,252.02,16381.3,732.6129,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,23,30,7,4,6,20,7,2,12.278,6.24,85.922,69.38,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_031,20,culture,20,P001 -> P036 -> P013 -> P012 -> P006 -> P005 -> P002 -> P017 -> P008 -> P014 -> P015 -> P009 -> P034 -> P031 -> P030 -> P037 -> P026 -> P024 -> P027 -> P028,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址,L_P001_P036_01 | L_P036_P013_01 | L_P013_P012_01 | L_P012_P006_01 | L_P006_P005_01 | L_P005_P002_01 | L_P002_P017_01 | L_P017_P008_01 | L_P008_P014_01 | L_P014_P015_01 | L_P015_P009_01 | L_P009_P034_01 | L_P034_P031_01 | L_P031_P030_01 | L_P030_P037_01 | L_P037_P026_01 | L_P026_P024_01 | L_P024_P027_01 | L_P027_P028_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | rental_car | charter_car | taxi_transfer | taxi_transfer | rental_car | charter_car | charter_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | charter_car | rental_car | taxi_transfer | rental_car | rental_car,charter_car:4;rail:2;rental_car:5;scenic_shuttle:4;taxi_transfer:12,charter_car:30.91;rail:1.98;rental_car:18.46;scenic_shuttle:3.95;taxi_transfer:10.1,0.0254,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,8,11,13,9,2,11,17,5081.68,1936.0,3835.2,10852.88,77.917,55.75,76.61,2.616,5,18,12,1118.636,246.58,16027.7,731.5652,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,23,30,7,3,7,20,6,0,11.55,6.279,86.558,69.13,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_008,20,culture,20,P001 -> P036 -> P032 -> P034 -> P027 -> P025 -> P024 -> P026 -> P030 -> P015 -> P014 -> P017 -> P023 -> P002 -> P006 -> P005 -> P012 -> P003 -> P011 -> P013,天山天池 -> 北庭故城遗址 -> 博斯腾湖 -> 罗布人村寨 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 世界魔鬼城 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P036_01 | L_P036_P032_01 | L_P032_P034_01 | L_P034_P027_01 | L_P027_P025_01 | L_P025_P024_01 | L_P024_P026_01 | L_P026_P030_01 | L_P030_P015_01 | L_P015_P014_01 | L_P014_P017_01 | L_P017_P023_01 | L_P023_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P003_01 | L_P003_P011_01 | L_P011_P013_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | rental_car | charter_car | rental_car | taxi_transfer | taxi_transfer | charter_car | charter_car | rental_car | taxi_transfer | rental_car | rental_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:3;rail:1;rental_car:5;scenic_shuttle:2;taxi_transfer:12,charter_car:34.66;rail:1.1;rental_car:23.5;scenic_shuttle:2.2;taxi_transfer:7.9,0.015,6,东疆、乌鲁木齐周边、伊犁、北疆、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,8,11,12,9,1,8,18,3047.48,1670.0,3384.0,8101.48,73.459,48.75,84.257,2.536,3,16,14,1091.402,232.68,15124.2,731.396,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,21,30,9,2,6,22,3,2,15.196,6.2,86.865,74.26,2,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_044,20,culture,20,P001 -> P035 -> P036 -> P034 -> P032 -> P025 -> P026 -> P030 -> P029 -> P010 -> P015 -> P017 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 罗布人村寨 -> 博斯腾湖 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 喀拉峻大草原 -> 昭苏草原 -> 果子沟大桥 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P035_01 | L_P035_P036_01 | L_P036_P034_01 | L_P034_P032_01 | L_P032_P025_01 | L_P025_P026_01 | L_P026_P030_01 | L_P030_P029_01 | L_P029_P010_01 | L_P010_P015_01 | L_P015_P017_01 | L_P017_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,rental_car | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | rental_car | charter_car | taxi_transfer | charter_car | taxi_transfer | charter_car | rental_car | charter_car | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:5;rail:1;rental_car:3;scenic_shuttle:2;taxi_transfer:12,charter_car:41.35;rail:1.24;rental_car:8.93;scenic_shuttle:2.48;taxi_transfer:9.14,0.0184,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,7,12,11,10,0,7,18,2727.6,1962.0,3384.0,8073.6,67.243,53.75,68.724,2.406,6,16,14,1076.24,226.88,14747.2,730.0142,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,20,30,10,2,6,22,6,1,12.014,6.472,86.478,76.087,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_043,20,culture,20,P001 -> P035 -> P036 -> P013 -> P011 -> P003 -> P004 -> P012 -> P006 -> P005 -> P002 -> P017 -> P015 -> P010 -> P034 -> P032 -> P029 -> P030 -> P026 -> P025,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 昭苏草原 -> 喀拉峻大草原 -> 罗布人村寨 -> 博斯腾湖 -> 天山神秘大峡谷 -> 库车王府 -> 香妃园 -> 艾提尕尔清真寺,L_P001_P035_01 | L_P035_P036_01 | L_P036_P013_01 | L_P013_P011_01 | L_P011_P003_01 | L_P003_P004_01 | L_P004_P012_01 | L_P012_P006_01 | L_P006_P005_01 | L_P005_P002_01 | L_P002_P017_01 | L_P017_P015_01 | L_P015_P010_01 | L_P010_P034_01 | L_P034_P032_01 | L_P032_P029_01 | L_P029_P030_01 | L_P030_P026_01 | L_P026_P025_01,rental_car | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | rental_car | charter_car | charter_car | rental_car | charter_car | rental_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | charter_car | taxi_transfer,charter_car:4;rail:2;rental_car:4;scenic_shuttle:4;taxi_transfer:13,charter_car:33.16;rail:1.84;rental_car:10.84;scenic_shuttle:3.67;taxi_transfer:9.0,0.0276,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,7,12,11,10,0,7,18,4738.74,1962.0,3384.0,10084.74,66.517,53.75,66.441,2.377,4,16,14,1076.24,220.56,14336.4,729.0802,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,21,30,9,2,8,20,5,0,11.804,6.17,87.356,69.332,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_007,20,culture,20,P001 -> P036 -> P013 -> P011 -> P003 -> P012 -> P006 -> P005 -> P002 -> P017 -> P014 -> P015 -> P034 -> P032 -> P030 -> P026 -> P024 -> P025 -> P027 -> P023,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 霍城薰衣草花田 -> 昭苏草原 -> 罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 世界魔鬼城,L_P001_P036_01 | L_P036_P013_01 | L_P013_P011_01 | L_P011_P003_01 | L_P003_P012_01 | L_P012_P006_01 | L_P006_P005_01 | L_P005_P002_01 | L_P002_P017_01 | L_P017_P014_01 | L_P014_P015_01 | L_P015_P034_01 | L_P034_P032_01 | L_P032_P030_01 | L_P030_P026_01 | L_P026_P024_01 | L_P024_P025_01 | L_P025_P027_01 | L_P027_P023_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | rental_car | charter_car | rental_car | rental_car | charter_car | rental_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | taxi_transfer | rental_car | charter_car,charter_car:4;rail:2;rental_car:5;scenic_shuttle:4;taxi_transfer:12,charter_car:50.85;rail:1.6;rental_car:15.55;scenic_shuttle:3.19;taxi_transfer:7.07,0.019,6,东疆、乌鲁木齐周边、伊犁、北疆、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,8,11,12,9,1,8,18,3260.77,1670.0,3609.6,8540.37,84.078,48.75,109.853,2.649,4,17,13,1091.402,243.72,15841.8,704.9818,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,19,30,11,2,7,21,4,2,22.59,7.518,83.794,64.256,1,2,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_011,20,south,20,P001 -> P036 -> P013 -> P011 -> P003 -> P004 -> P012 -> P006 -> P005 -> P002 -> P017 -> P008 -> P014 -> P015 -> P009 -> P034 -> P030 -> P031 -> P026 -> P025,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺,L_P001_P036_01 | L_P036_P013_01 | L_P013_P011_01 | L_P011_P003_01 | L_P003_P004_01 | L_P004_P012_01 | L_P012_P006_01 | L_P006_P005_01 | L_P005_P002_01 | L_P002_P017_01 | L_P017_P008_01 | L_P008_P014_01 | L_P014_P015_01 | L_P015_P009_01 | L_P009_P034_01 | L_P034_P030_01 | L_P030_P031_01 | L_P031_P026_01 | L_P026_P025_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | rental_car | charter_car | taxi_transfer | taxi_transfer | rental_car | charter_car | charter_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | charter_car | taxi_transfer,charter_car:4;rail:2;rental_car:2;scenic_shuttle:4;taxi_transfer:15,charter_car:29.98;rail:1.74;rental_car:7.44;scenic_shuttle:3.47;taxi_transfer:10.55,0.0284,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,8,14,12,9,0,9,17,4526.69,2196.0,3158.4,9881.09,61.196,54.25,58.366,2.256,4,15,15,929.286,212.98,13843.7,595.8037,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,21,30,9,1,7,22,5,0,9.143,6.02,88.758,71.57,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_012,20,south,20,P001 -> P036 -> P034 -> P030 -> P025 -> P026 -> P031 -> P009 -> P015 -> P014 -> P017 -> P008 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P036_01 | L_P036_P034_01 | L_P034_P030_01 | L_P030_P025_01 | L_P025_P026_01 | L_P026_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P014_01 | L_P014_P017_01 | L_P017_P008_01 | L_P008_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | charter_car | charter_car | charter_car | rental_car | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:5;rail:2;rental_car:1;scenic_shuttle:4;taxi_transfer:15,charter_car:35.41;rail:2.27;rental_car:5.55;scenic_shuttle:4.54;taxi_transfer:11.11,0.036,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,8,14,12,9,0,9,17,2475.84,2196.0,3384.0,8055.84,62.98,54.25,59.051,2.312,6,16,14,929.286,221.46,14394.9,593.8641,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,21,30,9,1,6,23,6,0,8.05,5.868,89.842,77.84,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_038,20,balanced,20,P001 -> P036 -> P034 -> P025 -> P026 -> P031 -> P009 -> P015 -> P010 -> P014 -> P017 -> P008 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P036_01 | L_P036_P034_01 | L_P034_P025_01 | L_P025_P026_01 | L_P026_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P010_01 | L_P010_P014_01 | L_P014_P017_01 | L_P017_P008_01 | L_P008_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | charter_car | charter_car | charter_car | rental_car | rental_car | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:5;rail:1;rental_car:2;scenic_shuttle:2;taxi_transfer:13,charter_car:40.51;rail:1.24;rental_car:7.61;scenic_shuttle:2.48;taxi_transfer:9.05,0.0191,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,5,丝路遗址、宗教文化、民族民俗、自然山水、西域古城,1.0,7,15,11,10,0,9,17,2572.69,2396.0,3384.0,8352.69,65.0,58.75,65.927,2.273,6,16,14,924.21,218.34,14192.1,588.3069,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,21,30,9,3,4,23,6,1,12.286,6.242,87.53,73.92,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q20_037,20,balanced,20,P001 -> P036 -> P013 -> P011 -> P003 -> P004 -> P012 -> P006 -> P005 -> P002 -> P017 -> P008 -> P014 -> P010 -> P015 -> P009 -> P034 -> P031 -> P026 -> P025,天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 艾提尕尔清真寺,L_P001_P036_01 | L_P036_P013_01 | L_P013_P011_01 | L_P011_P003_01 | L_P003_P004_01 | L_P004_P012_01 | L_P012_P006_01 | L_P006_P005_01 | L_P005_P002_01 | L_P002_P017_01 | L_P017_P008_01 | L_P008_P014_01 | L_P014_P010_01 | L_P010_P015_01 | L_P015_P009_01 | L_P009_P034_01 | L_P034_P031_01 | L_P031_P026_01 | L_P026_P025_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | rental_car | charter_car | taxi_transfer | taxi_transfer | rental_car | rental_car | charter_car | charter_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer,charter_car:4;rail:2;rental_car:3;scenic_shuttle:4;taxi_transfer:14,charter_car:29.98;rail:1.98;rental_car:9.46;scenic_shuttle:3.95;taxi_transfer:9.76,0.0313,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,5,丝路遗址、宗教文化、民族民俗、自然山水、西域古城,1.0,7,15,11,10,0,9,17,4533.31,2396.0,3384.0,10313.31,63.146,58.75,60.475,2.26,5,16,14,924.21,215.3,13994.5,584.9185,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,22,30,8,2,7,21,6,0,10.5,6.054,88.371,70.407,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
