route_id,day,step_no,activity_type,from_name,to_name,spot_id,destination_hub,transport_modes,depart_time,arrival_time,service_start_time,service_end_time,open_time,close_time,travel_hours,wait_hours,service_hours,active_increment_hours,day_active_after_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,risk_score,daily_budget_feasible,time_window_feasible,lodging_hub_after_step,note
HYBRID_30D_ACO_ALNS_SA,1,1,visit,乌鲁木齐市,达坂城古镇,P002,达坂城镇,depot_to_spot,08:30,09:50,09:50,12:20,09:30,19:00,1.333,0.0,2.5,3.833,3.833,55.43,80.0,0.074,True,True,达坂城镇,
HYBRID_30D_ACO_ALNS_SA,1,2,visit,达坂城古镇,交河故城,P006,吐鲁番市,self_drive,12:20,13:44,13:44,15:29,09:00,19:00,1.408,0.0,1.75,3.158,6.991,57.73,60.0,0.075,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,2,3,visit,交河故城,坎儿井民俗园,P005,吐鲁番市,self_drive,08:30,08:48,08:48,10:18,08:30,19:00,0.302,0.0,1.5,1.802,1.802,5.37,80.0,0.043,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,2,4,visit,坎儿井民俗园,苏公塔,P012,吐鲁番市,self_drive,10:18,10:34,10:34,12:04,09:00,19:00,0.257,0.0,1.5,1.757,3.559,3.27,90.0,0.042,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,2,5,visit,苏公塔,葡萄沟,P004,吐鲁番市,self_drive,12:04,12:21,12:21,15:21,08:30,19:30,0.298,0.0,3.0,3.298,6.857,5.0,120.0,0.043,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,3,6,visit,葡萄沟,火焰山,P003,吐鲁番市,self_drive,08:30,09:04,09:04,11:34,08:00,21:00,0.571,0.0,2.5,3.071,3.071,16.79,80.0,0.05,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,3,7,visit,火焰山,高昌故城,P011,吐鲁番市,self_drive,11:34,11:54,11:54,14:24,09:00,19:00,0.331,0.0,2.5,2.831,5.902,7.71,140.0,0.045,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,4,8,visit,高昌故城,吐峪沟麻扎村,P013,吐鲁番市,self_drive,08:30,09:06,09:06,11:36,08:00,20:00,0.594,0.0,2.5,3.094,3.094,11.08,60.0,0.047,True,True,吐鲁番市,
HYBRID_30D_ACO_ALNS_SA,5,9,visit,吐峪沟麻扎村,北庭故城遗址,P036,乌鲁木齐市,self_drive,08:30,13:12,13:12,14:42,09:00,19:00,4.702,0.0,1.5,6.202,6.202,190.84,76.0,0.156,True,True,乌鲁木齐市,
HYBRID_30D_ACO_ALNS_SA,6,10,visit,北庭故城遗址,江布拉克草原,P035,乌鲁木齐市,self_drive,08:30,09:50,09:50,13:20,08:00,19:00,1.334,0.0,3.5,4.834,4.834,38.39,86.0,0.063,True,True,乌鲁木齐市,
HYBRID_30D_ACO_ALNS_SA,7,11,visit,江布拉克草原,天山天池,P001,天池风景区,self_drive,08:30,10:27,10:27,15:27,08:00,19:00,1.957,0.0,5.0,6.957,6.957,94.59,310.0,0.097,True,True,天池风景区,
HYBRID_30D_ACO_ALNS_SA,8,12,long_transfer_to_region,天山天池,赛里木湖所在区域,P008,赛里木湖,self_drive,08:30,14:43,,,,,6.21,0.0,0.0,6.21,6.21,323.25,0.0,0.236,True,,赛里木湖,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,9,13,visit,赛里木湖所在区域,赛里木湖,P008,赛里木湖,overnight_near_spot,08:30,08:30,08:30,14:30,08:00,22:00,0.0,0.0,6.0,6.0,6.0,0.0,290.0,0.0,True,True,赛里木湖,
HYBRID_30D_ACO_ALNS_SA,10,14,visit,赛里木湖,霍城薰衣草花田,P014,霍城县(惠远古城),self_drive,08:30,09:39,09:39,12:09,08:00,20:00,1.155,0.0,2.5,3.655,3.655,37.03,70.0,0.062,True,True,霍城县(惠远古城),
HYBRID_30D_ACO_ALNS_SA,10,15,visit,霍城薰衣草花田,果子沟大桥,P017,赛里木湖,self_drive,12:09,12:45,12:45,14:15,00:00,+1 00:00,0.597,0.0,1.5,2.097,5.752,19.1,0.0,0.052,True,True,赛里木湖,
HYBRID_30D_ACO_ALNS_SA,11,16,visit,果子沟大桥,喀拉峻大草原,P010,特克斯县(八卦城),scenic_shuttle -> scenic_shuttle -> self_drive,08:30,13:28,13:28,19:28,08:00,20:00,4.961,0.0,6.0,10.961,10.961,197.09,280.0,0.221,False,True,特克斯县(八卦城),当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,12,17,visit,喀拉峻大草原,夏塔古道,P016,昭苏县(夏塔古道),self_drive,08:30,11:56,11:56,16:56,09:00,20:00,3.426,0.0,5.0,8.426,8.426,104.41,160.0,0.103,False,True,昭苏县(夏塔古道),当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,13,18,visit,夏塔古道,昭苏草原,P015,昭苏县(夏塔古道),self_drive,08:30,12:14,12:14,15:44,00:00,+1 00:00,3.726,0.0,3.5,7.226,7.226,66.27,0.0,0.08,True,True,昭苏县(夏塔古道),
HYBRID_30D_ACO_ALNS_SA,14,19,long_transfer_to_region,昭苏草原,那拉提草原所在区域,P009,那拉提镇,self_drive,08:30,15:44,,,,,7.238,0.0,0.0,7.238,7.238,169.17,0.0,0.143,True,,那拉提镇,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,15,20,visit,那拉提草原所在区域,那拉提草原,P009,那拉提镇,overnight_near_spot,08:30,08:30,08:30,14:30,08:30,20:00,0.0,0.0,6.0,6.0,6.0,0.0,270.0,0.0,True,True,那拉提镇,
HYBRID_30D_ACO_ALNS_SA,16,21,long_transfer_to_region,那拉提草原,博斯腾湖所在区域,P032,库尔勒市,self_drive,08:30,16:27,,,,,7.945,0.0,0.0,7.945,7.945,241.1,0.0,0.186,True,,库尔勒市,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,17,22,visit,博斯腾湖所在区域,博斯腾湖,P032,库尔勒市,overnight_near_spot,08:30,08:30,09:00,12:30,09:00,19:00,0.0,0.5,3.5,4.0,4.0,0.0,90.0,0.0,True,True,库尔勒市,
HYBRID_30D_ACO_ALNS_SA,17,23,visit,博斯腾湖,罗布人村寨,P034,库尔勒市,scenic_shuttle -> scenic_shuttle,12:30,13:48,13:48,16:18,09:00,19:00,1.3,0.0,2.5,3.8,7.8,30.0,70.0,0.08,True,True,库尔勒市,
HYBRID_30D_ACO_ALNS_SA,18,24,long_transfer_to_region,罗布人村寨,巴音布鲁克草原所在区域,P033,巴音布鲁克,self_drive,08:30,15:05,,,,,6.582,0.0,0.0,6.582,6.582,243.67,0.0,0.188,True,,巴音布鲁克,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,19,25,visit,巴音布鲁克草原所在区域,巴音布鲁克草原,P033,巴音布鲁克,overnight_near_spot,08:30,08:30,09:00,15:00,09:00,19:45,0.0,0.5,6.0,6.5,6.5,0.0,280.0,0.0,True,True,巴音布鲁克,
HYBRID_30D_ACO_ALNS_SA,20,26,visit,巴音布鲁克草原,天山神秘大峡谷,P029,库车市,self_drive,08:30,11:53,11:53,15:23,08:00,17:00,3.377,0.0,3.5,6.877,6.877,106.05,80.0,0.104,True,True,库车市,
HYBRID_30D_ACO_ALNS_SA,21,27,visit,天山神秘大峡谷,库车王府,P030,库车市,self_drive,08:30,09:48,09:48,11:18,09:00,19:00,1.301,0.0,1.5,2.801,2.801,36.48,80.0,0.062,True,True,库车市,
HYBRID_30D_ACO_ALNS_SA,21,28,visit,库车王府,克孜尔石窟,P031,库车市,self_drive,11:18,12:34,12:34,15:04,09:30,19:00,1.271,0.0,2.5,3.771,6.572,35.86,140.0,0.062,True,True,库车市,
HYBRID_30D_ACO_ALNS_SA,22,29,long_transfer_to_region,克孜尔石窟,艾提尕尔清真寺所在区域,P025,喀什市,self_drive,08:30,16:03,,,,,7.542,0.0,0.0,7.542,7.542,383.27,0.0,0.272,True,,喀什市,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,23,30,visit,艾提尕尔清真寺所在区域,艾提尕尔清真寺,P025,喀什市,overnight_near_spot,08:30,08:30,10:00,11:30,10:00,14:00,0.0,1.5,1.5,3.0,3.0,0.0,60.0,0.0,True,True,喀什市,
HYBRID_30D_ACO_ALNS_SA,23,31,visit,艾提尕尔清真寺,喀什古城,P024,喀什市,self_drive,11:30,11:39,11:39,15:09,10:00,19:00,0.151,0.0,3.5,3.651,6.651,1.2,0.0,0.041,True,True,喀什市,
HYBRID_30D_ACO_ALNS_SA,24,32,visit,喀什古城,奥依塔克冰川,P040,喀什市,self_drive,08:30,10:39,10:39,15:09,10:00,20:00,2.155,0.0,4.5,6.655,6.655,57.44,90.0,0.075,True,True,喀什市,
HYBRID_30D_ACO_ALNS_SA,25,33,visit,奥依塔克冰川,帕米尔高原白沙湖,P027,塔什库尔干县(帕米尔高原),self_drive,08:30,10:51,10:51,15:21,09:30,19:30,2.358,0.0,4.5,6.858,6.858,66.09,80.0,0.08,True,True,塔什库尔干县(帕米尔高原),
HYBRID_30D_ACO_ALNS_SA,26,34,visit,帕米尔高原白沙湖,石头城遗址,P028,塔什库尔干县(帕米尔高原),self_drive,08:30,10:06,10:06,14:36,09:00,19:00,1.602,0.0,4.5,6.102,6.102,55.56,60.0,0.074,True,True,塔什库尔干县(帕米尔高原),
HYBRID_30D_ACO_ALNS_SA,27,35,visit,石头城遗址,香妃园,P026,喀什市,scenic_shuttle -> self_drive -> scenic_shuttle,08:30,13:36,13:36,16:06,10:00,19:00,5.1,0.0,2.5,7.6,7.6,189.5,120.0,0.16,True,True,喀什市,
HYBRID_30D_ACO_ALNS_SA,28,36,long_transfer_to_region,香妃园,和田博物馆所在区域,P037,和田市,self_drive,08:30,14:04,,,,,5.571,0.0,0.0,5.571,5.571,273.86,0.0,0.206,True,,和田市,跨区长距离转移；到达后次日游览目标景区
HYBRID_30D_ACO_ALNS_SA,29,37,visit,和田博物馆所在区域,和田博物馆,P037,和田市,overnight_near_spot,08:30,08:30,10:00,12:30,10:00,19:00,0.0,1.5,2.5,4.0,4.0,0.0,0.0,0.0,True,True,和田市,
HYBRID_30D_ACO_ALNS_SA,29,38,visit,和田博物馆,千里葡萄长廊,P039,和田市,self_drive,12:30,12:54,12:54,14:24,00:00,+1 00:00,0.396,0.0,1.5,1.896,5.896,6.93,0.0,0.044,True,True,和田市,
HYBRID_30D_ACO_ALNS_SA,30,39,return_to_urumqi,千里葡萄长廊,乌鲁木齐市,,乌鲁木齐市,return_to_urumqi,08:30,15:33,,,,,7.05,0.0,0.0,7.05,7.05,2387.0,0.0,0.16,True,,乌鲁木齐市,
