figure_id,figure_name,source,placement
图1,模型分层架构图,outputs/新疆旅游四问Fancy建模科研总报告.md,论文第2章/答辩第3页
表1,符号说明,outputs/新疆旅游论文建模章节表格索引.xlsx,论文模型章节
表2,四问主结论总览,research_synthesis_outputs/master_metrics.csv,答辩摘要页
图2,第一问30天路线示意,hybrid_30day_outputs/hard30_route_days.csv,第一问结果页
表3,游客画像路线对比,adaptive_strategy_outputs/q1_variant_summary.csv,第一问强化页
图3,第二问两年路线对比,problem2_openpath_outputs/route_summary.csv,第二问结果页
图4,多口岸价格胜率柱状图,policy_simulation_outputs/q2_gateway_price_summary.csv,第二问仿真页
表4,第三问三组考察结果,enhanced_model_outputs/problem3_minmax_summary.csv,第三问结果页
图5,文化考察缓冲可靠性曲线,policy_simulation_outputs/q3_project_buffer_curve.csv,第三问仿真页
表5,五一线路容量分配,enhanced_model_outputs/problem4_capacity_flow.csv,第四问结果页
图6,需求冲击与溢出人数,adaptive_strategy_outputs/q4_reallocation_summary.csv,第四问策略页
表6,预约上限策略对比,policy_simulation_outputs/q4_reservation_policy_summary.csv,第四问运营策略页
