slide_no,title,main_message,speaker_note
1,题目与核心难点,新疆尺度大、景点分散、四问目标不同,不要把四问都做成一个TSP；强调场景差异
2,数据底座,40景点、真实高德OD、住宿/容量/费用参数,说明哪些是真实数据，哪些是校准/仿真
3,统一建模框架,有向加权图 + 节点权 + 边权 + 场景约束,放六层模型栈图
4,第一问主结果,32景点、30天、总成本14548.53元,展示30天主路线与成本构成
5,第一问人性化强化,普通体力型满足；亲子型删2点后满足；长者型建议拆期,突出疲劳凸惩罚和长途转场拆日
6,第二问重建逻辑,两年路径覆盖，目标是新疆境内交通费最小,解释为什么不是谱聚类/平均分点
7,第二问结果与多口岸阈值,乌鲁木齐起讫4340.68元；开放式下界2992.69元；阈值1347.99元,说明开放式是条件方案
8,第三问文化考察,三组MinMax，最大98.70小时，时间差12.16小时,解释楼兰/尼雅专项组为什么合理
9,第三问风险缓冲,4天缓冲使项目完成概率达91.84%,把它包装为文化专项项目管理
10,第四问五一容量,9条路线，分配106358人，总容量111956人,强调路线产品组合而非单条最优路线
11,第四问需求冲击与预约策略,需求上浮10%仍溢出5038人；95%预约上限用于服务水平控制,说明运营策略价值
12,创新点与局限,真实OD、分层建模、画像、仿真、策略；实时票价/房态仍需补充,主动承认边界，减少答辩风险
