edge_id,from_node,to_node,mode,layer,base_time_hours,base_cost_yuan_per_two,base_risk,source_id,distance_km,seasonal_sensitive,daily_departures,schedule_wait_hours,schedule_id,model_option_role,quality_flag,local_shuttle_raw_cost_yuan_per_two,local_shuttle_cost_floor_yuan_per_two,cost_floor_applied,amap_edge_type,od_quality_note
T0001,HUB::乌鲁木齐市,RAIL::乌鲁木齐市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0001R,RAIL::乌鲁木齐市,HUB::乌鲁木齐市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0002,HUB::吐鲁番市,RAIL::吐鲁番市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0002R,RAIL::吐鲁番市,HUB::吐鲁番市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0003,HUB::库尔勒市,RAIL::库尔勒市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0003R,RAIL::库尔勒市,HUB::库尔勒市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0004,HUB::若羌县(楼兰),RAIL::若羌县(楼兰),transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0004R,RAIL::若羌县(楼兰),HUB::若羌县(楼兰),transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0005,HUB::伊宁市(伊犁),RAIL::伊宁市(伊犁),transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0005R,RAIL::伊宁市(伊犁),HUB::伊宁市(伊犁),transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0006,HUB::喀什市,RAIL::喀什市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0006R,RAIL::喀什市,HUB::喀什市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0007,HUB::和田市,RAIL::和田市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0007R,RAIL::和田市,HUB::和田市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0008,HUB::库车市,RAIL::库车市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0008R,RAIL::库车市,HUB::库车市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0009,HUB::阿勒泰市,RAIL::阿勒泰市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0009R,RAIL::阿勒泰市,HUB::阿勒泰市,transfer,transfer,0.35,20.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0010,HUB::乌鲁木齐市,AIR::乌鲁木齐市,transfer,transfer,0.8,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0010R,AIR::乌鲁木齐市,HUB::乌鲁木齐市,transfer,transfer,0.8,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0011,HUB::伊宁市(伊犁),AIR::伊宁市(伊犁),transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0011R,AIR::伊宁市(伊犁),HUB::伊宁市(伊犁),transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0012,HUB::喀什市,AIR::喀什市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0012R,AIR::喀什市,HUB::喀什市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0013,HUB::库尔勒市,AIR::库尔勒市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0013R,AIR::库尔勒市,HUB::库尔勒市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0014,HUB::阿勒泰市,AIR::阿勒泰市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0014R,AIR::阿勒泰市,HUB::阿勒泰市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0015,HUB::和田市,AIR::和田市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0015R,AIR::和田市,HUB::和田市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0016,HUB::库车市,AIR::库车市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0016R,AIR::库车市,HUB::库车市,transfer,transfer,0.45,60.0,0.03,MODEL_ASSUMPTION,,,,,,,,,,,,
T0017,HUB::乌鲁木齐市,BUS::乌鲁木齐市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0017R,BUS::乌鲁木齐市,HUB::乌鲁木齐市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0018,HUB::伊宁市(伊犁),BUS::伊宁市(伊犁),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0018R,BUS::伊宁市(伊犁),HUB::伊宁市(伊犁),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0019,HUB::可可托海,BUS::可可托海,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0019R,BUS::可可托海,HUB::可可托海,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0020,HUB::吐鲁番市,BUS::吐鲁番市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0020R,BUS::吐鲁番市,HUB::吐鲁番市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0021,HUB::和田市,BUS::和田市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0021R,BUS::和田市,HUB::和田市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0022,HUB::喀什市,BUS::喀什市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0022R,BUS::喀什市,HUB::喀什市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0023,HUB::塔什库尔干县(帕米尔高原),BUS::塔什库尔干县(帕米尔高原),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0023R,BUS::塔什库尔干县(帕米尔高原),HUB::塔什库尔干县(帕米尔高原),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0024,HUB::天池风景区,BUS::天池风景区,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0024R,BUS::天池风景区,HUB::天池风景区,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0025,HUB::巴音布鲁克,BUS::巴音布鲁克,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0025R,BUS::巴音布鲁克,HUB::巴音布鲁克,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0026,HUB::库尔勒市,BUS::库尔勒市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0026R,BUS::库尔勒市,HUB::库尔勒市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0027,HUB::库车市,BUS::库车市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0027R,BUS::库车市,HUB::库车市,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0028,HUB::昭苏县(夏塔古道),BUS::昭苏县(夏塔古道),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0028R,BUS::昭苏县(夏塔古道),HUB::昭苏县(夏塔古道),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0029,HUB::民丰县(尼雅遗址),BUS::民丰县(尼雅遗址),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0029R,BUS::民丰县(尼雅遗址),HUB::民丰县(尼雅遗址),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0030,HUB::特克斯县(八卦城),BUS::特克斯县(八卦城),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0030R,BUS::特克斯县(八卦城),HUB::特克斯县(八卦城),transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0031,HUB::白哈巴,BUS::白哈巴,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
T0031R,BUS::白哈巴,HUB::白哈巴,transfer,transfer,0.25,15.0,0.02,MODEL_ASSUMPTION,,,,,,,,,,,,
