edge_id,scenario_id,effective_time_hours,effective_cost_yuan_per_two,effective_risk,is_available,availability_note
T0001,base_summer,0.35,20.0,0.02,True,
T0001,duku_weather_disruption,0.35,20.0,0.02,True,
T0001,hotel_full_price_surge,0.35,20.0,0.02,True,
T0001,mayday_peak,0.35,20.0,0.02,True,
T0001,summer_peak,0.35,20.0,0.02,True,
T0001R,base_summer,0.35,20.0,0.02,True,
T0001R,duku_weather_disruption,0.35,20.0,0.02,True,
T0001R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0001R,mayday_peak,0.35,20.0,0.02,True,
T0001R,summer_peak,0.35,20.0,0.02,True,
T0002,base_summer,0.35,20.0,0.02,True,
T0002,duku_weather_disruption,0.35,20.0,0.02,True,
T0002,hotel_full_price_surge,0.35,20.0,0.02,True,
T0002,mayday_peak,0.35,20.0,0.02,True,
T0002,summer_peak,0.35,20.0,0.02,True,
T0002R,base_summer,0.35,20.0,0.02,True,
T0002R,duku_weather_disruption,0.35,20.0,0.02,True,
T0002R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0002R,mayday_peak,0.35,20.0,0.02,True,
T0002R,summer_peak,0.35,20.0,0.02,True,
T0003,base_summer,0.35,20.0,0.02,True,
T0003,duku_weather_disruption,0.35,20.0,0.02,True,
T0003,hotel_full_price_surge,0.35,20.0,0.02,True,
T0003,mayday_peak,0.35,20.0,0.02,True,
T0003,summer_peak,0.35,20.0,0.02,True,
T0003R,base_summer,0.35,20.0,0.02,True,
T0003R,duku_weather_disruption,0.35,20.0,0.02,True,
T0003R,hotel_full_price_surge,0.35,20.0,0.02,True,
T0003R,mayday_peak,0.35,20.0,0.02,True,
T0003R,summer_peak,0.35,20.0,0.02,True,
T0004,base_summer,0.35,20.0,0.02,True,
T0004,duku_weather_disruption,0.35,20.0,0.02,True,
T0004,hotel_full_price_surge,0.35,20.0,0.02,True,
T0004,mayday_peak,0.35,20.0,0.02,True,
T0004,summer_peak,0.35,20.0,0.02,True,
