sample_id,scenario_id,scenario_description,road_time_factor,rail_time_factor,air_time_factor,coach_time_factor,local_time_factor,road_cost_factor,rail_cost_factor,air_cost_factor,coach_cost_factor,service_time_factor,reservation_pressure,hotel_full_probability,road_closure_probability,public_transport_disruption_probability,heatwave_flag,heat_penalty_hours,general_cost_multiplier,risk_add_road,risk_add_public
1,base_summer,暑假普通日，使用基础时间。,1.0356,0.9983,0.9253,0.9739,0.9192,1.0398,0.996,1.0132,0.9941,0.8609,0.0867,0.013,0.015,0.015,False,0.022,1.0471,0.0,0.0
2,base_summer,暑假普通日，使用基础时间。,0.9782,0.9983,1.0002,0.9301,1.0505,0.9994,0.9902,0.9703,0.9583,0.991,0.0921,0.0667,0.015,0.015,False,0.332,1.0261,0.0,0.0
3,base_summer,暑假普通日，使用基础时间。,1.002,0.985,0.9473,0.9889,1.0336,1.029,1.0308,0.9691,0.9972,0.9903,0.0692,0.0337,0.015,0.015,False,0.288,1.0451,0.0,0.0
4,hotel_full_price_surge,住宿紧张导致费用上浮。,1.0989,0.9897,0.9744,0.9687,0.9425,1.2904,1.0011,0.9694,0.9362,0.898,0.1651,0.2558,0.015,0.015,False,0.061,1.2839,0.08,0.0
5,base_summer,暑假普通日，使用基础时间。,1.0558,0.9819,0.9315,1.0408,1.0005,0.9588,1.0126,1.0036,0.9678,0.936,0.0666,0.0947,0.015,0.015,False,0.12,1.0045,0.0,0.0
6,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1663,1.0757,1.1634,0.999,1.0265,1.0687,1.1186,1.2249,1.0042,0.9526,0.1783,0.0671,0.015,0.03,False,0.148,1.261,0.03,0.04
7,hotel_full_price_surge,住宿紧张导致费用上浮。,1.1446,0.9621,1.0535,0.958,1.0197,1.2274,0.9584,1.0304,1.014,1.0081,0.0946,0.238,0.015,0.015,True,1.211,1.2817,0.08,0.0
8,base_summer,暑假普通日，使用基础时间。,1.0427,0.9547,0.9493,0.9805,0.9818,0.9877,0.9992,1.0339,1.0434,0.9544,0.0397,0.0508,0.015,0.015,True,0.784,1.0304,0.0,0.0
9,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7481,1.0132,0.947,0.9856,0.9731,1.0283,1.0067,0.9635,0.9717,1.0119,0.0456,0.0603,0.08,0.025,False,0.261,1.0374,0.25,0.0
10,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1291,1.0452,1.1179,0.9787,0.9987,1.0704,1.1129,1.2241,1.0119,1.0045,0.1961,0.1417,0.015,0.03,False,0.246,1.2932,0.03,0.04
11,base_summer,暑假普通日，使用基础时间。,0.976,0.9913,0.972,1.0038,0.9595,0.9485,1.0055,1.06,1.0857,1.0064,0.0671,0.043,0.015,0.015,False,0.159,1.039,0.0,0.0
12,summer_peak,7-8月高峰，路面和景区接驳轻度拥堵。,1.1018,1.0071,0.9949,1.0415,1.0316,1.0649,1.0702,1.1959,1.0109,1.0199,0.1006,0.1019,0.015,0.03,False,0.266,1.2244,0.03,0.04
13,base_summer,暑假普通日，使用基础时间。,0.959,1.0024,1.0054,0.9863,1.0244,1.0312,0.9495,1.0274,0.9779,1.0444,0.0862,0.0948,0.015,0.015,False,0.25,1.0363,0.0,0.0
14,base_summer,暑假普通日，使用基础时间。,0.9668,1.0663,0.9912,0.9555,1.0264,0.9615,0.9537,1.0005,1.0236,0.9674,0.0133,0.0113,0.015,0.015,False,0.051,1.0171,0.0,0.0
15,duku_weather_disruption,独库/山区道路天气扰动，含临时封闭风险。,1.7528,1.0056,0.9686,0.953,0.9667,0.9891,0.9935,0.993,0.9945,0.9535,0.0643,0.0748,0.08,0.025,False,0.291,1.0839,0.25,0.0
