problem,persona_id,persona_name,day,visit_spots,day_active_hours,day_travel_hours,visit_spots_count,risk_score,fatigue_index,comfort_score,stress_level
Q1_30day_route,standard_active,普通体力型,1,达坂城古镇 -> 交河故城,6.99,2.74,2,0.149,2.09,97.91,green
Q1_30day_route,family_comfort,亲子舒适型,1,达坂城古镇 -> 交河故城,6.99,2.74,2,0.149,5.5,94.5,green
Q1_30day_route,senior_slow,长者慢游型,1,达坂城古镇 -> 交河故城,6.99,2.74,2,0.149,12.28,87.72,green
Q1_30day_route,explorer_dense,探索紧凑型,1,达坂城古镇 -> 交河故城,6.99,2.74,2,0.149,1.49,98.51,green
Q1_30day_route,standard_active,普通体力型,2,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,6.86,0.86,3,0.128,3.79,96.21,green
Q1_30day_route,family_comfort,亲子舒适型,2,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,6.86,0.86,3,0.128,7.39,92.61,green
Q1_30day_route,senior_slow,长者慢游型,2,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,6.86,0.86,3,0.128,14.52,85.48,green
Q1_30day_route,explorer_dense,探索紧凑型,2,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,6.86,0.86,3,0.128,2.48,97.52,green
Q1_30day_route,standard_active,普通体力型,3,火焰山 -> 高昌故城,5.9,0.9,2,0.095,1.33,98.67,green
Q1_30day_route,family_comfort,亲子舒适型,3,火焰山 -> 高昌故城,5.9,0.9,2,0.095,1.8,98.19,green
Q1_30day_route,senior_slow,长者慢游型,3,火焰山 -> 高昌故城,5.9,0.9,2,0.095,2.5,97.5,green
Q1_30day_route,explorer_dense,探索紧凑型,3,火焰山 -> 高昌故城,5.9,0.9,2,0.095,0.95,99.05,green
Q1_30day_route,standard_active,普通体力型,4,吐峪沟麻扎村,3.09,0.59,1,0.047,0.66,99.34,green
Q1_30day_route,family_comfort,亲子舒适型,4,吐峪沟麻扎村,3.09,0.59,1,0.047,0.89,99.11,green
Q1_30day_route,senior_slow,长者慢游型,4,吐峪沟麻扎村,3.09,0.59,1,0.047,1.08,98.92,green
Q1_30day_route,explorer_dense,探索紧凑型,4,吐峪沟麻扎村,3.09,0.59,1,0.047,0.47,99.53,green
Q1_30day_route,standard_active,普通体力型,5,北庭故城遗址,6.2,4.7,1,0.156,2.81,97.19,green
Q1_30day_route,family_comfort,亲子舒适型,5,北庭故城遗址,6.2,4.7,1,0.156,10.0,90.0,green
Q1_30day_route,senior_slow,长者慢游型,5,北庭故城遗址,6.2,4.7,1,0.156,16.88,83.12,yellow
Q1_30day_route,explorer_dense,探索紧凑型,5,北庭故城遗址,6.2,4.7,1,0.156,1.56,98.44,green
Q1_30day_route,standard_active,普通体力型,6,江布拉克草原,4.83,1.33,1,0.063,0.88,99.12,green
Q1_30day_route,family_comfort,亲子舒适型,6,江布拉克草原,4.83,1.33,1,0.063,1.2,98.8,green
Q1_30day_route,senior_slow,长者慢游型,6,江布拉克草原,4.83,1.33,1,0.063,1.45,98.55,green
Q1_30day_route,explorer_dense,探索紧凑型,6,江布拉克草原,4.83,1.33,1,0.063,0.63,99.37,green
Q1_30day_route,standard_active,普通体力型,7,天山天池,6.96,1.96,1,0.097,1.36,98.64,green
Q1_30day_route,family_comfort,亲子舒适型,7,天山天池,6.96,1.96,1,0.097,4.3,95.7,green
Q1_30day_route,senior_slow,长者慢游型,7,天山天池,6.96,1.96,1,0.097,10.78,89.22,green
Q1_30day_route,explorer_dense,探索紧凑型,7,天山天池,6.96,1.96,1,0.097,0.97,99.03,green
Q1_30day_route,standard_active,普通体力型,8,无景点，跨区转场,6.21,6.21,0,0.236,14.65,85.35,green
Q1_30day_route,family_comfort,亲子舒适型,8,无景点，跨区转场,6.21,6.21,0,0.236,25.61,74.39,yellow
