group_id,group_name,min_required,group_weight,spot_id,spot_name,ordinary_tourist_allowed,note
G_TIANCHI,天池组,1,12,P001,天山天池,True,题面偏好组约束
G_DABANCHENG,达坂城组,1,10,P002,达坂城古镇,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P003,火焰山,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P004,葡萄沟,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P005,坎儿井民俗园,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P006,交河故城,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P011,高昌故城,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P012,苏公塔,True,题面偏好组约束
G_TURPAN,吐鲁番组,2,14,P013,吐峪沟麻扎村,True,题面偏好组约束
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P006,交河故城,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P011,高昌故城,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P036,北庭故城遗址,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P031,克孜尔石窟,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P024,喀什古城,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P025,艾提尕尔清真寺,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P026,香妃园,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P030,库车王府,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P034,罗布人村寨,True,楼兰古城本体受限，使用文化替代节点
G_LOULAN_SUBSTITUTE,楼兰文化替代组,2,16,P037,和田博物馆,True,楼兰古城本体受限，使用文化替代节点
G_YILI,伊犁组,2,14,P008,赛里木湖,True,题面偏好组约束
G_YILI,伊犁组,2,14,P009,那拉提草原,True,题面偏好组约束
G_YILI,伊犁组,2,14,P010,喀拉峻大草原,True,题面偏好组约束
G_YILI,伊犁组,2,14,P014,霍城薰衣草花田,True,题面偏好组约束
G_YILI,伊犁组,2,14,P015,昭苏草原,True,题面偏好组约束
G_YILI,伊犁组,2,14,P016,夏塔古道,True,题面偏好组约束
G_YILI,伊犁组,2,14,P017,果子沟大桥,True,题面偏好组约束
