spot_id,spot_name,depot_to_spot_time,spot_to_depot_time,depot_to_spot_cost,spot_to_depot_cost,depot_to_spot_risk,spot_to_depot_risk
P001,天山天池,0.967,1.036,37.02,37.25,0.062,0.063
P002,达坂城古镇,1.333,1.224,55.43,54.93,0.074,0.073
P003,火焰山,2.726,2.82,122.34,121.62,0.114,0.114
P004,葡萄沟,2.399,2.507,110.24,109.71,0.107,0.106
P005,坎儿井民俗园,2.417,2.519,108.23,107.75,0.106,0.105
P006,交河故城,2.524,2.533,111.32,104.0,0.107,0.12
P007,楼兰古城,7.183,7.248,2576.16,2576.73,0.201,0.201
P008,赛里木湖,5.832,5.899,300.49,304.15,0.222,0.224
P009,那拉提草原,7.568,7.409,252.66,253.13,0.193,0.193
P010,喀拉峻大草原,10.0,10.0,1316.25,1316.25,0.24,0.24
P011,高昌故城,3.015,3.233,127.04,104.0,0.117,0.12
P012,苏公塔,2.491,2.533,111.29,104.0,0.107,0.12
P013,吐峪沟麻扎村,2.861,3.136,139.22,132.17,0.124,0.12
P014,霍城薰衣草花田,6.849,6.561,334.41,337.39,0.243,0.244
P015,昭苏草原,12.466,12.092,488.75,489.19,0.376,0.377
P016,夏塔古道,11.0,11.0,1417.0,1417.0,0.24,0.24
P017,果子沟大桥,6.132,6.086,330.49,318.29,0.302,0.233
P018,喀纳斯湖,6.482,6.233,328.68,327.54,0.301,0.3
P019,禾木村,6.482,6.233,328.68,327.54,0.301,0.3
P020,白哈巴村,7.34,7.362,345.91,348.49,0.351,0.353
P021,可可托海,5.963,5.751,288.14,288.11,0.215,0.215
P022,五彩滩,6.182,5.933,298.68,297.54,0.221,0.22
P023,世界魔鬼城,4.505,4.861,236.9,237.21,0.184,0.184
P024,喀什古城,7.05,7.05,2575.0,2575.0,0.16,0.16
P025,艾提尕尔清真寺,7.05,7.05,2575.0,2575.0,0.16,0.16
P026,香妃园,7.05,7.05,2575.0,2575.0,0.16,0.16
P027,帕米尔高原白沙湖,10.697,10.497,2679.63,2674.76,0.263,0.26
P028,石头城遗址,11.55,11.55,2734.5,2734.5,0.24,0.24
P029,天山神秘大峡谷,7.583,7.583,1195.0,1195.0,0.16,0.16
P030,库车王府,6.383,6.383,1195.0,1195.0,0.16,0.16
P031,克孜尔石窟,7.583,7.583,1195.0,1195.0,0.16,0.16
P032,博斯腾湖,4.843,5.039,188.97,189.2,0.155,0.155
P033,巴音布鲁克草原,6.093,6.042,219.83,220.37,0.173,0.174
P034,罗布人村寨,4.921,5.059,223.82,224.35,0.176,0.176
P035,江布拉克草原,2.692,2.681,126.68,126.6,0.117,0.117
P036,北庭故城遗址,1.997,2.011,93.29,93.26,0.097,0.097
P037,和田博物馆,7.05,7.05,2387.0,2387.0,0.16,0.16
P038,尼雅遗址,10.25,10.25,2447.5,2447.5,0.24,0.24
P039,千里葡萄长廊,7.05,7.05,2387.0,2387.0,0.16,0.16
P040,奥依塔克冰川,8.75,8.75,2575.0,2575.0,0.16,0.16
