persona_id,drop_order,spot_id,spot_name,region_cluster,priority_score,is_topic_preference,drop_reason
family_comfort,1,P039,千里葡萄长廊,南疆,1.0,False,释放天数/降低高疲劳日压力
family_comfort,2,P033,巴音布鲁克草原,巴州-南疆北线,2.0,False,释放天数/降低高疲劳日压力
senior_slow,1,P039,千里葡萄长廊,南疆,1.0,False,释放天数/降低高疲劳日压力
senior_slow,2,P033,巴音布鲁克草原,巴州-南疆北线,2.0,False,释放天数/降低高疲劳日压力
senior_slow,3,P032,博斯腾湖,巴州-南疆北线,2.0,False,释放天数/降低高疲劳日压力
senior_slow,4,P029,天山神秘大峡谷,巴州-南疆北线,2.0,False,释放天数/降低高疲劳日压力
senior_slow,5,P040,奥依塔克冰川,南疆,2.0,False,释放天数/降低高疲劳日压力
senior_slow,6,P027,帕米尔高原白沙湖,南疆,2.0,False,释放天数/降低高疲劳日压力
senior_slow,7,P035,江布拉克草原,乌鲁木齐周边,2.0,False,释放天数/降低高疲劳日压力
senior_slow,8,P025,艾提尕尔清真寺,南疆,3.0,False,释放天数/降低高疲劳日压力
senior_slow,9,P037,和田博物馆,南疆,3.0,False,释放天数/降低高疲劳日压力
senior_slow,10,P026,香妃园,南疆,3.0,False,释放天数/降低高疲劳日压力
senior_slow,11,P036,北庭故城遗址,乌鲁木齐周边,3.0,False,释放天数/降低高疲劳日压力
senior_slow,12,P028,石头城遗址,南疆,3.0,False,释放天数/降低高疲劳日压力
