spot_id,spot_name,region_raw,region_cluster,hub_id,hub_name,map_confidence,visit_hours_min,visit_hours_max,visit_hours_mid,ticket_high_base_yuan_per_person,ticket_high_mandatory_local_yuan_per_person,ticket_high_total_yuan_per_person,ticket_low_total_yuan_per_person,ticket_parse_note,is_cultural,is_natural,is_topic_preference,priority_score_for_op,requires_approval,requires_border_permit,requires_reservation,high_altitude_or_remote,ordinary_tourist_restricted,open_time_raw,local_access_km_from_text,local_access_hours_from_text,raw_ticket_high,raw_duration,modeling_note
P001,天山天池,乌鲁木齐市,乌鲁木齐周边,H011,天池风景区,high,4.0,6.0,5.0,155.0,0.0,155.0,105.0,numeric,False,True,True,5,False,False,True,False,False,旺季4.1-10.31 8:00-19:00；淡季11.1-3.31 9:00-18:00,110.0,1.5,155,4-6小时,题面偏好点；边表有天池风景区节点
P002,达坂城古镇,乌鲁木齐市,乌鲁木齐周边,H003,达坂城镇,high,2.0,3.0,2.5,40.0,0.0,40.0,40.0,numeric,True,False,True,6,False,False,True,False,False,9:30-19:00,90.0,1.0,40,2-3小时,题面偏好点；边表有达坂城镇节点
P003,火焰山,吐鲁番市,东疆,H002,吐鲁番市,high,2.0,3.0,2.5,40.0,0.0,40.0,40.0,numeric,False,True,True,5,False,False,False,False,False,夏季8:00-21:00,30.0,1.0,40,2-3小时,吐鲁番片区景点，先映射到吐鲁番市
P004,葡萄沟,吐鲁番市,东疆,H002,吐鲁番市,high,3.0,3.0,3.0,60.0,0.0,60.0,60.0,numeric,False,False,True,4,False,False,True,False,False,8:30-19:30,10.0,,60,3小时,吐鲁番市内/近郊景点
P005,坎儿井民俗园,吐鲁番市,东疆,H002,吐鲁番市,high,1.0,2.0,1.5,40.0,0.0,40.0,40.0,numeric,True,False,True,6,False,False,False,False,False,8:30-19:00,5.0,,40,1-2小时,吐鲁番市内景点
P006,交河故城,吐鲁番市,东疆,H002,吐鲁番市,high,1.5,2.0,1.75,30.0,0.0,30.0,30.0,numeric,True,False,True,6,False,False,False,False,False,9:00-19:00,10.0,,30,1.5-2小时,吐鲁番市内/近郊文化景点
P007,楼兰古城,巴州若羌县,巴州-南疆北线,H008,若羌县(楼兰),high,8.0,8.0,8.0,4000.0,0.0,4000.0,4000.0,numeric,True,False,True,4,True,False,True,False,True,需提前申请审批,300.0,5.5,4000,1天,题面偏好点；需审批，边表有若羌县(楼兰)
P008,赛里木湖,伊犁哈萨克自治州,伊犁,H010,赛里木湖,high,6.0,6.0,6.0,145.0,0.0,145.0,145.0,numeric,False,True,True,5,False,False,True,False,False,8:00-22:00,150.0,2.0,145,6小时,景点名与边表节点一致
P009,那拉提草原,伊犁哈萨克自治州,伊犁,H009,那拉提镇,high,6.0,6.0,6.0,135.0,0.0,135.0,135.0,numeric,False,True,True,5,False,False,True,False,False,8:30-20:00,250.0,3.5,135,6小时,边表有那拉提镇节点
P010,喀拉峻大草原,伊犁哈萨克自治州,伊犁,H017,特克斯县(八卦城),medium,6.0,6.0,6.0,140.0,0.0,140.0,140.0,numeric,False,True,True,5,False,False,True,False,False,8:00-20:00,130.0,2.0,140,6小时,喀拉峻位于特克斯方向，边表无喀拉峻专门节点
P011,高昌故城,吐鲁番市,东疆,H002,吐鲁番市,medium,2.0,3.0,2.5,70.0,0.0,70.0,70.0,numeric,True,False,True,6,False,False,False,False,False,9:00-19:00,40.0,1.0,70,2-3小时,吐鲁番片区，需本地接驳
P012,苏公塔,吐鲁番市,东疆,H002,吐鲁番市,high,1.0,2.0,1.5,45.0,0.0,45.0,45.0,numeric,True,False,True,6,False,False,False,False,False,9:00-19:00,2.0,,45,1-2小时,吐鲁番市内景点
P013,吐峪沟麻扎村,吐鲁番市,东疆,H002,吐鲁番市,medium,2.0,3.0,2.5,30.0,0.0,30.0,30.0,numeric,True,True,True,7,False,False,False,False,False,8:00-20:00,50.0,1.0,30,2-3小时,吐鲁番-鄯善方向，先映射到吐鲁番市
P014,霍城薰衣草花田,伊犁哈萨克自治州霍城县,伊犁,H016,霍城县(惠远古城),medium,2.0,3.0,2.5,35.0,0.0,35.0,35.0,numeric,False,True,True,5,False,False,True,False,False,6-8月8:00-20:00,50.0,1.0,35,2-3小时,霍城片区，边表节点为惠远古城
P015,昭苏草原,伊犁哈萨克自治州昭苏县,伊犁,H018,昭苏县(夏塔古道),medium,3.0,4.0,3.5,0.0,0.0,0.0,0.0,free,False,True,True,5,False,False,False,False,False,全天开放,180.0,3.0,免费,3-4小时,昭苏片区，边表节点为夏塔古道
P016,夏塔古道,伊犁哈萨克自治州昭苏县,伊犁,H018,昭苏县(夏塔古道),high,4.0,6.0,5.0,40.0,40.0,80.0,80.0,base_plus_mandatory_local,False,False,True,4,False,False,True,False,False,9:00-20:00,70.0,1.5,40+40区间车,4-6小时,边表有昭苏县(夏塔古道)节点
P017,果子沟大桥,伊犁哈萨克自治州霍城县,伊犁,H010,赛里木湖,medium,1.0,2.0,1.5,0.0,0.0,0.0,0.0,free,False,True,True,5,False,False,False,False,False,全天开放,100.0,1.5,免费,1-2小时,近赛里木湖/霍城，先映射到赛里木湖节点
P018,喀纳斯湖,阿勒泰地区布尔津县,北疆,H013,禾木村,low,6.0,8.0,7.0,230.0,0.0,230.0,190.0,numeric_with_note:230（含区间车）,False,True,False,2,False,False,True,False,False,8:30-19:30,150.0,2.5,230（含区间车）,6-8小时,边表缺布尔津/喀纳斯节点，临时挂到禾木村
P019,禾木村,阿勒泰地区布尔津县,北疆,H013,禾木村,high,8.0,16.0,12.0,102.0,0.0,102.0,80.0,numeric_with_note:102（含古城维护费）,False,False,False,1,False,False,True,False,False,全天开放,160.0,3.0,102（含古城维护费）,1-2天,景点名与边表节点一致
P020,白哈巴村,阿勒泰地区哈巴河县,北疆,H014,白哈巴,high,3.0,4.0,3.5,30.0,150.0,180.0,180.0,base_plus_mandatory_local,False,False,False,1,False,True,True,False,False,9:00-18:00,120.0,2.0,30+150区间车,3-4小时,边表有白哈巴节点
P021,可可托海,阿勒泰地区富蕴县,北疆,H012,可可托海,high,4.0,6.0,5.0,90.0,36.0,126.0,126.0,base_plus_mandatory_local,False,True,False,2,False,False,True,False,False,9:30-18:00,50.0,1.0,90+36区间车,4-6小时,景点名与边表节点一致
P022,五彩滩,阿勒泰地区布尔津县,北疆,H013,禾木村,low,2.0,3.0,2.5,45.0,0.0,45.0,45.0,numeric,False,True,False,2,False,False,False,False,False,9:00-21:00,20.0,,45,2-3小时,边表缺布尔津节点，临时挂到禾木村
P023,世界魔鬼城,克拉玛依市乌尔禾区,北疆,H006,阿勒泰市,low,2.0,3.0,2.5,62.0,0.0,62.0,62.0,numeric,False,False,False,1,False,False,False,False,False,10:00-18:30,100.0,1.5,62,2-3小时,边表缺克拉玛依/乌尔禾节点，需补边
P024,喀什古城,喀什地区喀什市,南疆,H005,喀什市,high,3.0,4.0,3.5,0.0,0.0,0.0,0.0,free,True,False,False,3,False,False,True,False,False,10:00-19:00,5.0,,免费,3-4小时,喀什市内景点
P025,艾提尕尔清真寺,喀什地区喀什市,南疆,H005,喀什市,high,1.0,2.0,1.5,30.0,0.0,30.0,30.0,numeric,True,False,False,3,False,False,True,False,False,10:00-14:00、16:00-19:00,3.0,,30,1-2小时,喀什市内景点
