hotel_option_id,place_name,hub_id,hub_name,high_season_room_yuan_per_night,low_season_room_yuan_per_night,hotel_grade,hotel_grade_rank,price_basis,source_note
L001,乌鲁木齐市,H001,乌鲁木齐市,150.0,100.0,经济型,1,room_per_night_for_two_people,友好路、南门商圈，地铁口附近价格略高，连锁酒店性价比高
L002,乌鲁木齐市,H001,乌鲁木齐市,300.0,200.0,舒适型,2,room_per_night_for_two_people,沙依巴克区、新市区核心商圈，含早餐，部分有免费接送机
L003,乌鲁木齐市,H001,乌鲁木齐市,500.0,350.0,高端型,3,room_per_night_for_two_people,天山区、水磨沟区五星酒店，配套完善，适合商务出行
L004,吐鲁番市,H002,吐鲁番市,180.0,120.0,经济型,1,room_per_night_for_two_people,老城区、葡萄沟附近，部分提供下午3点后入住免当日房费优惠
L005,吐鲁番市,H002,吐鲁番市,280.0,180.0,舒适型,2,room_per_night_for_two_people,新城区、高铁站附近，含早餐，有免费停车场
L006,伊宁市(伊犁),H004,伊宁市(伊犁),300.0,200.0,经济型,1,room_per_night_for_two_people,开发区连锁酒店性价比更高，老城区民宿价格略高
L007,伊宁市(伊犁),H004,伊宁市(伊犁),500.0,350.0,舒适型,2,room_per_night_for_two_people,伊宁市区、察布查尔县，含早餐，部分有温泉配套
L008,喀什市,H005,喀什市,180.0,120.0,经济型,1,room_per_night_for_two_people,老城区、喀什古城步行可达，新城区万达商圈价格更低
L009,喀什市,H005,喀什市,280.0,180.0,舒适型,2,room_per_night_for_two_people,喀什市、疏附县，含早餐，有免费接送站服务
L010,库尔勒市,H007,库尔勒市,150.0,100.0,经济型,1,room_per_night_for_two_people,老城区、火车站附近，酒店选择多，价格稳定
L011,库尔勒市,H007,库尔勒市,250.0,200.0,舒适型,2,room_per_night_for_two_people,新城区、孔雀河附近，含早餐，配套完善
L012,那拉提镇,H009,那拉提镇,200.0,150.0,经济型,1,room_per_night_for_two_people,那拉提镇中心，旺季需提前15天预订，有免费停车场
L013,那拉提镇,H009,那拉提镇,350.0,250.0,舒适型,2,room_per_night_for_two_people,那拉提景区附近，含早餐，部分有观景阳台
L014,清水河镇(赛里木湖),,,200.0,150.0,经济型,1,room_per_night_for_two_people,清水河镇中心，比景区内便宜50%以上，旺季需提前预订
L015,清水河镇(赛里木湖),,,350.0,250.0,舒适型,2,room_per_night_for_two_people,赛里木湖景区东门附近，含早餐，部分有湖景房
L016,天池风景区,H011,天池风景区,280.0,180.0,经济型,1,room_per_night_for_two_people,天池景区内，旺季价格上浮30%，需提前预订
L017,天池风景区,H011,天池风景区,480.0,320.0,舒适型,2,room_per_night_for_two_people,天池景区内，含早餐，有观景房，配套完善
L018,可可托海镇,,,220.0,160.0,经济型,1,room_per_night_for_two_people,可可托海镇中心，旺季价格上浮25%，有免费停车场
L019,禾木村,H013,禾木村,350.0,220.0,经济型,1,room_per_night_for_two_people,禾木村景区内，旺季价格上浮40%，需提前1个月预订
L020,禾木村,H013,禾木村,600.0,380.0,舒适型,2,room_per_night_for_two_people,禾木村景区内，含早餐，有观景阳台，部分带温泉
L021,白哈巴村,,,320.0,200.0,经济型,1,room_per_night_for_two_people,白哈巴村景区内，旺季价格上浮35%，需提前预订
L022,鄯善县(库木塔格沙漠),H015,鄯善县(库木塔格沙漠),160.0,110.0,经济型,1,room_per_night_for_two_people,鄯善县老城区，沙漠景区附近，价格稳定
L023,特克斯县(八卦城),H017,特克斯县(八卦城),190.0,130.0,经济型,1,room_per_night_for_two_people,特克斯县中心，八卦城景区内，旺季价格上浮20%
L024,昭苏县(夏塔古道),H018,昭苏县(夏塔古道),210.0,150.0,经济型,1,room_per_night_for_two_people,昭苏县中心，夏塔古道景区附近，旺季需提前预订
L025,巴音布鲁克镇,H019,巴音布鲁克,230.0,160.0,经济型,1,room_per_night_for_two_people,巴音布鲁克镇中心，景区附近，旺季价格上浮30%
L026,库车市,H020,库车市,170.0,120.0,经济型,1,room_per_night_for_two_people,库车市老城区，独库公路终点附近，价格稳定
L027,塔什库尔干县,H021,塔什库尔干县(帕米尔高原),200.0,140.0,经济型,1,room_per_night_for_two_people,塔什库尔干县中心，帕米尔高原景区附近，旺季需提前预订
L028,和田市,H023,和田市,160.0,110.0,经济型,1,room_per_night_for_two_people,和田市老城区，玉石市场附近，价格稳定
L029,若羌县(楼兰),H008,若羌县(楼兰),190.0,130.0,经济型,1,room_per_night_for_two_people,若羌县中心，楼兰古城景区附近，旺季价格上浮25%
