route_id,day,step_no,to_name,spot_id,arrival_time,service_start_time,service_end_time,open_time,close_time,wait_hours,service_hours,daily_budget_feasible,time_window_feasible,feasibility_status,note
PCOP_MILP,1,1,达坂城古镇,P002,09:50,09:50,12:20,09:30,19:00,0.0,2.5,True,True,ok,
PCOP_MILP,2,2,天山天池,P001,10:25,10:25,15:25,08:00,19:00,0.0,5.0,True,True,ok,
PCOP_MILP,3,3,北庭故城遗址,P036,09:49,09:49,11:19,09:00,19:00,0.0,1.5,True,True,ok,
PCOP_MILP,4,4,吐峪沟麻扎村,P013,13:12,13:12,15:42,08:00,20:00,0.0,2.5,True,True,ok,
PCOP_MILP,5,5,火焰山,P003,08:54,08:54,11:24,08:00,21:00,0.0,2.5,True,True,ok,
PCOP_MILP,5,6,高昌故城,P011,11:43,11:43,14:13,09:00,19:00,0.0,2.5,True,True,ok,
PCOP_MILP,6,7,交河故城,P006,09:44,09:44,11:29,09:00,19:00,0.0,1.75,True,True,ok,
PCOP_MILP,6,8,葡萄沟,P004,12:05,12:05,15:05,08:30,19:30,0.0,3.0,True,True,ok,
PCOP_MILP,7,9,坎儿井民俗园,P005,08:55,08:55,10:25,08:30,19:00,0.0,1.5,True,True,ok,
PCOP_MILP,7,10,苏公塔,P012,10:40,10:40,12:10,09:00,19:00,0.0,1.5,True,True,ok,
PCOP_MILP,9,12,罗布人村寨,P034,08:30,09:00,11:30,09:00,19:00,0.5,2.5,True,True,ok,
PCOP_MILP,11,14,克孜尔石窟,P031,08:30,09:30,12:00,09:30,19:00,1.0,2.5,True,True,ok,
PCOP_MILP,13,16,喀什古城,P024,08:30,10:00,13:30,10:00,19:00,1.5,3.5,True,True,ok,
PCOP_MILP,14,17,石头城遗址,P028,13:36,13:36,18:06,09:00,19:00,0.0,4.5,False,True,needs_adjustment,当天活动超过8小时预算
PCOP_MILP,15,18,香妃园,P026,13:36,13:36,16:06,10:00,19:00,0.0,2.5,True,True,ok,
PCOP_MILP,16,19,艾提尕尔清真寺,P025,08:47,10:00,11:30,10:00,14:00,1.213,1.5,True,True,ok,
PCOP_MILP,18,21,和田博物馆,P037,08:30,10:00,12:30,10:00,19:00,1.5,2.5,True,True,ok,
PCOP_MILP,20,23,库车王府,P030,08:30,09:00,10:30,09:00,19:00,0.5,1.5,True,True,ok,
PCOP_MILP,22,25,昭苏草原,P015,08:30,08:30,12:00,00:00,+1 00:00,0.0,3.5,True,True,ok,
PCOP_MILP,23,26,喀拉峻大草原,P010,12:40,12:40,18:40,08:00,20:00,0.0,6.0,False,True,needs_adjustment,当天活动超过8小时预算
PCOP_MILP,24,27,那拉提草原,P009,13:30,13:30,19:30,08:30,20:00,0.0,6.0,False,True,needs_adjustment,当天活动超过8小时预算
PCOP_MILP,25,28,霍城薰衣草花田,P014,12:48,12:48,15:18,08:00,20:00,0.0,2.5,True,True,ok,
PCOP_MILP,26,29,果子沟大桥,P017,09:06,09:06,10:36,00:00,+1 00:00,0.0,1.5,True,True,ok,
PCOP_MILP,27,30,赛里木湖,P008,08:48,08:48,14:48,08:00,22:00,0.0,6.0,True,True,ok,
