year,segment_order,from_node,from_name,to_node,to_name,label_id,mode,mode_combo,time_hours,cost_yuan_for_two,risk_score,fatigue_score,path_desc,schedule_required,plan_id
1,1,乌鲁木齐市,乌鲁木齐市,P001,天山天池,Q2G000001,gateway_access,gateway_to_spot:乌鲁木齐市,0.967,37.02,0.062,0.725,urumqi_depot_access,False,Q2V3_001_ROOTED_URUMQI
1,2,P001,天山天池,P035,江布拉克草原,Q2L000068,self_drive,scenic_shuttle -> self_drive -> scenic_shuttle,3.15,52.25,0.16,3.15,scenic_shuttle -> self_drive -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,3,P035,江布拉克草原,P036,北庭故城遗址,Q2L002756,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.8,0.0,0.08,1.26,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,4,P036,北庭故城遗址,P021,可可托海,Q2L002807,charter_car,amap_selfdrive,5.188,237.17,0.222,4.41,amap road 431.2km,False,Q2V3_001_ROOTED_URUMQI
1,5,P021,可可托海,P022,五彩滩,Q2L001623,charter_car,amap_selfdrive,5.095,186.71,0.218,4.331,amap road 339.5km,False,Q2V3_001_ROOTED_URUMQI
1,6,P022,五彩滩,P019,禾木村,Q2L001696,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,7,P019,禾木村,P018,喀纳斯湖,Q2L001457,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,8,P018,喀纳斯湖,P020,白哈巴村,Q2L001382,rental_car,amap_selfdrive,0.858,17.23,0.07,0.815,amap road 31.3km,False,Q2V3_001_ROOTED_URUMQI
1,9,P020,白哈巴村,P023,世界魔鬼城,Q2L001546,charter_car,amap_selfdrive,5.137,196.86,0.22,4.366,amap road 357.9km,False,Q2V3_001_ROOTED_URUMQI
1,10,P023,世界魔鬼城,P008,赛里木湖,Q2L001754,charter_car,amap_selfdrive,5.968,299.83,0.249,5.073,amap road 545.2km,False,Q2V3_001_ROOTED_URUMQI
1,11,P008,赛里木湖,P017,果子沟大桥,Q2L000585,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.3,0.0,0.08,0.21,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,12,P017,果子沟大桥,P014,霍城薰衣草花田,Q2L001292,rental_car,amap_selfdrive,1.571,57.04,0.095,1.492,amap road 103.7km,False,Q2V3_001_ROOTED_URUMQI
1,13,P014,霍城薰衣草花田,P010,喀拉峻大草原,Q2L001046,self_drive,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,6.0,88.0,0.24,6.0,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
1,14,P010,喀拉峻大草原,P015,昭苏草原,Q2L000740,rental_car,amap_selfdrive,4.049,63.65,0.182,3.847,amap road 115.7km,False,Q2V3_001_ROOTED_URUMQI
1,15,P015,昭苏草原,P016,夏塔古道,Q2L001137,rental_car,amap_selfdrive,3.716,66.06,0.17,3.53,amap road 120.1km,False,Q2V3_001_ROOTED_URUMQI
1,16,P016,夏塔古道,P009,那拉提草原,Q2L001203,charter_car,amap_selfdrive,6.468,207.11,0.266,5.498,amap road 376.6km,False,Q2V3_001_ROOTED_URUMQI
1,17,P009,那拉提草原,乌鲁木齐市,乌鲁木齐市,Q2G000018,gateway_access,spot_to_gateway:乌鲁木齐市,7.409,253.13,0.193,5.557,urumqi_depot_access,False,Q2V3_001_ROOTED_URUMQI
2,1,乌鲁木齐市,乌鲁木齐市,P002,达坂城古镇,Q2G000003,gateway_access,gateway_to_spot:乌鲁木齐市,1.333,55.43,0.074,1.0,urumqi_depot_access,False,Q2V3_001_ROOTED_URUMQI
2,2,P002,达坂城古镇,P004,葡萄沟,Q2L000086,rental_car,amap_selfdrive,1.296,56.65,0.085,1.231,amap road 103.0km,False,Q2V3_001_ROOTED_URUMQI
2,3,P004,葡萄沟,P006,交河故城,Q2L000247,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,4,P006,交河故城,P011,高昌故城,Q2L000415,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,5,P011,高昌故城,P013,吐峪沟麻扎村,Q2L000814,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,6,P013,吐峪沟麻扎村,P003,火焰山,Q2L000953,scenic_shuttle,scenic_shuttle -> scenic_shuttle,2.0,0.0,0.08,1.4,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,7,P003,火焰山,P012,苏公塔,Q2L000180,scenic_shuttle,scenic_shuttle -> scenic_shuttle,1.3,0.0,0.08,0.91,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,8,P012,苏公塔,P005,坎儿井民俗园,Q2L000878,scenic_shuttle,scenic_shuttle -> scenic_shuttle,0.6,0.0,0.08,0.42,scenic_shuttle -> scenic_shuttle,False,Q2V3_001_ROOTED_URUMQI
2,9,P005,坎儿井民俗园,P032,博斯腾湖,Q2L000379,charter_car,amap_selfdrive,5.071,178.26,0.217,4.31,amap road 324.1km,False,Q2V3_001_ROOTED_URUMQI
