route_id,day,sequence_no,activity_type,from_name,to_name,spot_id,spot_name,start_time,end_time,duration_hours,open_time,close_time,time_window_feasible,travel_hours,service_hours,cost_yuan_for_two_or_room,label_id,mode_sequence,lodging_hub,late_hotel,heat_avoidance_applied,recovery_after_long_transfer,activity_note
Q1V3_Q20_032,1,1,travel,乌鲁木齐起点,天山天池,,,08:30,09:28,0.967,,,True,0.967,0.0,37.02,DEPOT_TO_FIRST,taxi_transfer,,False,False,False,
Q1V3_Q20_032,1,2,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,1,3,visit,,,P001,天山天池,13:00,18:00,5.0,08:00,19:00,True,0.0,5.0,310.0,,,,False,False,False,
Q1V3_Q20_032,2,4,travel,天山天池,北庭故城遗址,,,08:30,09:49,1.313,,,True,1.313,0.0,60.98,L_P001_P036_01,taxi_transfer,,False,False,False,
Q1V3_Q20_032,2,5,visit,,,P036,北庭故城遗址,09:49,11:19,1.5,09:00,19:00,True,0.0,1.5,76.0,,,,False,False,False,
Q1V3_Q20_032,3,6,long_transfer,北庭故城遗址,罗布人村寨,,,08:30,14:42,6.2,,,True,6.2,0.0,286.0,L_P036_P034_01,scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,4,7,wait_open,,,P034,罗布人村寨,08:30,09:00,0.5,,,True,0.0,0.0,0.0,,,,False,False,False,等待开园
Q1V3_Q20_032,4,8,visit,,,P034,罗布人村寨,09:00,11:30,2.5,09:00,19:00,True,0.0,2.5,70.0,,,,False,False,True,
Q1V3_Q20_032,5,9,long_transfer,罗布人村寨,香妃园,,,08:30,20:47,12.278,,,True,12.278,0.0,600.54,L_P034_P026_01,charter_car,,True,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,6,10,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,6,11,visit,,,P026,香妃园,13:00,15:30,2.5,10:00,19:00,True,0.0,2.5,120.0,,,,False,False,True,
Q1V3_Q20_032,7,12,travel,香妃园,喀什古城,,,08:30,08:46,0.262,,,True,0.262,0.0,2.4,L_P026_P024_01,taxi_transfer,,False,False,False,
Q1V3_Q20_032,7,13,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,7,14,visit,,,P024,喀什古城,13:00,16:30,3.5,10:00,19:00,True,0.0,3.5,0.0,,,,False,False,False,
Q1V3_Q20_032,8,15,travel,喀什古城,石头城遗址,,,08:30,13:43,5.222,,,True,5.222,0.0,160.1,L_P024_P028_01,rental_car,,False,False,False,
Q1V3_Q20_032,8,16,visit,,,P028,石头城遗址,13:43,16:13,2.5,09:00,19:00,True,0.0,2.5,60.0,,,,False,False,False,
Q1V3_Q20_032,9,17,travel,石头城遗址,帕米尔高原白沙湖,,,08:30,09:58,1.471,,,True,1.471,0.0,55.09,L_P028_P027_01,taxi_transfer,,False,False,False,
Q1V3_Q20_032,9,18,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,9,19,heat_avoidance_wait,,,P027,帕米尔高原白沙湖,13:00,16:00,3.0,,,True,0.0,0.0,0.0,,,,False,True,False,高温户外避让
Q1V3_Q20_032,9,20,visit,,,P027,帕米尔高原白沙湖,16:00,18:30,2.5,09:30,19:30,True,0.0,2.5,80.0,,,,False,True,False,
Q1V3_Q20_032,10,21,long_transfer,帕米尔高原白沙湖,和田博物馆,,,08:30,16:28,7.969,,,True,7.969,0.0,363.86,L_P027_P037_01,charter_car,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,11,22,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,11,23,visit,,,P037,和田博物馆,13:00,15:30,2.5,10:00,19:00,True,0.0,2.5,0.0,,,,False,False,True,
Q1V3_Q20_032,12,24,long_transfer,和田博物馆,库车王府,,,08:30,16:55,8.41,,,True,8.41,0.0,357.96,L_P037_P030_01,charter_car,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,13,25,wait_open,,,P030,库车王府,08:30,09:00,0.5,,,True,0.0,0.0,0.0,,,,False,False,False,等待开园
Q1V3_Q20_032,13,26,visit,,,P030,库车王府,09:00,10:30,1.5,09:00,19:00,True,0.0,1.5,80.0,,,,False,False,True,
Q1V3_Q20_032,13,27,travel,库车王府,克孜尔石窟,,,10:30,11:46,1.271,,,True,1.271,0.0,35.86,L_P030_P031_01,taxi_transfer,,False,False,True,
Q1V3_Q20_032,13,28,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,13,29,visit,,,P031,克孜尔石窟,13:00,15:30,2.5,09:30,19:00,True,0.0,2.5,140.0,,,,False,False,True,
Q1V3_Q20_032,14,30,long_transfer,克孜尔石窟,那拉提草原,,,08:30,15:20,6.839,,,True,6.839,0.0,200.0,L_P031_P009_01,charter_car,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,15,31,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,15,32,visit,,,P009,那拉提草原,13:00,19:00,6.0,08:30,20:00,True,0.0,6.0,270.0,,,,False,False,True,
Q1V3_Q20_032,16,33,long_transfer,那拉提草原,昭苏草原,,,08:30,15:37,7.116,,,True,7.116,0.0,170.87,L_P009_P015_01,charter_car,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,17,34,visit,,,P015,昭苏草原,08:30,12:00,3.5,00:00,24:00,True,0.0,3.5,0.0,,,,False,False,False,
Q1V3_Q20_032,18,35,travel,昭苏草原,霍城薰衣草花田,,,08:30,14:03,5.55,,,True,5.55,0.0,152.57,L_P015_P014_01,rental_car,,False,False,False,
Q1V3_Q20_032,18,36,visit,,,P014,霍城薰衣草花田,14:03,16:33,2.5,08:00,20:00,True,0.0,2.5,70.0,,,,False,False,False,
Q1V3_Q20_032,19,37,travel,霍城薰衣草花田,果子沟大桥,,,08:30,09:06,0.597,,,True,0.597,0.0,19.1,L_P014_P017_01,taxi_transfer,,False,False,False,
Q1V3_Q20_032,19,38,visit,,,P017,果子沟大桥,09:06,10:36,1.5,00:00,24:00,True,0.0,1.5,0.0,,,,False,False,False,
Q1V3_Q20_032,20,39,travel,果子沟大桥,赛里木湖,,,08:30,09:06,0.597,,,True,0.597,0.0,22.62,L_P017_P008_01,taxi_transfer,,False,False,False,
Q1V3_Q20_032,20,40,lunch_break,,,,,12:00,13:00,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,固定午休块
Q1V3_Q20_032,20,41,visit,,,P008,赛里木湖,13:00,19:00,6.0,08:00,22:00,True,0.0,6.0,290.0,,,,False,False,False,
Q1V3_Q20_032,21,42,long_transfer,赛里木湖,达坂城古镇,,,08:30,15:16,6.763,,,True,6.763,0.0,355.16,L_P008_P002_01,charter_car,,False,False,False,长转场日，下一天降低活动强度
Q1V3_Q20_032,22,43,wait_open,,,P002,达坂城古镇,08:30,09:30,1.0,,,True,0.0,0.0,0.0,,,,False,False,False,等待开园
Q1V3_Q20_032,22,44,visit,,,P002,达坂城古镇,09:30,12:00,2.5,09:30,19:00,True,0.0,2.5,80.0,,,,False,False,False,
