from_spot_id,from_spot_name,to_spot_id,to_spot_name,label_id,mode_sequence,node_path,edge_id_path,time_hours,cost_yuan_for_two,risk_score,fatigue_score,transfer_count,is_night_transport,hotel_saving_yuan,ordinary_tourist_feasible,schedule_confirmation_required,dominance_rank,label_quality_note
P001,天山天池,P001,天山天池,L_P001_P001_01,same_spot,SPOT::P001,,0.0,0.0,0.0,0.0,0,False,0.0,True,False,1,same_spot
P001,天山天池,P002,达坂城古镇,L_P001_P002_01,rental_car,SPOT::P001>SPOT::P002,AM0198,2.131,93.7,0.097,2.451,0,False,0.0,True,False,1,non_dominated_from_multimodal_edges
P001,天山天池,P003,火焰山,L_P001_P003_01,rental_car,SPOT::P001>SPOT::P003,AM0237,3.57,160.62,0.137,4.105,0,False,0.0,True,False,1,non_dominated_from_multimodal_edges
P001,天山天池,P003,火焰山,L_P001_P003_02,taxi_transfer>rail>taxi_transfer>scenic_shuttle,SPOT::P001>HUB::乌鲁木齐市>RAIL::乌鲁木齐市>RAIL::吐鲁番市>HUB::吐鲁番市>SPOT::P003,AD1759>T0001>RL0098>T0002R>SH0121,4.269,141.25,0.183,3.184,0,False,0.0,True,True,2,local_cost_floor;template_public_edge
P001,天山天池,P004,葡萄沟,L_P001_P004_01,rental_car,SPOT::P001>SPOT::P004,AM0276,3.231,148.51,0.13,3.716,0,False,0.0,True,False,1,non_dominated_from_multimodal_edges
P001,天山天池,P004,葡萄沟,L_P001_P004_02,taxi_transfer>rail>taxi_transfer>scenic_shuttle,SPOT::P001>HUB::乌鲁木齐市>RAIL::乌鲁木齐市>RAIL::吐鲁番市>HUB::吐鲁番市>SPOT::P004,AD1759>T0001>RL0098>T0002R>SH0122,3.569,141.25,0.183,2.554,0,False,0.0,True,True,2,local_cost_floor;template_public_edge
P001,天山天池,P005,坎儿井民俗园,L_P001_P005_01,rental_car,SPOT::P001>SPOT::P005,AM0315,3.235,146.5,0.129,3.72,0,False,0.0,True,False,1,non_dominated_from_multimodal_edges
P001,天山天池,P005,坎儿井民俗园,L_P001_P005_02,taxi_transfer>rail>taxi_transfer>scenic_shuttle,SPOT::P001>HUB::乌鲁木齐市>RAIL::乌鲁木齐市>RAIL::吐鲁番市>HUB::吐鲁番市>SPOT::P005,AD1759>T0001>RL0098>T0002R>SH0123,3.569,141.25,0.183,2.554,0,False,0.0,True,True,2,local_cost_floor;template_public_edge
P001,天山天池,P006,交河故城,L_P001_P006_01,rental_car,SPOT::P001>SPOT::P006,AM0354,3.342,149.59,0.131,3.843,0,False,0.0,True,False,1,non_dominated_from_multimodal_edges
P001,天山天池,P006,交河故城,L_P001_P006_02,taxi_transfer>rail>taxi_transfer>scenic_shuttle,SPOT::P001>HUB::乌鲁木齐市>RAIL::乌鲁木齐市>RAIL::吐鲁番市>HUB::吐鲁番市>SPOT::P006,AD1759>T0001>RL0098>T0002R>SH0124,3.569,141.25,0.183,2.554,0,False,0.0,True,True,2,local_cost_floor;template_public_edge
