label_id,from_id,to_id,mode,mode_combo,time_hours,cost_yuan_for_two,risk_score,fatigue_score,path_desc,source,schedule_required,is_gateway_label,gateway_name,direction
Q2G000001,乌鲁木齐市,P001,gateway_access,gateway_to_spot:乌鲁木齐市,0.967,37.02,0.062,0.725,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000002,P001,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,1.036,37.25,0.063,0.777,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000003,乌鲁木齐市,P002,gateway_access,gateway_to_spot:乌鲁木齐市,1.333,55.43,0.074,1.0,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000004,P002,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,1.224,54.93,0.073,0.918,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000005,乌鲁木齐市,P003,gateway_access,gateway_to_spot:乌鲁木齐市,2.726,122.34,0.114,2.045,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000006,P003,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,2.82,121.62,0.114,2.115,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000007,乌鲁木齐市,P004,gateway_access,gateway_to_spot:乌鲁木齐市,2.399,110.24,0.107,1.799,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000008,P004,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,2.507,109.71,0.106,1.88,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000009,乌鲁木齐市,P005,gateway_access,gateway_to_spot:乌鲁木齐市,2.417,108.23,0.106,1.813,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000010,P005,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,2.519,107.75,0.105,1.889,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000011,乌鲁木齐市,P006,gateway_access,gateway_to_spot:乌鲁木齐市,2.524,111.32,0.107,1.893,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000012,P006,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,2.533,104.0,0.12,1.9,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000013,乌鲁木齐市,P007,gateway_access,gateway_to_spot:乌鲁木齐市,7.183,2576.16,0.201,5.387,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000014,P007,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,7.248,2576.73,0.201,5.436,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000015,乌鲁木齐市,P008,gateway_access,gateway_to_spot:乌鲁木齐市,5.832,300.49,0.222,4.374,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000016,P008,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,5.899,304.15,0.224,4.424,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000017,乌鲁木齐市,P009,gateway_access,gateway_to_spot:乌鲁木齐市,7.568,252.66,0.193,5.676,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
Q2G000018,P009,乌鲁木齐市,gateway_access,spot_to_gateway:乌鲁木齐市,7.409,253.13,0.193,5.557,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,spot_to_gateway
Q2G000019,乌鲁木齐市,P010,gateway_access,gateway_to_spot:乌鲁木齐市,10.0,1316.25,0.24,7.5,urumqi_depot_access,urumqi_depot_access,False,True,乌鲁木齐市,gateway_to_spot
