route_id,group_id,segment_order,from_id,from_name,to_id,to_name,time_hours,cost_yuan_for_two,risk_score,mode_combo,dominant_mode,source
Q3V2_Group1,1,1,DEPOT_URUMQI,乌鲁木齐起点,P007,楼兰古城,7.183,2576.16,0.201,depot_access,charter_car,depot_access_matrix
Q3V2_Group1,1,2,P007,楼兰古城,P038,尼雅遗址,9.754,464.83,0.162,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group1,1,3,P038,尼雅遗址,DEPOT_URUMQI,乌鲁木齐终点,10.25,2447.5,0.24,depot_access,charter_car,depot_access_matrix
Q3V2_Group2,2,1,DEPOT_URUMQI,乌鲁木齐起点,P013,吐峪沟麻扎村,2.861,139.22,0.124,depot_access,rental_car,depot_access_matrix
Q3V2_Group2,2,2,P013,吐峪沟麻扎村,P012,苏公塔,0.846,26.25,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,3,P012,苏公塔,P006,交河故城,0.388,7.75,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,4,P006,交河故城,P034,罗布人村寨,6.281,243.54,0.119,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,5,P034,罗布人村寨,P030,库车王府,5.437,214.57,0.108,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,6,P030,库车王府,P025,艾提尕尔清真寺,7.179,389.14,0.13,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,7,P025,艾提尕尔清真寺,P024,喀什古城,0.151,1.2,0.06,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group2,2,8,P024,喀什古城,DEPOT_URUMQI,乌鲁木齐终点,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
Q3V2_Group3,3,1,DEPOT_URUMQI,乌鲁木齐起点,P036,北庭故城遗址,1.997,93.29,0.097,depot_access,rental_car,depot_access_matrix
Q3V2_Group3,3,2,P036,北庭故城遗址,P011,高昌故城,4.975,203.27,0.102,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group3,3,3,P011,高昌故城,P031,克孜尔石窟,10.317,405.05,0.169,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group3,3,4,P031,克孜尔石窟,P028,石头城遗址,11.956,543.93,0.189,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group3,3,5,P028,石头城遗址,P026,香妃园,5.106,156.66,0.104,amap_selfdrive,mixed_transfer,amap_driving_od_matrix_clean
Q3V2_Group3,3,6,P026,香妃园,DEPOT_URUMQI,乌鲁木齐终点,7.05,2575.0,0.16,depot_access,charter_car,depot_access_matrix
