seed_id,objective,spots_count,optimized_spots_count,scheduled_days,hotel_nights,scheduled_active_hours,scheduled_travel_hours,scheduled_service_hours,transport_cost_yuan_per_two,ticket_cost_yuan_per_two,hotel_cost_yuan_room,itinerary_proxy_cost_yuan_excluding_meals,over_budget_days,time_window_violations,limited_lodging_nights,long_transfer_steps,route_sequence
SEED_001,257523.04,32,32,30,29,201.095,93.04,102.75,5474.8,3402.0,5630.0,14506.8,3,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 博斯腾湖 -> 罗布人村寨 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊
SEED_002,257332.637,32,32,30,29,200.865,92.81,102.75,5551.61,3402.0,5610.0,14563.61,4,0,0,7,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 罗布人村寨 -> 博斯腾湖
SEED_003,257332.637,32,32,30,29,200.865,92.81,102.75,5551.61,3402.0,5610.0,14563.61,4,0,0,7,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 罗布人村寨 -> 博斯腾湖
SEED_004,256602.624,32,32,30,29,198.623,92.068,102.75,3431.36,3402.0,5610.0,12443.36,4,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖
SEED_005,256602.624,32,32,30,29,198.623,92.068,102.75,3431.36,3402.0,5610.0,12443.36,4,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖
SEED_006,256602.624,32,32,30,29,198.623,92.068,102.75,3431.36,3402.0,5610.0,12443.36,4,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖
SEED_007,256523.93,32,32,30,29,203.45,96.726,102.75,3656.2,3402.0,5610.0,12668.2,4,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 葡萄沟 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖
SEED_008,255608.898,32,32,30,29,201.003,94.279,102.75,3579.15,3402.0,5610.0,12591.15,5,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖 -> 葡萄沟
SEED_009,255599.906,32,32,30,29,201.671,95.116,102.75,3604.84,3402.0,5610.0,12616.84,5,0,0,6,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 千里葡萄长廊 -> 和田博物馆 -> 罗布人村寨 -> 博斯腾湖 -> 葡萄沟 -> 火焰山
SEED_010,255239.07,32,32,30,29,205.163,98.413,102.75,5602.2,3402.0,5630.0,14634.2,4,0,0,7,天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 火焰山 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 博斯腾湖 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 夏塔古道 -> 喀拉峻大草原 -> 昭苏草原 -> 那拉提草原 -> 巴音布鲁克草原
