route_id,route_type,persona_id,day,calendar_role,visit_spots_count,visit_spots,day_travel_hours,day_service_hours,day_active_hours,transport_cost_yuan_for_two,ticket_cost_yuan_for_two,risk_score,mode_combo,high_temp_exposure_hours,remote_or_altitude_spots,lodging_hub,hotel_cost_yuan,fatigue_index,comfort_score,stress_level,humanized_note
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,1,active,2,达坂城古镇 -> 交河故城,2.74,4.25,6.99,113.16,140.0,0.149,hard30_original_segments,0.0,0,吐鲁番市,180.0,12.54,87.46,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,2,active,3,坎儿井民俗园 -> 苏公塔 -> 葡萄沟,0.86,6.0,6.86,13.64,290.0,0.128,hard30_original_segments,0.0,0,吐鲁番市,180.0,10.85,89.15,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,3,active,2,火焰山 -> 高昌故城,0.9,5.0,5.9,24.5,220.0,0.095,hard30_original_segments,0.0,0,吐鲁番市,180.0,3.06,96.94,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,4,active,1,吐峪沟麻扎村,0.59,2.5,3.09,11.08,60.0,0.047,hard30_original_segments,0.0,0,吐鲁番市,180.0,1.51,98.49,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,5,active,1,北庭故城遗址,4.7,1.5,6.2,190.84,76.0,0.156,hard30_original_segments,0.0,0,乌鲁木齐市,150.0,14.32,85.68,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,6,active,1,江布拉克草原,1.33,3.5,4.83,38.39,86.0,0.063,hard30_original_segments,0.0,0,乌鲁木齐市,150.0,2.03,97.97,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,7,active,1,天山天池,1.96,5.0,6.96,94.59,310.0,0.097,hard30_original_segments,0.0,0,天池风景区,280.0,10.63,89.37,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,8,active,0,,6.21,0.0,6.21,323.25,0.0,0.236,hard30_original_segments,0.0,0,赛里木湖,260.0,26.69,73.31,red,长转场后降低游览密度
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,9,active,1,赛里木湖,0.0,6.0,6.0,0.0,290.0,0.0,hard30_original_segments,0.0,0,赛里木湖,260.0,0.0,100.0,green,常规执行
Q1V2_EXTREME_32_HARD30,极限覆盖版,extreme_coverage,10,active,2,霍城薰衣草花田 -> 果子沟大桥,1.75,4.0,5.75,56.13,70.0,0.114,hard30_original_segments,0.0,0,赛里木湖,260.0,3.67,96.33,green,常规执行
