audit_id,artifact_path,artifact_type,current_status,can_use_in_report,notes
Q3-A1,00_原始题目与建模口径/旅游线路安排-图论.pdf,problem_statement,已整理,是,原始题面证据
Q3-A2,00_原始题目与建模口径/新疆旅游全品类数据明细.xlsx,raw_data,已整理,是,原始全品类数据
Q3-A3,01_输入数据/enhanced_data/cultural_tags.csv,input_data,已整理,是,第三问文化价值与主题标签核心输入
Q3-A4,01_输入数据/enhanced_data/special_access_constraints.csv,input_data,已整理,是,楼兰古城/尼雅遗址等特殊准入约束
Q3-A5,05_文化MinMax主模型/enhanced_model_outputs/problem3_minmax_summary.csv,main_result,已整理,是,当前第三问主解：三组文化考察MinMax均衡
Q3-A6,05_文化MinMax主模型/enhanced_model_outputs/problem3_minmax_detail.csv,main_result_detail,已整理,是,三组路线明细
Q3-A7,03_历史图论基线/graph_model_outputs/problem3_summary.csv,baseline_result,已整理,可作对比,早期图论闭包基线，不作为最终主解
Q3-A8,04_高德OD重实验/amap_selfdrive_model_outputs/problem3_amap_summary.csv,baseline_result,已整理,可作对比,使用高德驾车OD后的自驾/包车基线
Q3-A9,06_缓冲仿真与风险策略/policy_simulation_outputs/q3_project_buffer_curve.csv,simulation_result,已整理,是,项目层面缓冲天数-按时概率曲线
Q3-A10,06_缓冲仿真与风险策略/policy_simulation_outputs/q3_group_buffer_recommend.csv,simulation_result,已整理,是,单组层面90%可靠性缓冲建议
Q3-A11,06_缓冲仿真与风险策略/digital_twin_outputs/q3_fieldwork_policy.csv,robustness_result,已整理,是,不同暑期/极端情景下的政策成功率
Q3-A12,06_缓冲仿真与风险策略/risk_policy_outputs/q3_policy_selection.csv,policy_selection,已整理,是,不同风险画像下的第三问策略选择
Q3-A13,06_缓冲仿真与风险策略/humanized_scenario_outputs/q3_fairness.csv,fairness_audit,已整理,是,解释第三问为什么应按任务难度而非景点数量均衡
Q3-A14,07_图表/fig04_q3_buffer_curve.png,figure,已整理,是,第三问项目缓冲可靠性图
Q3-A15,08_报告与工作簿/新疆旅游论文建模章节草案.md,report_context,已整理,可引用,包含第三问建模章节草案
Q3-A16,10_Q3_V2_鲁棒三团队文化考察调度/outputs/q3_v2_assignment_routes.csv,v2_main_result,已实现,是,Q3-V2鲁棒三团队文化考察调度主结果
Q3-A17,10_Q3_V2_鲁棒三团队文化考察调度/outputs/q3_v2_exact_check.csv,v2_exact_check,已实现,是,固定特殊准入组政策下枚举分配+Held-Karp gap为0
Q3-A18,10_Q3_V2_鲁棒三团队文化考察调度/outputs/q3_v2_daily_fieldwork_schedule.csv,v2_schedule,已实现,是,三组日级文化考察任务表
Q3-A19,10_Q3_V2_鲁棒三团队文化考察调度/outputs/q3_v2_resource_usage_calendar.csv,v2_resource_calendar,已实现,是,持证向导/越野车/安全员/设备资源占用日历
Q3-A20,10_Q3_V2_鲁棒三团队文化考察调度/outputs/q3_v2_buffer_policy.csv,v2_robust_policy,已实现,是,route-specific仿真后的缓冲策略
