question,scenario_id,scenario_name,policy_id,policy_name,deadline_days,success_probability,mean_project_completion_days,p90_project_completion_days,p95_project_completion_days,mean_fairness_gap_days,expected_extra_cost_yuan,recommended_use
Q3,normal_summer,常规暑期,no_buffer,无缓冲,13,0.215,14.48,16.0,17.0,2.77,762.52,备选/不足
Q3,normal_summer,常规暑期,buffer_4d,4天项目缓冲,17,0.963,14.52,16.0,17.0,2.8,776.85,推荐
Q3,normal_summer,常规暑期,buffer_5d,5天项目缓冲,18,0.9795,14.49,16.0,17.0,2.74,770.48,推荐
Q3,normal_summer,常规暑期,preapproval_4d,前置审批+4天缓冲,17,0.9875,14.32,16.0,16.0,2.63,1888.36,推荐
Q3,normal_summer,常规暑期,split_team_4d,机动小组+4天缓冲,17,0.9848,14.18,16.0,16.0,2.57,3097.97,推荐
Q3,heatwave,热浪高温,no_buffer,无缓冲,13,0.0885,15.21,17.0,18.0,3.17,1148.52,备选/不足
Q3,heatwave,热浪高温,buffer_4d,4天项目缓冲,17,0.9285,15.18,17.0,18.0,3.12,1152.06,推荐
Q3,heatwave,热浪高温,buffer_5d,5天项目缓冲,18,0.9645,15.16,17.0,18.0,3.13,1134.71,推荐
Q3,heatwave,热浪高温,preapproval_4d,前置审批+4天缓冲,17,0.9553,14.97,17.0,17.0,2.95,2251.25,推荐
Q3,heatwave,热浪高温,split_team_4d,机动小组+4天缓冲,17,0.9635,14.71,16.0,17.0,2.88,3386.29,推荐
Q3,rain_flood_delay,雨洪道路延误,no_buffer,无缓冲,13,0.002,17.69,20.0,22.0,4.4,2571.72,备选/不足
Q3,rain_flood_delay,雨洪道路延误,buffer_4d,4天项目缓冲,17,0.5317,17.69,20.0,22.0,4.33,2591.77,备选/不足
Q3,rain_flood_delay,雨洪道路延误,buffer_5d,5天项目缓冲,18,0.698,17.69,20.0,21.05,4.37,2566.07,备选/不足
Q3,rain_flood_delay,雨洪道路延误,preapproval_4d,前置审批+4天缓冲,17,0.5945,17.28,20.0,21.0,4.04,3590.95,备选/不足
Q3,rain_flood_delay,雨洪道路延误,split_team_4d,机动小组+4天缓冲,17,0.7195,16.72,19.0,20.0,3.91,4507.01,备选/不足
Q3,reservation_tight,预约收紧,no_buffer,无缓冲,13,0.1175,15.14,17.0,19.0,3.17,1037.29,备选/不足
Q3,reservation_tight,预约收紧,buffer_4d,4天项目缓冲,17,0.9065,15.17,17.0,19.0,3.24,1041.02,备选/不足
Q3,reservation_tight,预约收紧,buffer_5d,5天项目缓冲,18,0.9363,15.19,17.0,19.0,3.21,1062.86,推荐
Q3,reservation_tight,预约收紧,preapproval_4d,前置审批+4天缓冲,17,0.9583,14.77,16.0,17.0,2.87,2074.88,推荐
Q3,reservation_tight,预约收紧,split_team_4d,机动小组+4天缓冲,17,0.9493,14.67,16.0,18.0,2.87,3292.46,推荐
Q3,peak_summer,暑期客流高峰,no_buffer,无缓冲,13,0.0435,15.77,18.0,19.0,3.44,1435.92,备选/不足
Q3,peak_summer,暑期客流高峰,buffer_4d,4天项目缓冲,17,0.8588,15.8,18.0,19.0,3.48,1444.6,备选/不足
Q3,peak_summer,暑期客流高峰,buffer_5d,5天项目缓冲,18,0.9185,15.88,18.0,20.0,3.55,1471.75,备选/不足
Q3,peak_summer,暑期客流高峰,preapproval_4d,前置审批+4天缓冲,17,0.913,15.46,17.0,18.0,3.21,2491.49,推荐
Q3,peak_summer,暑期客流高峰,split_team_4d,机动小组+4天缓冲,17,0.9297,15.16,17.0,18.0,3.1,3605.43,推荐
Q3,compound_extreme,复合极端冲击,no_buffer,无缓冲,13,0.0,19.98,24.0,25.0,5.55,3778.57,备选/不足
Q3,compound_extreme,复合极端冲击,buffer_4d,4天项目缓冲,17,0.1762,19.91,24.0,25.0,5.5,3755.16,备选/不足
Q3,compound_extreme,复合极端冲击,buffer_5d,5天项目缓冲,18,0.317,19.98,23.0,25.0,5.5,3806.67,备选/不足
Q3,compound_extreme,复合极端冲击,preapproval_4d,前置审批+4天缓冲,17,0.2135,19.4,22.0,24.0,5.12,4687.35,备选/不足
Q3,compound_extreme,复合极端冲击,split_team_4d,机动小组+4天缓冲,17,0.3837,18.45,21.0,23.0,4.73,5408.9,备选/不足
