persona_id,scenario_id,simulated_days_p50,simulated_days_p95,comfort_p05,comfort_p50,comfort_p95
explorer_dense,normal_summer,25.0,25.5,84.96,89.95,94.07
explorer_dense,heatwave,25.0,26.0,77.68,83.17,87.6
explorer_dense,rain_flood_delay,25.5,28.5,78.8,86.77,92.05
explorer_dense,reservation_tight,25.5,26.5,76.37,84.21,90.44
explorer_dense,peak_summer,25.5,27.5,76.75,83.63,89.2
explorer_dense,compound_extreme,27.5,31.5,60.23,71.26,79.75
standard_active,normal_summer,28.0,28.5,83.94,88.76,92.83
standard_active,heatwave,28.0,28.5,76.63,82.04,86.46
standard_active,rain_flood_delay,28.5,31.5,77.69,85.93,90.92
standard_active,reservation_tight,28.5,29.5,75.15,83.37,89.42
standard_active,peak_summer,28.5,30.0,75.36,82.58,88.13
standard_active,compound_extreme,30.5,34.5,59.37,70.53,78.67
family_comfort,normal_summer,30.0,30.5,81.31,86.32,90.4
family_comfort,heatwave,30.0,30.5,74.24,79.56,83.83
family_comfort,rain_flood_delay,30.5,33.5,74.79,83.67,88.55
family_comfort,reservation_tight,30.5,31.5,73.89,81.26,87.21
family_comfort,peak_summer,30.5,31.5,73.49,80.54,85.94
family_comfort,compound_extreme,32.0,36.5,57.61,68.99,76.97
senior_slow,normal_summer,23.0,23.5,78.4,82.93,86.93
senior_slow,heatwave,23.0,25.0,71.22,76.42,80.56
senior_slow,rain_flood_delay,24.5,28.0,70.94,79.27,84.68
senior_slow,reservation_tight,23.5,24.5,72.6,79.1,84.35
senior_slow,peak_summer,24.0,26.5,70.86,77.33,82.49
senior_slow,compound_extreme,26.5,30.5,56.27,66.8,74.08
