place_name,hub_id,hub_name,high_season_room_yuan_per_night,low_season_room_yuan_per_night,hotel_grade,price_basis
乌鲁木齐市,H001,乌鲁木齐市,150.0,100.0,经济型,room_per_night_for_two_people
伊宁市(伊犁),H004,伊宁市(伊犁),300.0,200.0,经济型,room_per_night_for_two_people
可可托海镇,,,220.0,160.0,经济型,room_per_night_for_two_people
吐鲁番市,H002,吐鲁番市,180.0,120.0,经济型,room_per_night_for_two_people
和田市,H023,和田市,160.0,110.0,经济型,room_per_night_for_two_people
喀什市,H005,喀什市,180.0,120.0,经济型,room_per_night_for_two_people
塔什库尔干县,H021,塔什库尔干县(帕米尔高原),200.0,140.0,经济型,room_per_night_for_two_people
天池风景区,H011,天池风景区,280.0,180.0,经济型,room_per_night_for_two_people
巴音布鲁克镇,H019,巴音布鲁克,230.0,160.0,经济型,room_per_night_for_two_people
库尔勒市,H007,库尔勒市,150.0,100.0,经济型,room_per_night_for_two_people
库车市,H020,库车市,170.0,120.0,经济型,room_per_night_for_two_people
昭苏县(夏塔古道),H018,昭苏县(夏塔古道),210.0,150.0,经济型,room_per_night_for_two_people
清水河镇(赛里木湖),,,200.0,150.0,经济型,room_per_night_for_two_people
特克斯县(八卦城),H017,特克斯县(八卦城),190.0,130.0,经济型,room_per_night_for_two_people
白哈巴村,,,320.0,200.0,经济型,room_per_night_for_two_people
禾木村,H013,禾木村,350.0,220.0,经济型,room_per_night_for_two_people
若羌县(楼兰),H008,若羌县(楼兰),190.0,130.0,经济型,room_per_night_for_two_people
那拉提镇,H009,那拉提镇,200.0,150.0,经济型,room_per_night_for_two_people
鄯善县(库木塔格沙漠),H015,鄯善县(库木塔格沙漠),160.0,110.0,经济型,room_per_night_for_two_people
