solution_id,spots_count,profit_score,total_hours,objective_cost_yuan,risk_score,route_sequence
NSGA_001,28,104.0,183.43,14824.46,3.431,千里葡萄长廊 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 喀纳斯湖 -> 白哈巴村 -> 禾木村 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_002,27,101.0,179.46,14638.7,3.363,千里葡萄长廊 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 喀纳斯湖 -> 白哈巴村 -> 禾木村 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_003,25,99.0,168.15,13845.44,3.009,石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 喀纳斯湖 -> 禾木村 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_004,23,96.0,151.37,12726.21,2.951,香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 白哈巴村 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_005,21,93.0,154.78,15254.21,2.814,天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 库车王府 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀纳斯湖 -> 喀什古城 -> 帕米尔高原白沙湖 -> 奥依塔克冰川
NSGA_006,23,92.0,158.26,12764.66,2.888,石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 禾木村 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_007,22,91.0,136.02,11693.76,2.559,香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_008,20,87.0,137.92,11833.1,2.531,香妃园 -> 喀什古城 -> 帕米尔高原白沙湖 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 五彩滩 -> 天山天池 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 火焰山 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城
NSGA_009,21,86.0,129.93,11127.91,2.488,香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 世界魔鬼城 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
NSGA_010,20,85.0,122.86,10506.7,2.304,香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 库车王府 -> 天山神秘大峡谷 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城
