label_id,from_id,to_id,raw_mode,normalized_mode,mode_combo,raw_cost_yuan_for_two,calibrated_cost_yuan_for_two,cost_delta,time_hours,cost_calibration_note,source,is_gateway_label
Q2L000001,P001,P001,same_spot,same_spot,same_spot,0.0,0.0,0.0,0.0,raw_cost_kept,zero_self_loop,False
Q2L000003,P001,P002,rental_car,rental_car,amap_selfdrive,93.7,93.7,0.0,2.131,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003161,P001,P003,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L003162,P001,P004,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L003163,P001,P005,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L003164,P001,P006,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000013,P001,P007,charter_car,charter_car,amap_selfdrive,764.05,764.05,0.0,14.842,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000012,P001,P007,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1130.75,1130.75,0.0,17.4,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000015,P001,P008,charter_car,charter_car,amap_selfdrive,323.25,323.25,0.0,6.21,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000017,P001,P009,charter_car,charter_car,amap_selfdrive,290.91,290.91,0.0,8.394,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000019,P001,P010,charter_car,charter_car,amap_selfdrive,412.43,412.43,0.0,11.271,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000018,P001,P010,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1635.5,1635.5,0.0,9.9,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L003165,P001,P011,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L003166,P001,P012,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L003167,P001,P013,rail,rail,local_transfer -> rail -> local_transfer,99.0,99.0,0.0,2.433,raw_cost_kept,rail_12306_model_options,False
Q2L000027,P001,P014,charter_car,charter_car,amap_selfdrive,357.18,357.18,0.0,7.202,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000029,P001,P015,charter_car,charter_car,amap_selfdrive,433.6,433.6,0.0,13.152,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000028,P001,P015,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1671.25,1671.25,0.0,12.4,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000031,P001,P016,charter_car,charter_car,amap_selfdrive,471.55,471.55,0.0,12.622,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000030,P001,P016,air,charter_car,scenic_shuttle -> self_drive -> transfer -> air -> transfer -> self_drive -> scenic_shuttle,1751.25,1751.25,0.0,10.9,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000033,P001,P017,charter_car,charter_car,amap_selfdrive,349.87,349.87,0.0,6.776,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L000035,P001,P018,charter_car,charter_car,amap_selfdrive,371.19,371.19,0.0,8.795,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003499,P001,P018,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000034,P001,P018,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,393.25,393.25,0.0,9.3,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000037,P001,P019,charter_car,charter_car,amap_selfdrive,368.66,368.66,0.0,8.413,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003500,P001,P019,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000036,P001,P019,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,393.25,393.25,0.0,9.3,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000039,P001,P020,charter_car,charter_car,amap_selfdrive,362.29,362.29,0.0,8.315,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003501,P001,P020,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000038,P001,P020,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,726.25,726.25,0.0,10.3,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000041,P001,P021,charter_car,rental_car,amap_selfdrive,255.82,255.82,0.0,5.226,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003502,P001,P021,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000043,P001,P022,charter_car,charter_car,amap_selfdrive,296.65,296.65,0.0,6.083,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003503,P001,P022,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
Q2L000042,P001,P022,self_drive,charter_car,scenic_shuttle -> self_drive -> self_drive -> scenic_shuttle,393.25,393.25,0.0,9.3,raw_cost_kept,enhanced_od_matrix_with_amap,False
Q2L000045,P001,P023,rental_car,rental_car,amap_selfdrive,259.67,259.67,0.0,4.878,raw_cost_kept,amap_driving_od_matrix_clean,False
Q2L003504,P001,P023,air,air,airport_transfer -> air -> airport_transfer,760.0,760.0,0.0,3.833,raw_cost_kept,air_public_schedule_seed,False
