route_id,day,step_no,to_name,spot_id,arrival_time,service_start_time,service_end_time,open_time,close_time,wait_hours,service_hours,daily_budget_feasible,time_window_feasible,feasibility_status,note
HYBRID_30D_ACO_ALNS_SA,1,1,达坂城古镇,P002,09:50,09:50,12:20,09:30,19:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,1,2,交河故城,P006,13:44,13:44,15:29,09:00,19:00,0.0,1.75,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,2,3,坎儿井民俗园,P005,08:48,08:48,10:18,08:30,19:00,0.0,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,2,4,苏公塔,P012,10:34,10:34,12:04,09:00,19:00,0.0,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,2,5,葡萄沟,P004,12:21,12:21,15:21,08:30,19:30,0.0,3.0,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,3,6,火焰山,P003,09:04,09:04,11:34,08:00,21:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,3,7,高昌故城,P011,11:54,11:54,14:24,09:00,19:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,4,8,吐峪沟麻扎村,P013,09:06,09:06,11:36,08:00,20:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,5,9,北庭故城遗址,P036,13:12,13:12,14:42,09:00,19:00,0.0,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,6,10,江布拉克草原,P035,09:50,09:50,13:20,08:00,19:00,0.0,3.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,7,11,天山天池,P001,10:27,10:27,15:27,08:00,19:00,0.0,5.0,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,9,13,赛里木湖,P008,08:30,08:30,14:30,08:00,22:00,0.0,6.0,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,10,14,霍城薰衣草花田,P014,09:39,09:39,12:09,08:00,20:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,10,15,果子沟大桥,P017,12:45,12:45,14:15,00:00,+1 00:00,0.0,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,11,16,喀拉峻大草原,P010,13:28,13:28,19:28,08:00,20:00,0.0,6.0,False,True,needs_adjustment,当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,12,17,夏塔古道,P016,11:56,11:56,16:56,09:00,20:00,0.0,5.0,False,True,needs_adjustment,当天活动超过8小时预算
HYBRID_30D_ACO_ALNS_SA,13,18,昭苏草原,P015,12:14,12:14,15:44,00:00,+1 00:00,0.0,3.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,15,20,那拉提草原,P009,08:30,08:30,14:30,08:30,20:00,0.0,6.0,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,17,22,博斯腾湖,P032,08:30,09:00,12:30,09:00,19:00,0.5,3.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,17,23,罗布人村寨,P034,13:48,13:48,16:18,09:00,19:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,19,25,巴音布鲁克草原,P033,08:30,09:00,15:00,09:00,19:45,0.5,6.0,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,20,26,天山神秘大峡谷,P029,11:53,11:53,15:23,08:00,17:00,0.0,3.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,21,27,库车王府,P030,09:48,09:48,11:18,09:00,19:00,0.0,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,21,28,克孜尔石窟,P031,12:34,12:34,15:04,09:30,19:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,23,30,艾提尕尔清真寺,P025,08:30,10:00,11:30,10:00,14:00,1.5,1.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,23,31,喀什古城,P024,11:39,11:39,15:09,10:00,19:00,0.0,3.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,24,32,奥依塔克冰川,P040,10:39,10:39,15:09,10:00,20:00,0.0,4.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,25,33,帕米尔高原白沙湖,P027,10:51,10:51,15:21,09:30,19:30,0.0,4.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,26,34,石头城遗址,P028,10:06,10:06,14:36,09:00,19:00,0.0,4.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,27,35,香妃园,P026,13:36,13:36,16:06,10:00,19:00,0.0,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,29,37,和田博物馆,P037,08:30,10:00,12:30,10:00,19:00,1.5,2.5,True,True,ok,
HYBRID_30D_ACO_ALNS_SA,29,38,千里葡萄长廊,P039,12:54,12:54,14:24,00:00,+1 00:00,0.0,1.5,True,True,ok,
