route_id,order,spot_id,spot_name,region_cluster,travel_from_previous_hours,distance_from_previous_km,service_hours_used,cumulative_hours,cumulative_day_equiv,requires_approval,requires_border_permit
P3_AMAP_Group_1,1,P002,达坂城古镇,乌鲁木齐周边,1.33,100.8,10.0,11.33,1.42,False,False
P3_AMAP_Group_1,2,P005,坎儿井民俗园,东疆,1.31,99.3,6.0,18.64,2.33,False,False
P3_AMAP_Group_1,3,P007,楼兰古城,巴州-南疆北线,15.18,1348.4,32.0,65.82,8.23,True,False
P3_AMAP_Group_1,4,P026,香妃园,南疆,0.28,5.0,10.0,76.1,9.51,False,False
P3_AMAP_Group_1,5,P034,罗布人村寨,巴州-南疆北线,12.1,1090.9,10.0,98.19,12.27,False,False
P3_AMAP_Group_1,6,END,返回乌鲁木齐,,5.06,407.9,0.0,103.25,12.91,,
P3_AMAP_Group_2,1,P013,吐峪沟麻扎村,东疆,2.86,253.1,10.0,12.86,1.61,False,False
P3_AMAP_Group_2,2,P012,苏公塔,东疆,0.85,47.7,6.0,19.71,2.46,False,False
P3_AMAP_Group_2,3,P030,库车王府,巴州-南疆北线,8.39,648.8,6.0,34.1,4.26,False,False
P3_AMAP_Group_2,4,P037,和田博物馆,南疆,8.42,651.2,10.0,52.52,6.56,False,False
P3_AMAP_Group_2,5,P038,尼雅遗址,南疆,5.08,370.9,32.0,89.59,11.2,True,False
P3_AMAP_Group_2,6,END,返回乌鲁木齐,,12.57,973.5,0.0,102.17,12.77,,
P3_AMAP_Group_3,1,P036,北庭故城遗址,乌鲁木齐周边,2.0,169.6,6.0,8.0,1.0,False,False
P3_AMAP_Group_3,2,P011,高昌故城,东疆,4.97,369.6,10.0,22.97,2.87,False,False
P3_AMAP_Group_3,3,P006,交河故城,东疆,1.23,47.4,7.0,31.2,3.9,False,False
P3_AMAP_Group_3,4,P028,石头城遗址,南疆,19.55,1645.8,10.0,60.75,7.59,False,True
P3_AMAP_Group_3,5,P025,艾提尕尔清真寺,南疆,4.92,281.3,6.0,71.67,8.96,False,False
P3_AMAP_Group_3,6,P024,喀什古城,南疆,0.15,2.2,14.0,85.82,10.73,False,False
P3_AMAP_Group_3,7,P031,克孜尔石窟,巴州-南疆北线,7.63,698.2,10.0,103.45,12.93,False,False
P3_AMAP_Group_3,8,END,返回乌鲁木齐,,7.85,672.0,0.0,111.3,13.91,,
