selection_order,route_id,route_theme,seed_column_id,seed_route_theme,product_type,target_segment,days,active_spot_days,buffer_days,spots_count,region_set,route_capacity_persons_12day,balanced_optimized_visitors,balanced_utilization,attraction_score,comfort_score,low_pressure_score,diversity_score,avg_interspot_travel_hours_proxy,route_sequence,generation_note
1.0,Q4V2_R030,Bazhou_Desert_family_comfort,COL005,Bazhou_Desert,family_comfort,亲子舒适,12,8,4,8,巴州-南疆北线;乌鲁木齐周边;东疆,6850,6708,0.9793,45.572,98.0,30.45,75.75,3.521,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 天山天池 -> 吐峪沟麻扎村,减少长转场与高强度景点，增加缓冲日
2.0,Q4V2_R063,Border_Pamir_premium_reserve,COL009,Border_Pamir,premium_reserve,精品预约,12,8,4,8,南疆;巴州-南疆北线;乌鲁木齐周边;东疆;伊犁,3210,3210,1.0,52.311,65.269,42.631,93.75,5.279,石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 喀什古城 -> 罗布人村寨 -> 天山天池 -> 吐峪沟麻扎村 -> 霍城薰衣草花田,小团预约制，承载低但满意度和可控性高
3.0,Q4V2_R018,East_Heritage_low_pressure,COL003,East_Heritage,decongested_route,错峰分流,12,9,3,9,乌鲁木齐周边;东疆;巴州-南疆北线,10240,7477,0.7301,59.198,98.0,29.314,67.889,1.367,达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 罗布人村寨,优先选高承载、低热点替代点，承担拥挤分流
4.0,Q4V2_R039,Hotan_Plus_low_pressure,COL006,Hotan_Plus,decongested_route,错峰分流,12,9,3,9,南疆;巴州-南疆北线;东疆,6390,5362,0.8391,51.788,75.507,32.586,67.889,3.665,喀什古城 -> 奥依塔克冰川 -> 和田博物馆 -> 千里葡萄长廊 -> 罗布人村寨 -> 交河故城 -> 苏公塔 -> 高昌故城 -> 吐峪沟麻扎村,优先选高承载、低热点替代点，承担拥挤分流
5.0,Q4V2_R011,Ili_Lake_Grass_low_pressure,COL002,Ili_Lake_Grass,decongested_route,错峰分流,12,9,3,9,巴州-南疆北线;伊犁;乌鲁木齐周边;东疆,11710,6933,0.5921,47.6,89.957,33.626,65.778,3.342,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 天山天池 -> 火焰山 -> 吐峪沟麻扎村,优先选高承载、低热点替代点，承担拥挤分流
6.0,Q4V2_R005,North_Kanas_culture_deep,COL001,North_Kanas,culture_deep,文化深游,12,9,3,9,乌鲁木齐周边;东疆;巴州-南疆北线;北疆,5190,5190,1.0,48.094,81.65,34.933,85.222,3.851,天山天池 -> 北庭故城遗址 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 罗布人村寨 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖,增强丝路、民俗、考古文化主题
7.0,Q4V2_R046,Short_Urumqi_East_low_pressure,COL007,Short_Urumqi_East,decongested_route,错峰分流,12,9,3,9,乌鲁木齐周边;东疆;巴州-南疆北线;伊犁;南疆,13660,8287,0.6067,58.868,73.314,44.372,94.222,5.06,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 罗布人村寨 -> 赛里木湖 -> 果子沟大桥 -> 喀什古城,优先选高承载、低热点替代点，承担拥挤分流
8.0,Q4V2_R053,SilkRoad_Deep_low_pressure,COL008,SilkRoad_Deep,decongested_route,错峰分流,12,9,3,9,东疆;乌鲁木齐周边;伊犁;巴州-南疆北线;南疆,6830,6830,1.0,61.371,79.074,44.326,85.889,3.86,吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 交河故城 -> 天山天池 -> 赛里木湖 -> 库车王府 -> 克孜尔石窟 -> 喀什古城,优先选高承载、低热点替代点，承担拥挤分流
9.0,Q4V2_R024,South_Culture_senior_slow,COL004,South_Culture,senior_slow,长者慢游,12,8,4,8,南疆;巴州-南疆北线,2000,2000,1.0,36.934,98.0,25.632,60.5,2.167,石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷,低海拔、低转场、低红日的慢节奏产品
10.0,Q4V2_R043,Short_Urumqi_East_balanced_mass,COL007,Short_Urumqi_East,capacity_balanced,大众均衡,12,10,2,10,乌鲁木齐周边;东疆,16320,7169,0.4393,56.015,97.575,23.417,62.0,1.075,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,保留原线路主题，扩展为12天中等强度产品
11.0,Q4V2_R048,Short_Urumqi_East_nature_flagship,COL007,Short_Urumqi_East,nature_flagship,自然风景,12,9,3,9,乌鲁木齐周边;东疆;伊犁,11830,7029,0.5942,53.207,91.148,29.877,70.667,2.303,天山天池 -> 江布拉克草原 -> 达坂城古镇 -> 葡萄沟 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村 -> 赛里木湖 -> 果子沟大桥,增强湖泊、草原、峡谷、冰川等自然体验
12.0,Q4V2_R015,East_Heritage_balanced_mass,COL003,East_Heritage,capacity_balanced,大众均衡,12,10,2,10,乌鲁木齐周边;东疆,12240,6501,0.5311,55.478,97.43,23.156,57.0,1.106,达坂城古镇 -> 天山天池 -> 北庭故城遗址 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,保留原线路主题，扩展为12天中等强度产品
13.0,Q4V2_R029,Bazhou_Desert_balanced_mass,COL005,Bazhou_Desert,capacity_balanced,大众均衡,12,10,2,10,巴州-南疆北线;伊犁;乌鲁木齐周边;东疆,11550,6150,0.5324,45.772,79.456,33.639,70.0,3.257,罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 天山天池 -> 吐峪沟麻扎村,保留原线路主题，扩展为12天中等强度产品
14.0,Q4V2_R051,SilkRoad_Deep_family_comfort,COL008,SilkRoad_Deep,family_comfort,亲子舒适,12,8,4,8,东疆;巴州-南疆北线;南疆,5710,5710,1.0,55.434,98.0,35.832,60.125,2.727,吐峪沟麻扎村 -> 高昌故城 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 库车王府 -> 克孜尔石窟 -> 喀什古城,减少长转场与高强度景点，增加缓冲日
15.0,Q4V2_R008,Ili_Lake_Grass_balanced_mass,COL002,Ili_Lake_Grass,capacity_balanced,大众均衡,12,10,2,10,巴州-南疆北线;伊犁;东疆,13990,4688,0.3351,43.147,69.342,28.1,56.0,4.577,巴音布鲁克草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 喀拉峻大草原 -> 昭苏草原 -> 天山神秘大峡谷 -> 罗布人村寨 -> 吐峪沟麻扎村,保留原线路主题，扩展为12天中等强度产品
16.0,Q4V2_R045,Short_Urumqi_East_senior_slow,COL007,Short_Urumqi_East,senior_slow,长者慢游,12,7,5,7,乌鲁木齐周边;东疆,9180,7169,0.7809,57.817,98.0,25.388,69.429,0.885,天山天池 -> 达坂城古镇 -> 葡萄沟 -> 坎儿井民俗园 -> 交河故城 -> 火焰山 -> 吐峪沟麻扎村,低海拔、低转场、低红日的慢节奏产品
17.0,Q4V2_R041,Hotan_Plus_nature_flagship,COL006,Hotan_Plus,nature_flagship,自然风景,12,9,3,9,南疆;巴州-南疆北线;乌鲁木齐周边;东疆;伊犁,5400,5148,0.9533,48.992,56.382,41.234,91.444,5.348,喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 千里葡萄长廊 -> 罗布人村寨 -> 天山天池 -> 吐峪沟麻扎村 -> 赛里木湖,增强湖泊、草原、峡谷、冰川等自然体验
18.0,Q4V2_R006,North_Kanas_nature_flagship,COL001,North_Kanas,nature_flagship,自然风景,12,9,3,9,乌鲁木齐周边;东疆;北疆;伊犁,7890,4798,0.6081,35.865,69.797,35.171,69.333,5.186,天山天池 -> 江布拉克草原 -> 吐峪沟麻扎村 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 可可托海 -> 赛里木湖,增强湖泊、草原、峡谷、冰川等自然体验
