route_id,day,issue_type,issue_value,recommended_action,target_segment,expected_effect,action_status,rationale
PCOP_MILP,14,daily_active_budget_overrun,9.6,move_previous_evening_or_relax_budget,喀什古城 -> 石头城遗址,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_MILP,19,daily_active_budget_overrun,8.41,insert_time_expanded_rail_or_air,和田博物馆 -> 库车王府所在区域,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,跨区转移超过8小时，应优先用夜间火车/航班真实班次替换，或拆成中停过夜。
PCOP_MILP,21,daily_active_budget_overrun,12.39,insert_time_expanded_rail_or_air,库车王府 -> 昭苏草原所在区域,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,跨区转移超过8小时，应优先用夜间火车/航班真实班次替换，或拆成中停过夜。
PCOP_MILP,23,daily_active_budget_overrun,10.17,move_previous_evening_or_relax_budget,昭苏草原 -> 喀拉峻大草原,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_MILP,24,daily_active_budget_overrun,11.0,move_previous_evening_or_relax_budget,喀拉峻大草原 -> 那拉提草原,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_ALNS,13,daily_active_budget_overrun,9.43,move_previous_evening_or_relax_budget,天山神秘大峡谷 -> 巴音布鲁克草原,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_ALNS,14,daily_active_budget_overrun,8.27,move_previous_evening_or_relax_budget,巴音布鲁克草原 -> 那拉提草原,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_ALNS,17,daily_active_budget_overrun,8.72,move_previous_evening_or_relax_budget,昭苏草原 -> 夏塔古道,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_ALNS,18,daily_active_budget_overrun,9.37,move_previous_evening_or_relax_budget,夏塔古道 -> 喀拉峻大草原,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,交通+游览略超8小时，可前一晚靠近目的地住宿，或将该日定义为9-10小时高强度日。
PCOP_ALNS,25,daily_active_budget_overrun,12.3,split_long_visit_over_two_days,五彩滩 -> 禾木村,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,单景区游览时间过长，应拆成两天或降低游览时长参数。
PCOP_ALNS,30,daily_active_budget_overrun,12.8,insert_time_expanded_rail_or_air,可可托海 -> 和田博物馆所在区域,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,跨区转移超过8小时，应优先用夜间火车/航班真实班次替换，或拆成中停过夜。
PCOP_ALNS,32,daily_active_budget_overrun,9.79,insert_time_expanded_rail_or_air,千里葡萄长廊 -> 石头城遗址所在区域,减少或解释超过8小时的日程压力,requires_real_schedule_or_preference,跨区转移超过8小时，应优先用夜间火车/航班真实班次替换，或拆成中停过夜。
