policy_id,policy_note,coverage_mode,coverage_threshold_q,status,route_id,spots_count,total_cost_yuan_excluding_meals,transport_cost_yuan_for_two,ticket_cost_yuan_for_two,rough_hotel_cost_yuan,planned_trip_days,buffer_days,red_days,operational_success_probability,strict_comfort_success_probability,mean_comfort_score,p10_comfort_score,route_sequence
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,exact_q,20,selected,Q1V3_Q20_012,20.0,8055.84,2475.84,2196.0,3384.0,30.0,9.0,1.0,0.95,0.428,89.842,77.84,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,at_least_q,20,selected,Q1V3_Q20_012,20.0,8055.84,2475.84,2196.0,3384.0,30.0,9.0,1.0,0.95,0.428,89.842,77.84,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,exact_q,22,selected,Q1V3_Q22_070,22.0,8580.51,2774.91,2196.0,3609.6,30.0,7.0,1.0,0.918,0.362,88.833,78.324,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,at_least_q,22,selected,Q1V3_Q22_070,22.0,8580.51,2774.91,2196.0,3609.6,30.0,7.0,1.0,0.918,0.362,88.833,78.324,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,exact_q,24,selected,Q1V3_Q24_124,24.0,9620.98,2924.18,2636.0,4060.8,30.0,5.0,2.0,0.94,0.0,88.11,76.736,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,at_least_q,24,selected,Q1V3_Q24_124,24.0,9620.98,2924.18,2636.0,4060.8,30.0,5.0,2.0,0.94,0.0,88.11,76.736,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,exact_q,26,selected,Q1V3_Q26_215,26.0,10557.6,3269.6,2776.0,4512.0,30.0,2.0,4.0,0.862,0.0,87.522,70.331,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,at_least_q,26,selected,Q1V3_Q26_215,26.0,10557.6,3269.6,2776.0,4512.0,30.0,2.0,4.0,0.862,0.0,87.522,70.331,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 和田博物馆 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,exact_q,28,selected,Q1V3_Q28_269,28.0,13022.84,5333.24,2952.0,4737.6,30.0,1.0,4.0,0.72,0.0,87.556,69.704,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址
topic_executable_min_cost,题面可执行：30天、严格排程、0时间窗违规、普通游客路线；每个覆盖数下费用最低,at_least_q,28,selected,Q1V3_Q28_269,28.0,13022.84,5333.24,2952.0,4737.6,30.0,1.0,4.0,0.72,0.0,87.556,69.704,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 交河故城 -> 坎儿井民俗园 -> 达坂城古镇 -> 果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 罗布人村寨 -> 克孜尔石窟 -> 库车王府 -> 和田博物馆 -> 香妃园 -> 喀什古城 -> 艾提尕尔清真寺 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址
