edge_id,from_hub_id,from_hub_name,to_hub_id,to_hub_name,mode,distance_km,time_hours,avg_speed_kmh,route_note,directionality_assumption,is_seasonal_sensitive,touches_external_node
E001,H001,乌鲁木齐市,H002,吐鲁番市,self_drive_road,180.0,2.5,72.0,G30连霍高速,two_way_from_undirected_source,False,False
E002,H002,吐鲁番市,H001,乌鲁木齐市,self_drive_road,180.0,2.5,72.0,G30连霍高速,two_way_from_undirected_source,False,False
E003,H001,乌鲁木齐市,H003,达坂城镇,self_drive_road,100.0,1.5,66.66666666666667,G30连霍高速,two_way_from_undirected_source,False,False
E004,H003,达坂城镇,H001,乌鲁木齐市,self_drive_road,100.0,1.5,66.66666666666667,G30连霍高速,two_way_from_undirected_source,False,False
E005,H001,乌鲁木齐市,H004,伊宁市(伊犁),self_drive_road,690.0,7.0,98.57142857142857,连霍高速+清伊高速,two_way_from_undirected_source,False,False
E006,H004,伊宁市(伊犁),H001,乌鲁木齐市,self_drive_road,690.0,7.0,98.57142857142857,连霍高速+清伊高速,two_way_from_undirected_source,False,False
E007,H001,乌鲁木齐市,H005,喀什市,self_drive_road,1465.0,18.0,81.38888888888889,连霍高速+吐和高速,two_way_from_undirected_source,False,False
E008,H005,喀什市,H001,乌鲁木齐市,self_drive_road,1465.0,18.0,81.38888888888889,连霍高速+吐和高速,two_way_from_undirected_source,False,False
E009,H001,乌鲁木齐市,H006,阿勒泰市,self_drive_road,500.0,6.0,83.33333333333333,连霍高速+奎阿高速,two_way_from_undirected_source,False,False
E010,H006,阿勒泰市,H001,乌鲁木齐市,self_drive_road,500.0,6.0,83.33333333333333,连霍高速+奎阿高速,two_way_from_undirected_source,False,False
E011,H001,乌鲁木齐市,H007,库尔勒市,self_drive_road,471.0,6.0,78.5,连霍高速+吐和高速,two_way_from_undirected_source,False,False
E012,H007,库尔勒市,H001,乌鲁木齐市,self_drive_road,471.0,6.0,78.5,连霍高速+吐和高速,two_way_from_undirected_source,False,False
E013,H002,吐鲁番市,H007,库尔勒市,self_drive_road,370.0,4.5,82.22222222222223,吐和高速,two_way_from_undirected_source,False,False
E014,H007,库尔勒市,H002,吐鲁番市,self_drive_road,370.0,4.5,82.22222222222223,吐和高速,two_way_from_undirected_source,False,False
E015,H007,库尔勒市,H008,若羌县(楼兰),self_drive_road,470.0,6.0,78.33333333333333,G218国道,two_way_from_undirected_source,False,False
E016,H008,若羌县(楼兰),H007,库尔勒市,self_drive_road,470.0,6.0,78.33333333333333,G218国道,two_way_from_undirected_source,False,False
E017,H004,伊宁市(伊犁),H009,那拉提镇,self_drive_road,250.0,3.0,83.33333333333333,G218国道,two_way_from_undirected_source,False,False
E018,H009,那拉提镇,H004,伊宁市(伊犁),self_drive_road,250.0,3.0,83.33333333333333,G218国道,two_way_from_undirected_source,False,False
E019,H004,伊宁市(伊犁),H010,赛里木湖,self_drive_road,150.0,2.0,75.0,连霍高速,two_way_from_undirected_source,False,False
E020,H010,赛里木湖,H004,伊宁市(伊犁),self_drive_road,150.0,2.0,75.0,连霍高速,two_way_from_undirected_source,False,False
E021,H001,乌鲁木齐市,H011,天池风景区,self_drive_road,95.0,1.5,63.333333333333336,吐乌大高速+S111线,two_way_from_undirected_source,False,False
E022,H011,天池风景区,H001,乌鲁木齐市,self_drive_road,95.0,1.5,63.333333333333336,吐乌大高速+S111线,two_way_from_undirected_source,False,False
E023,H001,乌鲁木齐市,H012,可可托海,self_drive_road,530.0,6.5,81.53846153846153,连霍高速+奎阿高速+S226线,two_way_from_undirected_source,False,False
E024,H012,可可托海,H001,乌鲁木齐市,self_drive_road,530.0,6.5,81.53846153846153,连霍高速+奎阿高速+S226线,two_way_from_undirected_source,False,False
E025,H001,乌鲁木齐市,H013,禾木村,self_drive_road,620.0,7.5,82.66666666666667,连霍高速+奎阿高速+S232线,two_way_from_undirected_source,False,False
E026,H013,禾木村,H001,乌鲁木齐市,self_drive_road,620.0,7.5,82.66666666666667,连霍高速+奎阿高速+S232线,two_way_from_undirected_source,False,False
E027,H001,乌鲁木齐市,H014,白哈巴,self_drive_road,680.0,8.5,80.0,连霍高速+奎阿高速+S229线,two_way_from_undirected_source,False,False
E028,H014,白哈巴,H001,乌鲁木齐市,self_drive_road,680.0,8.5,80.0,连霍高速+奎阿高速+S229线,two_way_from_undirected_source,False,False
E029,H002,吐鲁番市,H003,达坂城镇,self_drive_road,120.0,1.8,66.66666666666667,G30连霍高速,two_way_from_undirected_source,False,False
