hub_name,node_id,is_hotel_hub,default_room_price_yuan_per_night,hotel_capacity_rooms_simulated,source_type
乌鲁木齐市,HUB::乌鲁木齐市,True,150.0,80,local_hotel_price_plus_simulated_rooms
吐鲁番市,HUB::吐鲁番市,True,180.0,80,local_hotel_price_plus_simulated_rooms
达坂城镇,HUB::达坂城镇,False,260.0,20,simulated_limited_lodging
伊宁市(伊犁),HUB::伊宁市(伊犁),True,300.0,80,local_hotel_price_plus_simulated_rooms
喀什市,HUB::喀什市,True,180.0,80,local_hotel_price_plus_simulated_rooms
阿勒泰市,HUB::阿勒泰市,False,260.0,20,simulated_limited_lodging
库尔勒市,HUB::库尔勒市,True,150.0,80,local_hotel_price_plus_simulated_rooms
若羌县(楼兰),HUB::若羌县(楼兰),True,190.0,80,local_hotel_price_plus_simulated_rooms
那拉提镇,HUB::那拉提镇,True,200.0,80,local_hotel_price_plus_simulated_rooms
赛里木湖,HUB::赛里木湖,True,260.0,80,local_hotel_price_plus_simulated_rooms
天池风景区,HUB::天池风景区,True,280.0,80,local_hotel_price_plus_simulated_rooms
可可托海,HUB::可可托海,True,260.0,80,local_hotel_price_plus_simulated_rooms
禾木村,HUB::禾木村,True,350.0,80,local_hotel_price_plus_simulated_rooms
白哈巴,HUB::白哈巴,True,260.0,80,local_hotel_price_plus_simulated_rooms
鄯善县(库木塔格沙漠),HUB::鄯善县(库木塔格沙漠),True,160.0,80,local_hotel_price_plus_simulated_rooms
霍城县(惠远古城),HUB::霍城县(惠远古城),False,260.0,20,simulated_limited_lodging
特克斯县(八卦城),HUB::特克斯县(八卦城),True,190.0,80,local_hotel_price_plus_simulated_rooms
昭苏县(夏塔古道),HUB::昭苏县(夏塔古道),True,210.0,80,local_hotel_price_plus_simulated_rooms
巴音布鲁克,HUB::巴音布鲁克,True,230.0,80,local_hotel_price_plus_simulated_rooms
库车市,HUB::库车市,True,170.0,80,local_hotel_price_plus_simulated_rooms
塔什库尔干县(帕米尔高原),HUB::塔什库尔干县(帕米尔高原),True,200.0,80,local_hotel_price_plus_simulated_rooms
莎车县,HUB::莎车县,False,260.0,20,simulated_limited_lodging
和田市,HUB::和田市,True,160.0,80,local_hotel_price_plus_simulated_rooms
民丰县(尼雅遗址),HUB::民丰县(尼雅遗址),False,260.0,20,simulated_limited_lodging
茫崖市,HUB::茫崖市,False,260.0,20,simulated_limited_lodging
