question,profile_id,profile_name,persona_id,persona_name,policy_id,policy_name,expected_loss,tail_loss_cvar75,risk_adjusted_objective,min_success_probability,weighted_success_probability,weighted_red_risk,coverage_loss_spots,cost_penalty_yuan,is_selected
Q1,balanced,均衡稳健型,explorer_dense,探索紧凑型30天改造,as_planned,按原画像路线执行,1007.1,3006.24,2359.9,0.1988,0.8547,0.1365,0,0,True
Q1,balanced,均衡稳健型,explorer_dense,探索紧凑型30天改造,buffer_light,预留1-2天机动缓冲,1522.89,3247.74,2984.37,0.2869,0.8707,0.1146,0,650,False
Q1,balanced,均衡稳健型,explorer_dense,探索紧凑型30天改造,drop_low_value,删减低收益点并错峰预约,2075.14,3519.25,3658.8,0.3831,0.888,0.0928,2,300,False
Q1,balanced,均衡稳健型,explorer_dense,探索紧凑型30天改造,split_slow_trip,拆成两段慢游,2312.12,3308.42,3800.9,0.5593,0.9196,0.0614,0,1800,False
Q1,balanced,均衡稳健型,family_comfort,亲子舒适型30天改造,split_slow_trip,拆成两段慢游,3802.89,4929.9,6021.34,0.4596,0.6863,0.2565,0,1800,True
Q1,balanced,均衡稳健型,family_comfort,亲子舒适型30天改造,as_planned,按原画像路线执行,3970.8,6193.69,6757.96,0.0175,0.4296,0.57,0,0,False
Q1,balanced,均衡稳健型,family_comfort,亲子舒适型30天改造,drop_low_value,删减低收益点并错峰预约,4207.91,5822.23,6827.91,0.2435,0.5608,0.3876,2,300,False
Q1,balanced,均衡稳健型,family_comfort,亲子舒适型30天改造,buffer_light,预留1-2天机动缓冲,4120.48,6295.63,6953.51,0.0675,0.4796,0.49,0,650,False
Q1,balanced,均衡稳健型,senior_slow,长者慢游型30天改造,as_planned,按原画像路线执行,1408.74,3059.74,2785.62,0.03,0.8017,0.0797,0,0,True
Q1,balanced,均衡稳健型,senior_slow,长者慢游型30天改造,buffer_light,预留1-2天机动缓冲,1733.06,3148.3,3149.8,0.1367,0.8235,0.067,0,650,False
Q1,balanced,均衡稳健型,senior_slow,长者慢游型30天改造,drop_low_value,删减低收益点并错峰预约,2200.03,3316.31,3692.37,0.2531,0.8473,0.0542,2,300,False
Q1,balanced,均衡稳健型,senior_slow,长者慢游型30天改造,split_slow_trip,拆成两段慢游,2407.36,3191.98,3843.75,0.4665,0.8908,0.0359,0,1800,False
Q1,balanced,均衡稳健型,standard_active,普通体力型30天主线,as_planned,按原画像路线执行,1214.19,3117.55,2617.09,0.1482,0.8265,0.1703,0,0,True
Q1,balanced,均衡稳健型,standard_active,普通体力型30天主线,buffer_light,预留1-2天机动缓冲,1701.79,3345.63,3207.32,0.2419,0.8456,0.1431,0,650,False
Q1,balanced,均衡稳健型,standard_active,普通体力型30天主线,drop_low_value,删减低收益点并错峰预约,2226.25,3603.64,3847.89,0.3441,0.8664,0.1158,2,300,False
Q1,balanced,均衡稳健型,standard_active,普通体力型30天主线,split_slow_trip,拆成两段慢游,2416.41,3370.65,3933.2,0.5315,0.9046,0.0766,0,1800,False
Q1,conservative,保守可靠型,explorer_dense,探索紧凑型30天改造,as_planned,按原画像路线执行,1798.97,5390.96,6381.28,0.1988,0.8128,0.1737,0,0,True
Q1,conservative,保守可靠型,explorer_dense,探索紧凑型30天改造,split_slow_trip,拆成两段慢游,2725.51,4539.93,6584.46,0.5593,0.8967,0.0781,0,1800,False
Q1,conservative,保守可靠型,explorer_dense,探索紧凑型30天改造,buffer_light,预留1-2天机动缓冲,2215.19,5324.7,6741.18,0.2869,0.8334,0.1459,0,650,False
Q1,conservative,保守可靠型,explorer_dense,探索紧凑型30天改造,drop_low_value,删减低收益点并错峰预约,2663.7,5278.37,7150.32,0.3831,0.8558,0.1181,2,300,False
Q1,conservative,保守可靠型,family_comfort,亲子舒适型30天改造,split_slow_trip,拆成两段慢游,4869.93,6457.08,10358.45,0.4596,0.6572,0.2803,0,1800,True
Q1,conservative,保守可靠型,family_comfort,亲子舒适型30天改造,drop_low_value,删减低收益点并错峰预约,5708.67,7969.62,12482.85,0.2435,0.5201,0.4236,2,300,False
Q1,conservative,保守可靠型,family_comfort,亲子舒适型30天改造,buffer_light,预留1-2天机动缓冲,5958.47,8972.51,13585.1,0.0675,0.4267,0.5429,0,650,False
Q1,conservative,保守可靠型,family_comfort,亲子舒适型30天改造,as_planned,按原画像路线执行,5948.04,9019.51,13614.63,0.0175,0.3767,0.6229,0,0,False
Q1,conservative,保守可靠型,senior_slow,长者慢游型30天改造,split_slow_trip,拆成两段慢游,2970.16,4615.02,6892.92,0.4665,0.8603,0.0537,0,1800,True
Q1,conservative,保守可靠型,senior_slow,长者慢游型30天改造,as_planned,按原画像路线执行,2470.79,5640.36,7265.09,0.03,0.7461,0.1194,0,0,False
Q1,conservative,保守可靠型,senior_slow,长者慢游型30天改造,buffer_light,预留1-2天机动缓冲,2655.38,5452.83,7290.28,0.1367,0.7741,0.1003,0,650,False
Q1,conservative,保守可靠型,senior_slow,长者慢游型30天改造,drop_low_value,删减低收益点并错峰预约,2989.36,5312.08,7504.62,0.2531,0.8045,0.0812,2,300,False
Q1,conservative,保守可靠型,standard_active,普通体力型30天主线,split_slow_trip,拆成两段慢游,2914.04,4651.96,6868.21,0.5315,0.877,0.0982,0,1800,True
Q1,conservative,保守可靠型,standard_active,普通体力型30天主线,as_planned,按原画像路线执行,2161.07,5586.52,6909.61,0.1482,0.7764,0.2184,0,0,False
Q1,conservative,保守可靠型,standard_active,普通体力型30天主线,buffer_light,预留1-2天机动缓冲,2531.17,5497.75,7204.26,0.2419,0.801,0.1834,0,650,False
