hub_id,hub_name,hub_cluster,is_road_node,is_external_exit,model_role
H001,乌鲁木齐市,乌鲁木齐周边,True,False,transport_hub
H002,吐鲁番市,东疆,True,False,transport_hub
H003,达坂城镇,乌鲁木齐周边,True,False,transport_hub
H004,伊宁市(伊犁),伊犁,True,False,transport_hub
H005,喀什市,南疆,True,False,transport_hub
H006,阿勒泰市,北疆,True,False,transport_hub
H007,库尔勒市,巴州-南疆北线,True,False,transport_hub
H008,若羌县(楼兰),巴州-南疆北线,True,False,transport_hub
H009,那拉提镇,伊犁,True,False,transport_hub
H010,赛里木湖,伊犁,True,False,transport_hub
H011,天池风景区,乌鲁木齐周边,True,False,transport_hub
H012,可可托海,北疆,True,False,transport_hub
H013,禾木村,北疆,True,False,transport_hub
H014,白哈巴,北疆,True,False,transport_hub
H015,鄯善县(库木塔格沙漠),东疆,True,False,transport_hub
H016,霍城县(惠远古城),伊犁,True,False,transport_hub
H017,特克斯县(八卦城),伊犁,True,False,transport_hub
H018,昭苏县(夏塔古道),伊犁,True,False,transport_hub
H019,巴音布鲁克,巴州-南疆北线,True,False,transport_hub
H020,库车市,巴州-南疆北线,True,False,transport_hub
H021,塔什库尔干县(帕米尔高原),南疆,True,False,transport_hub
H022,莎车县,南疆,True,False,transport_hub
H023,和田市,南疆,True,False,transport_hub
H024,民丰县(尼雅遗址),南疆,True,False,transport_hub
H025,茫崖市,外部出口,True,True,external_exit
