question,persona_id,persona_name,scenario_id,scenario_name,policy_id,policy_name,adjusted_success_probability,adjusted_red_risk_probability,adjusted_mean_comfort,cost_penalty_yuan,coverage_loss_spots,feasible_note
Q1,explorer_dense,探索紧凑型30天改造,normal_summer,常规暑期,as_planned,按原画像路线执行,0.994,0.005,89.74,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,normal_summer,常规暑期,buffer_light,预留1-2天机动缓冲,0.9947,0.0042,92.74,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,normal_summer,常规暑期,drop_low_value,删减低收益点并错峰预约,0.995,0.0034,95.24,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,normal_summer,常规暑期,split_slow_trip,拆成两段慢游,0.995,0.0022,97.74,1800,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,heatwave,热浪高温,as_planned,按原画像路线执行,0.9755,0.016,82.91,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,heatwave,热浪高温,buffer_light,预留1-2天机动缓冲,0.9782,0.0134,85.91,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,heatwave,热浪高温,drop_low_value,删减低收益点并错峰预约,0.9811,0.0109,88.41,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,heatwave,热浪高温,split_slow_trip,拆成两段慢游,0.9865,0.0072,90.91,1800,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,rain_flood_delay,雨洪道路延误,as_planned,按原画像路线执行,0.9503,0.0398,86.32,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,rain_flood_delay,雨洪道路延误,buffer_light,预留1-2天机动缓冲,0.9558,0.0334,89.32,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,rain_flood_delay,雨洪道路延误,drop_low_value,删减低收益点并错峰预约,0.9617,0.0271,91.82,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,rain_flood_delay,雨洪道路延误,split_slow_trip,拆成两段慢游,0.9727,0.0179,94.32,1800,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,reservation_tight,预约收紧,as_planned,按原画像路线执行,0.6205,0.378,83.98,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,reservation_tight,预约收紧,buffer_light,预留1-2天机动缓冲,0.6622,0.3175,86.98,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,reservation_tight,预约收紧,drop_low_value,删减低收益点并错峰预约,0.7078,0.257,89.48,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,reservation_tight,预约收紧,split_slow_trip,拆成两段慢游,0.7913,0.1701,91.98,1800,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,peak_summer,暑期客流高峰,as_planned,按原画像路线执行,0.8233,0.1708,83.39,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,peak_summer,暑期客流高峰,buffer_light,预留1-2天机动缓冲,0.8427,0.1435,86.39,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,peak_summer,暑期客流高峰,drop_low_value,删减低收益点并错峰预约,0.8639,0.1161,88.89,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,peak_summer,暑期客流高峰,split_slow_trip,拆成两段慢游,0.9028,0.0769,91.39,1800,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,compound_extreme,复合极端冲击,as_planned,按原画像路线执行,0.1988,0.7145,70.79,0,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,compound_extreme,复合极端冲击,buffer_light,预留1-2天机动缓冲,0.2869,0.6002,73.79,650,0,可实施
Q1,explorer_dense,探索紧凑型30天改造,compound_extreme,复合极端冲击,drop_low_value,删减低收益点并错峰预约,0.3831,0.4859,76.29,300,2,可实施
Q1,explorer_dense,探索紧凑型30天改造,compound_extreme,复合极端冲击,split_slow_trip,拆成两段慢游,0.5593,0.3215,78.79,1800,0,可实施
Q1,standard_active,普通体力型30天主线,normal_summer,常规暑期,as_planned,按原画像路线执行,0.9905,0.0095,88.61,0,0,可实施
Q1,standard_active,普通体力型30天主线,normal_summer,常规暑期,buffer_light,预留1-2天机动缓冲,0.9915,0.008,91.61,650,0,可实施
Q1,standard_active,普通体力型30天主线,normal_summer,常规暑期,drop_low_value,删减低收益点并错峰预约,0.9927,0.0065,94.11,300,2,可实施
Q1,standard_active,普通体力型30天主线,normal_summer,常规暑期,split_slow_trip,拆成两段慢游,0.9948,0.0043,96.61,1800,0,可实施
Q1,standard_active,普通体力型30天主线,heatwave,热浪高温,as_planned,按原画像路线执行,0.9698,0.024,81.83,0,0,可实施
Q1,standard_active,普通体力型30天主线,heatwave,热浪高温,buffer_light,预留1-2天机动缓冲,0.9731,0.0202,84.83,650,0,可实施
Q1,standard_active,普通体力型30天主线,heatwave,热浪高温,drop_low_value,删减低收益点并错峰预约,0.9767,0.0163,87.33,300,2,可实施
Q1,standard_active,普通体力型30天主线,heatwave,热浪高温,split_slow_trip,拆成两段慢游,0.9834,0.0108,89.83,1800,0,可实施
Q1,standard_active,普通体力型30天主线,rain_flood_delay,雨洪道路延误,as_planned,按原画像路线执行,0.8295,0.1703,85.36,0,0,可实施
Q1,standard_active,普通体力型30天主线,rain_flood_delay,雨洪道路延误,buffer_light,预留1-2天机动缓冲,0.8483,0.1431,88.36,650,0,可实施
Q1,standard_active,普通体力型30天主线,rain_flood_delay,雨洪道路延误,drop_low_value,删减低收益点并错峰预约,0.8687,0.1158,90.86,300,2,可实施
Q1,standard_active,普通体力型30天主线,rain_flood_delay,雨洪道路延误,split_slow_trip,拆成两段慢游,0.9062,0.0766,93.36,1800,0,可实施
Q1,standard_active,普通体力型30天主线,reservation_tight,预约收紧,as_planned,按原画像路线执行,0.6308,0.3693,82.94,0,0,可实施
Q1,standard_active,普通体力型30天主线,reservation_tight,预约收紧,buffer_light,预留1-2天机动缓冲,0.6714,0.3102,85.94,650,0,可实施
